track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KLGX20180601_113846_V06,-46.000,0.052,262.903,257.125,2.716,-124.352,47.308,1357.849,28348.043,20180601_043846,479125,7,40354,7
1,KLGX20180603_113708_V06,-46.495,0.060,315.055,173.934,43.385,-124.007,47.683,21692.402,63480.962,20180603_043708,479120,24,41802,19
1,KLGX20180606_130117_V06,39.054,0.051,19.262,421.171,25.800,-125.938,46.556,12900.194,152885.594,20180606_060117,479130,7,33640,6
3,KLGX20180608_120409_V06,-17.356,0.724,207.772,319.129,23.417,-124.714,47.028,11708.576,47095.364,20180608_050409,479126,992,60261,99
3,KLGX20180608_120851_V06,-12.656,0.308,208.655,316.951,29.555,-124.708,47.038,14777.502,46452.327,20180608_050851,479118,998,60661,121
3,KLGX20180608_121356_V06,-7.572,0.345,215.279,308.363,30.966,-124.665,47.077,15483.225,42566.314,20180608_051356,479130,1114,61724,142
3,KLGX20180608_121901_V06,-2.489,0.437,218.791,294.660,27.469,-124.642,47.139,13734.426,40692.038,20180608_051901,479133,1160,62772,148
3,KLGX20180608_122407_V06,2.611,0.381,218.263,290.336,32.996,-124.646,47.158,16498.089,41152.903,20180608_052407,479125,1249,63663,123
3,KLGX20180608_122914_V06,7.728,0.360,218.921,271.112,28.629,-124.642,47.244,14314.642,43035.948,20180608_052914,479138,1166,64251,156
3,KLGX20180608_123419_V06,12.811,0.068,219.014,269.074,34.244,-124.642,47.254,17122.081,43345.068,20180608_053419,479117,1192,65445,114
3,KLGX20180608_123925_V06,17.911,0.055,221.181,251.780,24.485,-124.628,47.331,12242.613,46199.547,20180608_053925,479116,1186,67797,97
7,KLGX20180608_123925_V06,17.911,0.101,271.796,228.353,11.364,-124.294,47.438,5681.965,38499.035,20180608_053925,479116,1186,67797,97
7,KLGX20180608_124431_V06,23.011,0.223,272.986,226.876,17.596,-124.286,47.445,8797.894,38977.329,20180608_054431,479128,1105,70119,74
11,KLGX20180608_132940_V06,68.161,0.210,264.275,364.707,18.388,-124.341,46.825,9194.124,36956.905,20180608_062940,479091,1322,100042,146
12,KLGX20180608_132940_V06,68.161,0.067,255.791,294.468,16.990,-124.398,47.140,8495.161,22276.692,20180608_062940,479091,1322,100042,146
1,KLGX20180612_121022_V06,-10.199,0.098,374.765,317.117,7.248,-123.615,47.038,3624.172,38349.547,20180612_051022,479124,18,16710,8
3,KLGX20180612_131136_V06,51.034,0.052,126.084,453.100,37.675,-125.238,46.422,18837.353,115851.533,20180612_061136,479130,15,18652,9
6,KLGX20180613_121725_V06,-3.020,0.175,256.525,343.163,16.270,-124.392,46.921,8135.220,30631.487,20180613_051725,479126,27,136340,23
6,KLGX20180613_122257_V06,2.513,0.051,257.603,341.328,23.042,-124.385,46.930,11520.867,29603.661,20180613_052257,479109,20,136417,18
6,KLGX20180613_122830_V06,8.063,-1.000,258.507,339.788,30.167,-124.379,46.937,15083.255,28743.709,20180613_052830,479110,22,135528,20
6,KLGX20180613_123403_V06,13.613,0.075,269.244,329.922,23.183,-124.309,46.981,11591.608,21455.233,20180613_053403,479134,20,131763,18
5,KLGX20180613_121138_V06,-8.804,0.104,250.647,351.013,18.439,-124.431,46.886,9219.322,35489.670,20180613_051138,479114,29,139221,29
5,KLGX20180614_122249_V06,2.467,0.421,245.307,333.604,20.268,-124.466,46.964,10134.047,32095.770,20180614_052249,479131,9,43245,8
5,KLGX20180614_123505_V06,14.733,0.109,253.291,335.003,27.663,-124.414,46.958,13831.517,29184.701,20180614_053505,479129,18,42490,16
4,KLGX20180614_121034_V06,-9.783,0.055,51.152,119.265,61.901,-125.772,47.917,30950.628,153777.627,20180614_051034,479123,21,41130,17
6,KLGX20180614_122249_V06,2.467,0.321,343.778,460.979,25.093,-123.822,46.391,12546.542,83412.650,20180614_052249,479131,9,43245,8
12,KLGX20180614_132407_V06,63.767,0.115,246.133,359.374,13.562,-124.460,46.848,6781.103,40083.831,20180614_062407,479130,11,38295,10
4,KLGX20180620_121237_V06,-8.083,0.054,28.987,311.572,37.254,-125.890,47.050,18626.762,135629.871,20180620_051237,479136,1,21231,0
6,KLGX20180622_123758_V06,16.825,0.159,235.156,388.858,21.384,-124.531,46.715,10692.184,55001.091,20180622_053758,479119,0,26929,0
7,KLGX20180622_131444_V06,53.591,0.200,15.618,189.601,19.963,-125.998,47.597,9981.694,152529.702,20180622_061444,479131,14,32147,8
1,KLGX20180624_112453_V06,-56.859,0.055,445.839,330.471,17.401,-123.149,46.975,8700.617,74494.297,20180624_042453,479136,24,22104,20
5,KLGX20180626_123907_V06,16.620,0.082,147.326,219.160,13.186,-125.120,47.475,6593.170,86377.489,20180626_053907,479133,8,9103,8
9,KLGX20180626_132806_V06,65.603,0.285,275.979,402.052,18.151,-124.264,46.657,9075.619,52420.464,20180626_062806,479117,6,10468,0
1,KLGX20180627_121414_V06,-8.697,0.062,303.421,342.314,14.871,-124.084,46.925,7435.593,21226.264,20180627_051414,479120,12,6652,11
2,KLGX20180629_130817_V06,44.375,0.147,246.159,346.997,33.898,-124.460,46.904,16949.078,35733.375,20180629_060817,479131,24,54503,18
2,KLGX20180629_131424_V06,50.492,0.059,247.305,346.996,41.110,-124.453,46.904,20554.925,35303.677,20180629_061424,479111,15,57597,14
3,KLGX20180629_133130_V06,67.592,0.221,271.562,347.864,34.263,-124.294,46.900,17131.525,27837.411,20180629_063130,479111,21,62405,21
3,KLGX20180629_133714_V06,73.325,0.085,279.333,345.989,30.284,-124.243,46.909,15141.813,25209.754,20180629_063714,479110,16,62294,14
3,KLGX20180630_131605_V06,51.633,0.109,96.704,37.910,27.780,-125.477,48.286,13889.812,165846.533,20180630_061605,479113,0,41628,0
2,KLGX20180704_113235_V06,-54.382,0.209,416.200,394.628,3.751,-123.347,46.688,1875.294,74928.427,20180704_043235,479114,12,14969,11
2,KLGX20180704_114450_V06,-42.132,0.061,415.370,393.469,12.218,-123.353,46.693,6109.049,74240.362,20180704_044450,479129,6,11423,6
2,KLGX20180704_120920_V06,-17.632,0.052,413.868,392.768,7.112,-123.363,46.696,3555.964,73436.542,20180704_050920,479132,9,11292,8
6,KLGX20180704_131036_V06,43.635,0.432,247.646,578.646,22.609,-124.444,45.862,11304.377,141760.820,20180704_061036,479134,8,11456,7
6,KLGX20180704_132252_V06,55.902,0.103,248.189,575.744,32.655,-124.441,45.875,16327.494,140284.732,20180704_062252,479127,13,12382,10
3,KLGX20180704_113235_V06,-54.382,0.079,401.605,416.611,2.070,-123.444,46.589,1034.901,77333.233,20180704_043235,479114,12,14969,11
21,KLGX20180705_124518_V06,17.624,0.059,324.501,461.485,30.605,-123.948,46.389,15302.260,81666.687,20180705_054518,479120,102,75780,8
21,KLGX20180705_125116_V06,23.591,0.293,320.771,456.179,36.565,-123.972,46.413,18282.675,78777.168,20180705_055116,479126,119,75002,14
9,KLGX20180705_114405_V06,-43.592,0.126,295.615,120.784,29.441,-124.136,47.922,14720.680,89635.066,20180705_044405,479111,14,64870,8
11,KLGX20180705_115005_V06,-37.592,0.131,333.052,575.870,24.567,-123.894,45.875,12283.731,138921.689,20180705_045005,479115,39,64299,13
23,KLGX20180705_125116_V06,23.591,0.055,302.227,165.462,29.317,-124.092,47.721,14658.470,67278.239,20180705_055116,479126,119,75002,14
1,KLGX20180709_120306_V06,-27.723,0.065,312.000,422.017,4.387,-124.029,46.567,2193.634,61302.893,20180709_050306,479128,6,10878,3
