track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KLIX20190602_100556_V06,-51.852,0.208,389.321,145.501,7.718,-89.358,31.033,3859.158,89230.357,20190602_050556,479183,1198,67533,48
1,KLIX20190603_100354_V06,-53.687,0.071,298.878,150.110,3.378,-89.831,31.013,1689.045,74947.245,20190603_050354,479169,61,55828,3
2,KLIX20190603_102318_V06,-34.287,0.062,236.773,425.355,10.099,-90.152,29.771,5049.644,70199.030,20190603_052318,479172,152,61320,3
3,KLIX20190603_103728_V06,-20.120,0.052,385.229,166.958,55.237,-89.379,30.936,27618.279,79000.062,20190603_053728,479176,178,49825,1
4,KLIX20190603_110513_V06,7.630,0.158,438.307,509.939,24.491,-89.113,29.388,12245.393,125701.306,20190603_060513,479177,53,39628,4
5,KLIX20190603_112138_V06,24.047,0.090,444.235,515.215,34.704,-89.083,29.364,17351.917,129538.606,20190603_062138,479173,17,38770,9
6,KLIX20190603_112138_V06,24.047,0.084,419.812,378.819,13.353,-89.205,29.980,6676.300,71706.689,20190603_062138,479173,17,38770,9
1,KLIX20190604_101821_V06,-39.062,0.072,417.567,524.355,47.007,-89.220,29.323,23503.660,126646.440,20190604_051821,479172,0,55681,0
2,KLIX20190604_104630_V06,-10.912,0.057,237.064,301.879,26.691,-90.153,30.328,13345.675,31482.158,20190604_054630,479168,18,39536,13
3,KLIX20190604_112136_V06,24.188,0.060,195.183,378.236,17.509,-90.368,29.983,8754.372,65397.571,20190604_062136,479174,8,25017,7
7,KLIX20190605_102949_V06,-27.445,0.139,247.853,219.189,16.285,-90.097,30.701,8142.693,48087.778,20190605_052949,479171,1257,133644,28
7,KLIX20190605_103642_V06,-20.562,0.078,249.517,218.821,25.292,-90.089,30.703,12646.221,47797.682,20190605_053642,479180,1174,130741,19
11,KLIX20190605_111935_V06,22.321,0.104,308.023,235.970,20.693,-89.783,30.625,10346.371,32265.339,20190605_061935,479176,1788,146781,92
11,KLIX20190605_112628_V06,29.205,0.145,307.297,235.783,31.140,-89.787,30.626,15570.010,32314.940,20190605_062628,479180,1775,149198,101
13,KLIX20190605_120125_V06,64.155,0.067,368.292,325.463,18.444,-89.471,30.221,9222.139,36442.452,20190605_070125,479178,3016,155464,192
13,KLIX20190605_120805_V06,70.821,0.110,371.600,325.506,29.002,-89.453,30.221,14500.892,38003.436,20190605_070805,479170,3370,157076,316
3,KLIX20190605_100252_V06,-54.395,0.102,222.033,218.118,17.452,-90.232,30.705,8725.821,56532.140,20190605_050252,479176,1150,144229,21
4,KLIX20190605_100918_V06,-47.962,0.179,271.367,275.322,8.348,-89.974,30.448,4174.042,18900.272,20190605_050918,479175,1215,144141,33
8,KLIX20190605_103642_V06,-20.562,0.063,243.372,312.913,8.817,-90.120,30.278,4408.430,29040.657,20190605_053642,479180,1174,130741,19
12,KLIX20190605_112628_V06,29.205,0.054,380.025,361.953,30.538,-89.410,30.057,15269.243,50601.883,20190605_062628,479180,1775,149198,101
4,KLIX20190607_113020_V06,33.302,0.109,22.953,424.174,36.044,-91.258,29.769,18022.161,151801.233,20190607_063020,479181,474,50150,7
