track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KLNX20190601_121504_V06,65.539,0.381,340.643,383.486,23.508,-100.332,41.582,11753.819,46426.633,20190601_071504,479172,1,20693,0
1,KLNX20190603_120436_V06,55.941,0.072,365.401,60.342,30.691,-100.175,43.036,15345.707,124210.670,20190603_070436,479170,0,16154,0
1,KLNX20190607_104456_V06,-22.400,0.053,28.568,167.235,51.898,-102.228,42.544,25948.776,151080.722,20190607_054456,479169,0,12840,0
8,KLNX20190608_110859_V06,1.895,0.112,256.180,255.528,16.099,-100.841,42.158,8049.295,31216.589,20190608_060859,479179,14,45129,1
8,KLNX20190608_111242_V06,5.612,0.083,257.417,255.358,21.173,-100.833,42.158,10586.731,30847.206,20190608_061242,479183,38,46273,1
1,KLNX20190608_101527_V06,-51.638,0.056,415.841,309.905,14.650,-99.878,41.911,7325.092,58131.748,20190608_051527,479172,28,47302,1
5,KLNX20190608_110453_V06,-2.205,0.084,246.535,261.755,21.656,-100.899,42.129,10827.854,32868.031,20190608_060453,479173,37,43670,1
9,KLNX20190608_110859_V06,1.895,0.083,330.346,493.584,19.077,-100.395,41.086,9538.364,97974.148,20190608_060859,479179,14,45129,1
10,KLNX20190608_112350_V06,16.745,0.079,320.618,160.167,14.382,-100.450,42.587,7190.769,70672.665,20190608_062350,479188,16,50586,1
20,KLNX20190608_120757_V06,60.862,0.175,415.989,62.683,28.335,-99.864,43.024,14167.633,132072.681,20190608_070757,479179,44,58288,2
2,KLNX20190609_101509_V06,-51.727,0.157,24.426,300.199,28.887,-102.238,41.945,14443.281,137786.919,20190609_051509,479187,50,113409,11
2,KLNX20190609_101919_V06,-47.561,0.301,25.278,298.365,34.187,-102.233,41.953,17093.257,137363.267,20190609_051919,479180,44,113759,13
2,KLNX20190609_102330_V06,-43.377,0.131,29.211,289.951,34.869,-102.210,41.991,17434.377,135487.595,20190609_052330,479178,53,113272,9
2,KLNX20190609_102754_V06,-38.977,0.050,36.320,277.497,34.415,-102.168,42.048,17207.264,132319.473,20190609_052754,479182,80,114504,12
16,KLNX20190609_112028_V06,13.589,0.072,19.353,309.829,22.297,-102.267,41.901,11148.343,140409.629,20190609_062028,479181,130,109230,13
16,KLNX20190609_112404_V06,17.189,0.064,20.044,309.422,27.597,-102.263,41.903,13798.737,140057.064,20190609_062404,479179,120,108767,11
16,KLNX20190609_112722_V06,20.489,0.052,23.976,307.737,32.192,-102.239,41.911,16095.965,138066.119,20190609_062722,479184,83,105033,10
16,KLNX20190609_113039_V06,23.773,0.081,30.905,302.526,33.130,-102.198,41.935,16564.919,134553.558,20190609_063039,479192,67,102543,9
6,KLNX20190609_102330_V06,-43.377,0.090,81.889,174.361,64.382,-101.903,42.516,32191.235,125854.727,20190609_052330,479178,53,113272,9
6,KLNX20190609_102754_V06,-38.977,0.055,84.020,173.072,70.016,-101.890,42.522,35007.874,125257.895,20190609_052754,479182,80,114504,12
10,KLNX20190609_105305_V06,-13.794,0.138,25.012,321.251,35.968,-102.232,41.850,17983.913,137903.815,20190609_055305,479184,46,117127,5
10,KLNX20190609_110105_V06,-5.794,0.516,33.023,311.419,45.476,-102.184,41.895,22738.016,133610.367,20190609_060105,479188,89,117514,14
10,KLNX20190609_110504_V06,-1.811,0.278,45.375,293.674,44.157,-102.112,41.976,22078.480,127351.667,20190609_060504,479190,128,116674,14
3,KLNX20190614_113401_V06,27.679,0.148,25.781,152.213,33.791,-102.247,42.611,16895.483,155754.034,20190614_063401,479177,1,29995,0
3,KLNX20190614_113844_V06,32.396,0.299,25.502,152.663,40.384,-102.249,42.609,20192.091,155770.088,20190614_063844,479170,0,30251,0
3,KLNX20190614_114326_V06,37.096,-1.000,25.283,153.017,47.146,-102.250,42.607,23572.963,155783.001,20190614_064326,479173,0,31037,0
3,KLNX20190614_114808_V06,41.796,0.142,26.581,153.422,48.106,-102.242,42.606,24052.809,155115.183,20190614_064808,479173,0,21473,0
1,KLNX20190614_104329_V06,-22.854,0.084,23.043,249.714,18.868,-102.252,42.172,9434.186,140742.621,20190614_054329,479171,0,18546,0
1,KLNX20190614_104755_V06,-18.421,-1.000,23.043,249.714,25.917,-102.252,42.172,12958.686,140742.621,20190614_054755,479169,1,17249,1
1,KLNX20190614_105221_V06,-13.988,0.148,31.489,252.026,17.421,-102.201,42.162,8710.724,136381.307,20190614_055221,479173,0,17232,0
20,KLNX20190615_122700_V06,80.668,0.060,315.529,163.393,39.945,-100.481,42.573,19972.305,68743.199,20190615_072700,479174,656,90360,38
20,KLNX20190615_123159_V06,85.651,0.056,318.395,165.170,45.676,-100.464,42.565,22838.188,68039.345,20190615_073159,479171,663,84625,114
5,KLNX20190615_105222_V06,-13.965,0.095,389.278,155.271,72.612,-100.032,42.608,36306.152,85025.044,20190615_055222,479187,5508,142770,364
7,KLNX20190615_110822_V06,2.035,0.075,15.304,295.784,11.031,-102.293,41.964,5515.393,142363.644,20190615_060822,479180,4520,130384,252
