track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KLOT20230601_092452_V06,-55.837,0.164,132.296,528.893,9.087,-89.075,40.570,4543.716,141877.419,20230601_042452,479172,477,51286,303
2,KLOT20230601_102050_V06,0.129,0.244,210.533,393.043,19.343,-88.618,41.184,9671.577,64539.346,20230601_052050,479174,520,76311,50
3,KLOT20230601_103453_V06,14.179,0.233,217.307,391.695,24.899,-88.578,41.191,12449.644,61737.764,20230601_053453,479173,477,78526,30
1,KLOT20230602_092402_V06,-56.226,0.090,310.654,554.180,10.744,-88.022,40.460,5371.826,127201.496,20230602_042402,479169,1260,51110,1148
2,KLOT20230602_095147_V06,-28.476,0.089,132.946,528.086,8.517,-89.071,40.573,4258.377,141359.523,20230602_045147,479171,1857,58559,1665
3,KLOT20230602_102712_V06,6.940,0.057,360.074,142.071,32.224,-87.720,42.315,16112.110,84484.234,20230602_052712,479172,2056,45233,1831
1,KLOT20230603_092346_V06,-56.082,0.175,305.951,553.213,8.937,-88.050,40.464,4468.710,126641.584,20230603_042346,479174,285,66369,204
1,KLOT20230603_093051_V06,-48.999,0.079,306.255,553.221,15.869,-88.048,40.464,7934.322,126649.190,20230603_043051,479170,300,67449,256
3,KLOT20230603_100553_V06,-13.965,0.129,379.689,426.108,15.216,-87.611,41.036,7608.055,74588.271,20230603_050553,479171,555,73648,379
3,KLOT20230603_101032_V06,-9.315,-1.000,379.689,426.108,22.610,-87.611,41.036,11304.805,74588.271,20230603_051032,479175,582,74066,414
3,KLOT20230603_101511_V06,-4.665,0.494,382.390,423.635,24.066,-87.595,41.047,12032.827,74286.045,20230603_051511,479181,744,73436,568
4,KLOT20230603_105257_V06,33.101,0.179,207.859,394.729,24.950,-88.634,41.177,12474.859,66074.781,20230603_055257,479176,2104,60468,1787
5,KLOT20230603_111643_V06,56.868,0.054,132.134,527.726,8.516,-89.076,40.575,4257.941,141455.132,20230603_061643,479179,1992,57744,1677
10,KLOT20230604_110444_V06,45.262,0.104,310.380,557.545,11.342,-88.024,40.445,5670.865,128877.104,20230604_060444,479173,999,82827,996
10,KLOT20230604_111150_V06,52.362,0.093,310.327,555.973,19.198,-88.024,40.452,9599.053,128090.742,20230604_061150,479173,969,83164,959
4,KLOT20230604_100648_V06,-12.672,0.675,490.170,505.128,21.673,-86.960,40.675,10836.467,139859.139,20230604_050648,479173,157,74876,154
5,KLOT20230604_102803_V06,8.578,0.067,362.843,206.292,12.017,-87.705,42.026,6008.522,56414.820,20230604_052803,479177,408,77592,396
7,KLOT20230604_104922_V06,29.895,0.063,400.924,503.471,19.700,-87.488,40.687,9849.768,113562.746,20230604_054922,479171,1409,82728,1394
9,KLOT20230604_110444_V06,45.262,0.133,280.925,98.918,1.746,-88.201,42.510,873.093,100992.543,20230604_060444,479173,999,82827,996
14,KLOT20230604_113305_V06,73.612,0.063,436.154,526.845,12.904,-87.281,40.580,6452.094,132284.316,20230604_063305,479174,1444,95256,1429
15,KLOT20230604_113951_V06,80.378,0.104,528.437,198.264,56.928,-86.705,42.054,28463.825,125033.481,20230604_063951,479170,1668,97747,1650
2,KLOT20230605_101422_V06,-4.762,0.651,388.209,356.970,28.703,-87.558,41.347,14351.334,52503.429,20230605_051422,479173,1092,41341,861
2,KLOT20230605_102126_V06,2.305,0.059,384.805,363.013,40.347,-87.578,41.320,20173.478,52826.351,20230605_052126,479166,1056,40617,796
1,KLOT20230605_095306_V06,-26.029,0.172,132.369,528.128,9.016,-89.075,40.573,4508.158,141547.206,20230605_045306,479172,1063,51430,891
3,KLOT20230606_102733_V06,8.730,0.307,187.139,388.858,10.462,-88.757,41.202,5230.902,71821.422,20230606_052733,479172,104,46905,72
3,KLOT20230606_103438_V06,15.814,0.099,186.343,388.858,19.145,-88.762,41.202,9572.671,72134.857,20230606_053438,479171,73,46399,58
7,KLOT20230607_103918_V06,20.755,0.057,335.975,406.143,4.994,-87.871,41.126,2497.208,56036.991,20230607_053918,479173,101,88444,19
1,KLOT20230608_101141_V06,-6.621,0.077,226.376,397.394,6.903,-88.523,41.165,3451.468,61045.373,20230608_051141,479169,20,29550,8
1,KLOT20230608_101827_V06,0.145,0.296,226.449,397.450,13.535,-88.523,41.165,6767.482,61045.331,20230608_051827,479171,14,29343,3
3,KLOT20230609_100912_V06,-8.899,0.053,213.179,393.192,18.738,-88.602,41.184,9369.030,63683.797,20230609_050912,479171,42,24173,20
3,KLOT20230609_101618_V06,-1.799,-1.000,213.179,393.192,30.027,-88.602,41.184,15013.530,63683.797,20230609_051618,479168,60,23098,37
3,KLOT20230609_102323_V06,5.285,0.127,219.009,404.006,14.502,-88.567,41.135,7250.910,65910.512,20230609_052323,479175,89,22644,38
4,KLOT20230609_100912_V06,-8.899,0.053,312.537,553.708,8.374,-88.011,40.462,4187.091,127008.658,20230609_050912,479171,42,24173,20
7,KLOT20230609_110557_V06,47.851,0.053,26.136,387.372,30.255,-89.717,41.199,15127.550,143732.002,20230609_060557,479173,64,19948,45
1,KLOT20230610_094410_V06,-33.761,0.050,312.948,433.714,28.599,-88.008,41.002,14299.305,67169.666,20230610_044410,479172,8,61728,3
1,KLOT20230612_092433_V06,-53.138,0.335,225.252,397.136,4.538,-88.530,41.166,2269.026,61283.515,20230612_042433,479173,2,28716,0
29,KLOT20230613_113834_V06,80.946,0.059,161.246,464.259,40.001,-88.908,40.862,20000.683,107509.939,20230613_063834,479175,844,210867,75
1,KLOT20230614_100045_V06,-16.837,0.070,309.959,412.575,33.245,-88.025,41.098,16622.725,56507.547,20230614_050045,479177,0,27102,0
1,KLOT20230615_094745_V06,-29.837,0.162,207.951,401.248,16.874,-88.633,41.147,8436.876,68418.096,20230615_044745,479173,426,52491,274
2,KLOT20230615_100157_V06,-15.637,0.051,309.241,556.265,12.915,-88.030,40.451,6457.715,128215.755,20230615_050157,479171,323,51657,250
3,KLOT20230615_101608_V06,-1.454,0.066,262.561,266.779,2.988,-88.310,41.754,1493.839,25026.521,20230615_051608,479175,275,45403,201
4,KLOT20230615_113313_V06,75.630,0.082,132.240,527.910,8.611,-89.075,40.574,4305.433,141497.608,20230615_063313,479185,545,50896,350
1,KLOT20230616_092305_V06,-54.537,0.073,195.106,392.420,1.969,-88.710,41.187,984.573,69900.347,20230616_042305,479173,0,37406,0
2,KLOT20230616_101747_V06,0.163,0.050,245.852,267.378,33.441,-88.410,41.751,16720.551,31607.710,20230616_051747,479170,7,20701,7
3,KLOT20230616_105215_V06,34.629,0.163,224.922,397.631,9.714,-88.532,41.164,4856.894,61580.037,20230616_055215,479173,6,12563,3
1,KLOT20230618_092026_V06,-57.355,0.097,226.903,397.341,4.918,-88.520,41.165,2459.032,60865.596,20230618_042026,479175,0,60582,0
2,KLOT20230618_092026_V06,-57.355,0.091,375.543,238.760,3.150,-87.630,41.879,1575.073,48623.848,20230618_042026,479175,0,60582,0
5,KLOT20230618_103113_V06,13.428,0.080,219.187,399.352,25.449,-88.566,41.156,12724.573,64034.481,20230618_053113,479175,23,49503,7
2,KLOT20230619_102418_V06,6.379,0.485,309.436,550.811,14.064,-88.029,40.475,7031.765,125494.207,20230619_052418,479174,1188,57943,1000
2,KLOT20230619_102858_V06,11.045,0.055,310.179,549.077,20.767,-88.025,40.483,10383.532,124642.686,20230619_052858,479178,1110,57566,963
1,KLOT20230619_094450_V06,-33.088,0.060,437.832,523.461,8.804,-87.271,40.595,4401.928,131274.801,20230619_044450,479175,722,55433,535
3,KLOT20230619_102418_V06,6.379,0.069,199.161,495.263,32.945,-88.681,40.724,16472.546,109881.976,20230619_052418,479174,1188,57943,1000
3,KLOT20230620_093843_V06,-39.370,0.063,171.870,119.660,8.453,-88.863,42.414,4226.387,110611.748,20230620_043843,479171,1579,71533,1313
3,KLOT20230620_094548_V06,-32.287,-1.000,171.870,119.660,19.715,-88.863,42.414,9857.637,110611.748,20230620_044548,479168,1700,70175,1470
3,KLOT20230620_095254_V06,-25.187,-1.000,171.870,119.660,31.004,-88.863,42.414,15502.137,110611.748,20230620_045254,479173,1969,68853,1684
3,KLOT20230620_100703_V06,-11.037,0.071,171.738,156.062,32.592,-88.862,42.250,16296.082,96396.656,20230620_050703,479173,2274,58314,1953
1,KLOT20230620_092434_V06,-53.520,0.377,307.707,554.451,11.447,-88.039,40.459,5723.357,127283.811,20230620_042434,479171,1517,68581,1321
4,KLOT20230620_100703_V06,-11.037,0.058,199.694,396.852,17.171,-88.682,41.167,8585.629,69716.589,20230620_050703,479173,2274,58314,1953
5,KLOT20230620_101409_V06,-3.937,0.116,393.888,229.800,38.859,-87.519,41.919,19429.672,58615.087,20230620_051409,479171,2250,51813,1950
5,KLOT20230620_102115_V06,3.163,0.099,421.916,210.082,74.413,-87.349,42.007,37206.562,75744.177,20230620_052115,479172,1987,51333,1707
