track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
4,KMBX20140604_120326_V06,78.694,0.056,27.990,160.889,38.807,-102.723,49.003,19403.595,152758.958,20140604_070326,479176,161,57792,132
4,KMBX20140604_121310_V06,88.427,0.132,29.958,159.548,47.924,-102.710,49.009,23961.829,152191.542,20140604_071310,479182,227,58569,214
1,KMBX20140604_105515_V06,10.510,0.223,27.710,307.873,51.717,-102.701,48.342,25858.404,136202.011,20140604_055515,479180,50,40584,46
3,KMBX20140604_115342_V06,68.960,0.055,23.340,323.828,26.513,-102.728,48.270,13256.544,138842.181,20140604_065342,479176,120,55460,90
3,KMBX20140605_111243_V06,28.485,0.051,373.072,169.149,27.382,-100.365,48.980,13690.838,74935.908,20140605_061243,479192,109,33760,60
3,KMBX20140605_111616_V06,32.035,-1.000,373.072,169.149,33.026,-100.365,48.980,16513.088,74935.908,20140605_061616,479192,105,32856,43
3,KMBX20140605_111951_V06,35.618,0.150,376.746,166.996,34.542,-100.340,48.989,17270.908,76779.196,20140605_061951,479165,88,33131,60
1,KMBX20140606_104516_V06,1.500,0.205,22.908,549.367,26.572,-102.695,47.256,13285.864,186389.038,20140606_054516,479178,57,16941,57
1,KMBX20140606_105459_V06,11.217,0.275,29.196,537.686,47.763,-102.655,47.309,23881.329,180159.181,20140606_055459,479181,59,16895,59
1,KMBX20140606_110443_V06,20.950,0.093,45.059,529.732,55.939,-102.551,47.347,27969.727,171589.398,20140606_060443,479179,38,16870,35
3,KMBX20140606_113353_V06,50.117,0.053,32.048,500.875,37.132,-102.642,47.475,18565.756,167443.157,20140606_063353,479179,33,20963,31
2,KMBX20140608_101032_V06,-32.434,0.153,28.460,257.420,32.985,-102.704,48.569,16492.279,137428.838,20140608_051032,479181,99,77246,46
2,KMBX20140608_101532_V06,-27.434,0.215,29.225,256.598,39.199,-102.699,48.573,19599.721,137115.631,20140608_051532,479189,87,75130,31
6,KMBX20140608_111538_V06,32.666,0.113,434.722,275.349,8.658,-99.953,48.500,4329.113,68479.175,20140608_061538,479186,320,49978,147
1,KMBX20140612_094214_V06,-59.663,0.063,272.859,417.796,18.124,-101.046,47.863,9061.991,60440.940,20140612_044214,479184,86,16348,55
2,KMBX20140612_104048_V06,-1.096,0.085,403.238,503.034,17.316,-100.180,47.477,8658.097,113886.658,20140612_054048,479184,286,15284,257
3,KMBX20140612_115851_V06,76.954,0.092,17.126,227.713,14.700,-102.786,48.702,7349.944,145981.951,20140612_065851,479181,383,17204,345
1,KMBX20140613_101114_V06,-30.506,0.550,323.017,19.645,20.889,-100.705,49.653,10444.729,140648.954,20140613_051114,479179,190,22332,156
1,KMBX20140613_102059_V06,-20.756,0.053,322.728,19.449,28.658,-100.707,49.654,14329.205,140735.236,20140613_052059,479174,171,20037,140
2,KMBX20140613_103044_V06,-11.006,0.066,381.749,85.315,3.357,-100.302,49.356,1678.741,114861.327,20140613_053044,479187,145,17232,131
2,KMBX20140616_094838_V06,-52.902,0.217,363.257,115.342,2.404,-100.430,49.222,1201.797,97596.146,20140616_044838,479187,43,33587,40
1,KMBX20140617_094320_V06,-58.223,0.116,397.819,104.226,2.878,-100.192,49.271,1439.133,109425.711,20140617_044320,479178,31,14699,30
1,KMBX20140617_095305_V06,-48.473,0.082,398.781,105.557,11.712,-100.186,49.265,5856.161,109047.922,20140617_045305,479178,52,13708,51
1,KMBX20140618_100311_V06,-38.438,0.056,351.228,178.496,19.561,-100.515,48.938,9780.655,65930.816,20140618_050311,479172,24,49730,18
2,KMBX20140618_100712_V06,-34.421,0.060,328.410,259.596,6.990,-100.672,48.574,3494.991,24696.074,20140618_050712,479203,12,50625,12
2,KMBX20140619_100643_V06,-35.014,0.067,408.118,416.854,24.437,-100.142,47.865,12218.275,79599.570,20140619_050643,479185,621,93188,44
2,KMBX20140619_101051_V06,-30.881,0.075,407.981,415.169,29.298,-100.143,47.872,14648.997,78936.403,20140619_051051,479192,575,92308,49
2,KMBX20140619_101454_V06,-26.831,0.059,403.407,404.844,19.836,-100.173,47.919,9917.843,73629.525,20140619_051454,479196,513,91716,64
5,KMBX20140619_111120_V06,29.602,0.108,400.497,307.931,9.283,-100.186,48.355,4641.460,50404.832,20140619_061120,479182,327,80226,50
2,KMBX20140621_111058_V06,28.885,0.382,433.447,510.561,32.109,-99.980,47.442,16054.363,124643.424,20140621_061058,479206,202,37415,174
2,KMBX20140621_111520_V06,33.252,0.589,429.356,511.020,37.356,-100.007,47.440,18678.086,123756.436,20140621_061520,479188,214,36818,191
2,KMBX20140621_111942_V06,37.619,0.079,432.055,510.285,37.648,-99.989,47.444,18823.958,124155.627,20140621_061942,479189,234,36418,192
4,KMBX20140621_113717_V06,55.202,0.074,57.637,204.872,18.802,-102.514,48.808,9400.774,130181.920,20140621_063717,479189,177,36986,115
4,KMBX20140621_114139_V06,59.569,0.054,57.206,204.486,24.354,-102.517,48.810,12177.014,130453.112,20140621_064139,479194,191,36811,135
4,KMBX20140621_114603_V06,63.969,0.064,55.682,198.128,18.839,-102.529,48.839,9419.416,132352.804,20140621_064603,479196,229,36818,160
1,KMBX20140621_094535_V06,-56.498,0.132,410.799,104.155,8.625,-100.103,49.271,4312.515,112507.651,20140621_044535,479199,103,50136,54
3,KMBX20140621_112831_V06,46.435,0.139,59.049,190.321,24.497,-102.507,48.874,12248.312,132369.563,20140621_062831,479185,173,36423,118
6,KMBX20140621_115449_V06,72.735,0.080,413.105,306.414,15.182,-100.101,48.361,7591.080,56643.363,20140621_065449,479190,200,36271,153
2,KMBX20140622_095324_V06,-48.921,0.061,347.771,31.673,26.836,-100.534,49.598,13418.121,136273.216,20140622_045324,479185,49,16581,44
2,KMBX20140622_100309_V06,-39.171,0.211,350.193,32.267,35.839,-100.517,49.596,17919.578,136198.493,20140622_050309,479175,59,16077,55
2,KMBX20140622_101252_V06,-29.455,0.155,350.430,35.576,34.665,-100.516,49.581,17332.437,134595.059,20140622_051252,479183,74,14760,63
3,KMBX20140622_114235_V06,60.262,0.802,415.408,122.526,17.142,-100.073,49.188,8571.171,105849.189,20140622_064235,479172,72,15749,68
3,KMBX20140622_115219_V06,69.995,0.777,414.019,122.854,20.567,-100.082,49.186,10283.484,105334.237,20140622_065219,479188,53,14487,53
3,KMBX20140622_120203_V06,79.729,0.403,410.342,121.438,17.043,-100.108,49.193,8521.687,104952.286,20140622_070203,479181,55,13293,55
1,KMBX20140622_095324_V06,-48.921,0.092,340.406,262.855,8.962,-100.591,48.559,4480.949,27442.722,20140622_045324,479185,49,16581,44
