track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
8,KMKX20160601_105628_V06,38.752,0.289,286.340,328.425,24.177,-88.634,42.840,12088.282,15768.639,20160601_055628,479186,287,108628,36
9,KMKX20160601_110911_V06,51.469,0.069,310.213,201.202,4.938,-88.488,43.412,2469.070,49662.272,20160601_060911,479189,324,111157,23
10,KMKX20160601_110911_V06,51.469,0.065,487.780,300.048,36.455,-87.400,42.962,18227.436,93890.048,20160601_060911,479189,324,111157,23
6,KMKX20160602_094809_V06,-29.112,0.084,302.766,159.199,5.849,-88.533,43.601,2924.309,70414.198,20160602_044809,479188,9,28085,8
6,KMKX20160602_095749_V06,-19.445,0.114,302.671,157.813,14.286,-88.534,43.608,7142.889,71106.055,20160602_045749,479182,10,24319,10
1,KMKX20160602_091907_V06,-58.145,0.183,305.332,155.703,8.445,-88.518,43.617,4222.321,72197.669,20160602_041907,479180,15,27427,14
2,KMKX20160602_091907_V06,-58.145,0.118,310.332,202.823,3.140,-88.487,43.405,1569.851,48862.398,20160602_041907,479180,15,27427,14
8,KMKX20160602_095749_V06,-19.445,0.111,239.685,323.374,8.286,-88.920,42.862,4143.126,32342.700,20160602_045749,479182,10,24319,10
9,KMKX20160602_102652_V06,9.605,0.126,304.385,155.899,8.130,-88.523,43.616,4065.216,72083.730,20160602_052652,479179,30,23220,30
10,KMKX20160602_113436_V06,77.338,0.115,304.120,156.633,8.541,-88.525,43.613,4270.519,71713.307,20160602_063436,479179,79,23046,74
7,KMKX20160603_104520_V06,28.489,0.070,80.883,413.969,5.738,-89.882,42.447,2868.770,123492.189,20160603_054520,479186,65,24184,47
7,KMKX20160603_105500_V06,38.156,0.054,80.079,414.271,13.831,-89.887,42.446,6915.605,123918.310,20160603_055500,479178,73,23499,60
1,KMKX20160603_091812_V06,-58.644,0.400,336.770,133.092,5.175,-88.322,43.719,2587.711,85455.123,20160603_041812,479185,16,27040,7
4,KMKX20160603_091812_V06,-58.644,0.059,310.140,202.175,3.949,-88.488,43.408,1974.659,49174.502,20160603_041812,479185,16,27040,7
5,KMKX20160603_095654_V06,-19.944,0.288,338.352,133.367,5.408,-88.313,43.717,2703.960,85494.488,20160603_045654,479181,36,26971,8
1,KMKX20160604_113626_V06,79.971,0.088,295.444,157.366,6.086,-88.579,43.610,3043.034,71353.569,20160604_063626,479192,251,70600,58
1,KMKX20160605_091928_V06,-56.649,0.125,310.026,202.319,3.574,-88.489,43.407,1786.892,49097.144,20160605_041928,479177,391,38618,21
1,KMKX20160605_092422_V06,-51.749,0.061,310.323,202.368,9.468,-88.487,43.407,4733.865,49087.915,20160605_042422,479176,357,37791,17
4,KMKX20160605_102257_V06,6.834,0.065,424.101,385.841,3.230,-87.795,42.579,1614.771,75448.104,20160605_052257,479180,13,26393,11
6,KMKX20160605_103243_V06,16.601,0.081,219.135,407.339,2.700,-89.042,42.484,1350.067,67195.236,20160605_053243,479176,16,24833,16
12,KMKX20160605_105708_V06,41.017,0.086,428.343,381.061,16.007,-87.769,42.600,8003.633,75899.390,20160605_055708,479183,7,23308,5
21,KMKX20160605_113614_V06,80.117,0.164,309.924,201.319,4.657,-88.489,43.412,2328.323,49589.260,20160605_063614,479181,13,24658,13
23,KMKX20160605_114107_V06,85.001,0.093,215.231,237.998,16.491,-89.072,43.246,8245.466,52511.915,20160605_064107,479180,6,25627,6
9,KMKX20160606_113058_V06,75.161,0.109,310.371,200.743,3.333,-88.487,43.414,1666.660,49898.859,20160606_063058,479178,178,36060,147
11,KMKX20160606_113058_V06,75.161,0.106,304.076,156.704,8.618,-88.525,43.613,4309.170,71676.927,20160606_063058,479178,178,36060,147
1,KMKX20160607_091827_V06,-57.081,0.103,310.478,202.291,3.800,-88.486,43.408,1899.853,49134.853,20160607_041827,479184,9,24257,9
1,KMKX20160607_092808_V06,-47.398,0.072,310.358,202.287,11.154,-88.487,43.408,5577.230,49130.440,20160607_042808,479184,14,23808,14
3,KMKX20160607_100655_V06,-8.614,0.079,310.320,202.371,3.648,-88.487,43.407,1824.028,49086.680,20160607_050655,479187,14,14631,14
3,KMKX20160607_101637_V06,1.086,0.073,310.238,202.325,11.872,-88.487,43.407,5935.914,49104.879,20160607_051637,479181,7,13495,7
4,KMKX20160607_104542_V06,30.169,0.191,310.310,201.173,4.911,-88.487,43.413,2455.502,49681.914,20160607_054542,479184,10,12236,10
3,KMKX20160608_092042_V06,-54.592,0.171,309.528,202.444,3.226,-88.492,43.407,1613.194,49010.092,20160608_042042,479175,35,32354,7
5,KMKX20160608_092042_V06,-54.592,0.055,304.807,160.002,8.405,-88.521,43.598,4202.671,70040.118,20160608_042042,479175,35,32354,7
6,KMKX20160608_094943_V06,-25.575,0.117,304.738,157.232,8.850,-88.521,43.610,4425.194,71423.416,20160608_044943,479186,109,17352,69
7,KMKX20160608_104747_V06,32.491,0.068,294.351,156.887,7.560,-88.586,43.612,3779.770,71612.212,20160608_054747,479178,40,18009,31
3,KMKX20160609_100110_V06,-13.922,0.089,11.571,251.759,20.286,-90.324,43.171,10142.818,146217.664,20160609_050110,479183,40,49052,33
3,KMKX20160609_100602_V06,-9.055,-1.000,11.571,251.759,28.024,-90.324,43.171,14011.818,146217.664,20160609_050602,479186,32,48484,29
3,KMKX20160609_101055_V06,-4.172,0.655,22.812,249.519,36.217,-90.255,43.182,18108.672,140873.746,20160609_051055,479175,27,49098,20
3,KMKX20160609_101547_V06,0.695,0.236,27.580,257.329,38.955,-90.225,43.148,19477.449,137870.836,20160609_051547,479173,45,49789,39
3,KMKX20160609_102040_V06,5.578,0.055,30.734,266.019,42.750,-90.205,43.109,21375.175,135700.993,20160609_052040,479183,28,51200,22
7,KMKX20160609_102040_V06,5.578,0.051,29.299,384.124,34.213,-90.199,42.577,17106.449,141735.714,20160609_052040,479183,28,51200,22
7,KMKX20160609_102533_V06,10.461,0.110,31.293,384.675,41.770,-90.187,42.575,20885.047,140866.373,20160609_052533,479177,56,52853,47
1,KMKX20160609_094138_V06,-33.455,0.114,293.782,157.362,6.595,-88.589,43.610,3297.386,71386.971,20160609_044138,479181,41,49456,32
2,KMKX20160609_094631_V06,-28.572,0.051,311.500,202.930,2.871,-88.480,43.405,1435.715,48874.554,20160609_044631,479178,41,50878,32
4,KMKX20160609_100602_V06,-9.055,0.054,312.917,200.268,8.323,-88.471,43.417,4161.674,50282.612,20160609_050602,479186,32,48484,29
10,KMKX20160609_102533_V06,10.461,0.079,297.751,158.605,4.929,-88.564,43.604,2464.310,70706.576,20160609_052533,479177,56,52853,47
12,KMKX20160609_104012_V06,25.111,0.064,210.725,422.665,20.823,-89.093,42.414,10411.589,75856.325,20160609_054012,479186,20,54268,19
13,KMKX20160609_104504_V06,29.978,0.073,297.505,157.278,4.463,-88.566,43.610,2231.651,71371.711,20160609_054504,479181,28,55558,27
