track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
3,KMLB20220601_100326_V06,-22.819,0.109,142.919,288.842,12.695,-81.454,28.161,6347.534,78738.472,20220601_060326,479173,261,49779,1
6,KMLB20220601_105146_V06,25.514,0.341,403.399,298.542,23.571,-80.128,28.119,11785.278,51704.878,20220601_065146,479176,709,43966,8
8,KMLB20220601_110229_V06,36.231,0.068,301.089,383.858,19.388,-80.649,27.735,9694.218,41932.431,20220601_070229,479177,499,43703,6
15,KMLB20220601_114738_V06,81.381,0.068,325.438,154.310,29.820,-80.524,28.770,14909.828,73946.930,20220601_074738,479174,395,46736,0
7,KMLB20220603_111146_V06,45.855,0.260,199.049,410.983,22.762,-81.166,27.611,11381.079,75013.932,20220603_071146,479179,326,82595,3
7,KMLB20220603_111617_V06,50.372,0.174,198.123,411.027,29.121,-81.170,27.611,14560.361,75342.210,20220603_071617,479178,148,83591,0
7,KMLB20220603_112047_V06,54.872,0.443,193.323,408.705,29.353,-81.195,27.622,14676.678,76152.659,20220603_072047,479181,57,84857,4
4,KMLB20220603_105232_V06,26.622,0.067,223.764,433.584,23.646,-81.040,27.510,11822.775,76903.440,20220603_065232,479178,277,79233,3
4,KMLB20220603_110246_V06,36.855,0.157,217.470,429.775,34.393,-81.072,27.527,17196.598,76897.460,20220603_070246,479171,329,82289,15
4,KMLB20220603_110716_V06,41.355,0.179,208.407,417.677,29.600,-81.118,27.581,14800.001,74560.712,20220603_070716,479175,375,82755,13
2,KMLB20220603_102101_V06,-4.895,0.122,284.205,417.234,16.770,-80.734,27.584,8385.221,59146.750,20220603_062101,479171,944,67319,1
3,KMLB20220603_103902_V06,13.122,0.062,250.004,444.254,28.713,-80.907,27.462,14356.421,76336.176,20220603_063902,479176,468,70495,3
5,KMLB20220603_110246_V06,36.855,0.077,339.964,106.079,13.809,-80.449,28.988,6904.427,98998.000,20220603_070246,479171,329,82289,15
9,KMLB20220603_113853_V06,72.972,0.063,27.627,235.710,39.388,-82.044,28.396,19694.168,139928.982,20220603_073853,479171,17,83939,0
4,KMLB20220605_100358_V06,-21.692,0.071,153.583,287.211,10.782,-81.400,28.169,5391.014,73487.038,20220605_060358,479177,0,29951,0
4,KMLB20220605_100835_V06,-17.075,0.180,154.070,287.375,16.906,-81.397,28.168,8452.822,73237.537,20220605_060835,479176,5,27857,1
4,KMLB20220605_101312_V06,-12.459,0.144,155.058,289.054,20.449,-81.392,28.160,10224.652,72677.574,20220605_061312,479175,0,26701,0
1,KMLB20220607_094102_V06,-44.459,0.099,166.148,412.135,2.903,-81.332,27.605,1451.746,87307.897,20220607_054102,479171,31,24786,1
1,KMLB20220607_094539_V06,-39.843,0.125,166.204,412.133,8.609,-81.332,27.605,4304.479,87285.913,20220607_054539,479167,12,27040,1
1,KMLB20220607_095016_V06,-35.226,-1.000,166.248,412.132,14.674,-81.332,27.605,7336.797,87268.761,20220607_055016,479173,1,30181,1
1,KMLB20220607_095453_V06,-30.609,0.059,168.145,408.240,5.030,-81.322,27.623,2515.003,85295.974,20220607_055453,479172,2,31413,2
4,KMLB20220607_101321_V06,-12.143,0.088,154.370,282.838,14.584,-81.396,28.188,7291.889,73318.723,20220607_061321,479175,20,28761,1
1,KMLB20220608_094302_V06,-42.409,0.115,168.496,411.250,2.699,-81.321,27.609,1349.312,86124.467,20220608_054302,479173,23,31121,0
1,KMLB20220608_094739_V06,-37.792,0.090,168.523,411.004,8.458,-81.320,27.611,4229.018,86034.854,20220608_054739,479173,21,33317,0
1,KMLB20220609_094134_V06,-43.846,0.319,186.738,336.606,13.372,-81.230,27.947,6686.043,59515.571,20220609_054134,479177,0,24138,0
2,KMLB20220610_101116_V06,-14.138,0.122,166.127,280.485,10.743,-81.336,28.199,5371.605,67643.953,20220610_061116,479173,23,20321,0
2,KMLB20220610_101547_V06,-9.621,0.159,166.278,280.749,17.668,-81.335,28.198,8833.976,67550.575,20220610_061547,479172,35,22827,1
1,KMLB20220611_104202_V06,16.616,0.111,14.085,302.401,18.837,-82.109,28.095,9418.704,142962.785,20220611_064202,479170,24,31228,2
1,KMLB20220611_104639_V06,21.233,0.340,14.174,301.804,23.550,-82.109,28.097,11774.987,142915.920,20220611_064639,479178,8,30787,1
1,KMLB20220611_105116_V06,25.850,0.346,15.995,301.353,24.977,-82.099,28.099,12488.400,142004.204,20220611_065116,479177,1,29910,0
1,KMLB20220611_105533_V06,30.133,0.053,29.901,299.919,30.072,-82.029,28.107,15036.200,135049.527,20220611_065533,479173,1,29287,1
1,KMLB20220612_094826_V06,-37.017,0.054,184.743,332.835,18.817,-81.240,27.964,9408.346,59921.611,20220612_054826,479174,0,23183,0
1,KMLB20220613_101559_V06,-9.521,0.703,295.762,397.499,17.976,-80.676,27.673,8987.936,48795.284,20220613_061559,479169,288,38621,2
1,KMLB20220613_102036_V06,-4.904,0.142,294.977,399.024,24.169,-80.680,27.666,12084.747,49575.887,20220613_062036,479164,301,42868,4
1,KMLB20220615_101244_V06,-12.939,0.109,154.491,283.147,10.820,-81.395,28.187,5409.908,73240.987,20220615_061244,479177,16,31270,4
1,KMLB20220615_101721_V06,-8.322,0.071,154.824,283.341,17.592,-81.394,28.186,8796.012,73064.438,20220615_061721,479177,17,31294,3
2,KMLB20220616_101152_V06,-13.920,0.082,157.050,279.307,13.617,-81.382,28.204,6808.716,72220.012,20220616_061152,479173,5,48296,0
2,KMLB20220616_101854_V06,-6.887,0.243,157.468,279.334,23.205,-81.380,28.204,11602.359,72011.325,20220616_061854,479172,13,48775,4
1,KMLB20220616_100449_V06,-20.970,0.263,268.372,509.448,14.234,-80.814,27.168,7116.815,105911.202,20220616_060449,479174,6,51151,0
3,KMLB20220616_101152_V06,-13.920,0.061,245.193,393.655,23.026,-80.932,27.690,11513.216,54256.616,20220616_061152,479173,5,48296,0
1,KMLB20220618_095305_V06,-32.990,0.069,440.783,56.809,21.563,-79.931,29.208,10781.708,140500.428,20220618_055305,479172,13,51037,1
2,KMLB20220618_102115_V06,-4.824,0.198,112.290,469.420,42.292,-81.603,27.345,21145.870,126430.035,20220618_062115,479173,11,46552,1
3,KMLB20220618_103520_V06,9.260,0.685,401.531,55.290,42.929,-80.132,29.216,21464.745,132468.361,20220618_063520,479174,10,48040,9
4,KMLB20220618_110332_V06,37.460,0.295,308.661,417.192,16.179,-80.611,27.584,8089.592,58755.697,20220618_070332,479171,0,52495,0
5,KMLB20220618_113143_V06,65.643,0.056,312.568,411.913,21.741,-80.591,27.608,10870.607,56308.143,20220618_073143,479171,0,59648,0
5,KMLB20220618_113845_V06,72.676,-1.000,312.568,411.913,32.924,-80.591,27.608,16462.107,56308.143,20220618_073845,479174,2,61510,0
5,KMLB20220618_114548_V06,79.726,0.112,310.359,409.813,21.466,-80.602,27.618,10732.969,55150.064,20220618_074548,479173,4,63292,1
1,KMLB20220620_103555_V06,9.480,0.213,283.040,407.106,13.210,-80.740,27.630,6604.944,54220.129,20220620_063555,479170,1016,52279,6
2,KMLB20220622_100151_V06,-25.024,0.058,148.509,284.874,7.986,-81.426,28.179,3992.897,76122.168,20220622_060151,479170,5,33673,2
2,KMLB20220622_100616_V06,-20.608,0.058,148.317,285.083,14.117,-81.427,28.178,7058.576,76207.201,20220622_060616,479175,4,32946,4
2,KMLB20220622_101053_V06,-15.991,0.087,146.979,286.128,16.660,-81.434,28.173,8329.964,76824.070,20220622_061053,479173,8,31812,7
3,KMLB20220622_100616_V06,-20.608,0.207,281.394,357.307,14.063,-80.749,27.854,7031.534,30125.745,20220622_060616,479175,4,32946,4
3,KMLB20220622_101053_V06,-15.991,0.650,281.342,356.765,19.401,-80.749,27.857,9700.263,29876.480,20220622_061053,479173,8,31812,7
3,KMLB20220622_101524_V06,-11.474,0.178,280.370,354.150,20.871,-80.754,27.869,10435.547,28799.194,20220622_061524,479173,7,31371,5
1,KMLB20220622_093522_V06,-51.508,0.072,280.127,378.725,9.171,-80.755,27.758,4585.627,40597.393,20220622_053522,479171,0,27764,0
4,KMLB20220622_100616_V06,-20.608,0.062,24.052,426.105,30.942,-82.051,27.537,15471.197,151698.773,20220622_060616,479175,4,32946,4
5,KMLB20220622_102001_V06,-6.858,0.066,21.554,151.792,32.931,-82.080,28.774,16465.597,157716.258,20220622_062001,479172,4,31411,3
6,KMLB20220622_103810_V06,11.292,0.050,20.584,157.712,30.782,-82.085,28.748,15391.039,156779.548,20220622_063810,479176,1,32634,1
7,KMLB20220622_114412_V06,77.326,0.236,282.204,337.988,26.875,-80.745,27.942,13437.393,20974.674,20220622_074412,479176,2,29907,2
8,KMLB20220622_114843_V06,81.842,0.143,289.546,373.009,23.213,-80.707,27.784,11606.316,36876.721,20220622_074843,479174,6,29899,2
1,KMLB20220623_093142_V06,-55.420,0.135,298.169,85.323,13.890,-80.664,29.082,6945.030,107342.162,20220623_053142,479170,0,67612,0
1,KMLB20220623_093843_V06,-48.403,0.099,295.308,89.380,23.439,-80.679,29.063,11719.678,105336.006,20220623_053843,479169,0,69789,0
1,KMLB20220623_094545_V06,-41.370,0.255,287.986,85.707,29.610,-80.716,29.080,14804.791,107314.756,20220623_054545,479173,0,72689,0
1,KMLB20220623_095247_V06,-34.336,0.104,285.077,84.681,31.065,-80.731,29.084,15532.727,107917.772,20220623_055247,479170,0,74215,0
1,KMLB20220623_100651_V06,-20.270,0.082,280.460,107.889,29.723,-80.755,28.980,14861.383,96551.027,20220623_060651,479172,2,68946,2
1,KMLB20220623_101353_V06,-13.236,0.135,265.889,103.393,36.324,-80.829,29.000,18161.904,99772.149,20220623_061353,479172,8,63833,7
1,KMLB20220623_102056_V06,-6.186,0.088,257.197,106.870,38.128,-80.874,28.984,19063.941,98907.953,20220623_062056,479176,11,61803,3
1,KMLB20220623_102759_V06,0.864,0.084,255.892,104.970,44.551,-80.881,28.993,22275.483,99978.004,20220623_062759,479172,0,60193,0
2,KMLB20220623_093142_V06,-55.420,0.082,301.563,402.859,5.729,-80.647,27.649,2864.325,51435.289,20220623_053142,479170,0,67612,0
8,KMLB20220623_100651_V06,-20.270,0.075,157.561,279.399,8.876,-81.380,28.204,4437.759,71960.397,20220623_060651,479172,2,68946,2
9,KMLB20220623_102056_V06,-6.186,0.076,278.773,406.903,20.628,-80.762,27.631,10313.805,54494.985,20220623_062056,479176,11,61803,3
10,KMLB20220623_104203_V06,14.930,0.060,300.779,407.982,20.061,-80.650,27.626,10030.708,53992.463,20220623_064203,479169,6,60423,1
11,KMLB20220623_104906_V06,21.980,0.073,29.612,485.020,35.402,-82.020,27.271,17701.004,163815.430,20220623_064906,479168,1,58962,1
8,KMLB20220624_105216_V06,24.884,0.113,300.287,66.032,28.767,-80.653,29.169,14383.640,116984.219,20220624_065216,479167,0,56320,0
8,KMLB20220624_110620_V06,38.951,0.102,317.239,59.105,40.684,-80.566,29.200,20342.146,120755.564,20220624_070620,479173,7,59685,0
8,KMLB20220624_111323_V06,46.001,0.094,313.405,54.795,39.275,-80.586,29.219,19637.339,122785.329,20220624_071323,479169,5,59704,2
3,KMLB20220624_094149_V06,-45.566,0.189,352.164,111.921,41.409,-80.387,28.961,20704.365,97589.583,20220624_054149,479173,1,48641,0
3,KMLB20220624_094852_V06,-38.516,0.085,350.499,100.727,46.867,-80.395,29.012,23433.481,102786.169,20220624_054852,479174,6,49563,0
5,KMLB20220624_100257_V06,-24.432,0.607,333.845,427.869,24.175,-80.483,27.536,12087.749,66136.058,20220624_060257,479172,5,50321,2
5,KMLB20220624_100959_V06,-17.399,0.053,337.627,425.764,32.873,-80.464,27.545,16436.552,65635.918,20220624_060959,479173,0,48931,0
1,KMLB20220624_093447_V06,-52.599,0.091,313.653,84.979,58.458,-80.584,29.083,29228.989,107726.854,20220624_053447,479174,1,47251,0
4,KMLB20220624_094852_V06,-38.516,0.095,285.330,518.851,15.256,-80.728,27.126,7628.046,109671.048,20220624_054852,479174,6,49563,0
7,KMLB20220624_101702_V06,-10.349,0.064,369.524,113.084,35.344,-80.298,28.956,17672.173,99713.345,20220624_061702,479172,3,48253,1
9,KMLB20220624_105216_V06,24.884,0.063,412.452,94.804,51.040,-80.077,29.038,25520.168,116994.391,20220624_065216,479167,0,56320,0
12,KMLB20220624_113432_V06,67.151,0.061,369.477,76.383,20.222,-80.298,29.121,10110.992,117080.564,20220624_073432,479172,0,59071,0
1,KMLB20220625_101547_V06,-11.878,0.262,151.464,282.882,13.920,-81.411,28.188,6959.982,74759.407,20220625_061547,479177,218,38017,8
1,KMLB20220625_102018_V06,-7.361,0.059,151.971,282.974,20.903,-81.408,28.188,10451.458,74502.590,20220625_062018,479170,231,38025,8
2,KMLB20220626_100628_V06,-21.490,0.260,144.737,287.870,10.403,-81.445,28.166,5201.380,77868.002,20220626_060628,479170,22,26659,0
