track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
6,KMOB20150602_114522_V06,54.735,0.057,336.419,398.485,13.953,-88.051,30.235,6976.442,52501.412,20150602_064522,479199,1803,57178,14
1,KMOB20150604_095208_V06,-58.108,0.231,214.143,442.178,8.791,-88.685,30.037,4395.729,83045.192,20150604_045208,479204,150,55691,2
10,KMOB20150604_120453_V06,74.642,0.051,450.441,264.772,14.156,-87.453,30.836,7078.175,77255.033,20150604_070453,479207,36,40555,2
14,KMOB20150605_110943_V06,19.634,0.712,186.739,516.121,31.753,-88.825,29.703,15876.321,122000.279,20150605_060943,479195,188,62659,0
14,KMOB20150605_111956_V06,29.851,0.814,186.467,513.088,39.368,-88.826,29.717,19683.957,120723.134,20150605_061956,479209,166,57268,4
14,KMOB20150605_113009_V06,40.067,0.843,178.347,507.629,37.465,-88.868,29.741,18732.254,120321.540,20150605_063009,479198,176,53383,0
14,KMOB20150605_114022_V06,50.284,0.685,173.208,508.312,39.850,-88.895,29.738,19924.976,121932.350,20150605_064022,479205,202,52236,4
16,KMOB20150605_110943_V06,19.634,0.081,174.486,354.573,6.341,-88.893,30.432,3170.433,68432.176,20150605_060943,479195,188,62659,0
16,KMOB20150605_111956_V06,29.851,0.134,175.137,356.437,17.365,-88.890,30.423,8682.346,68512.739,20150605_061956,479209,166,57268,4
16,KMOB20150605_113009_V06,40.067,0.397,176.404,358.569,18.886,-88.883,30.414,9443.156,68385.245,20150605_063009,479198,176,53383,0
16,KMOB20150605_114022_V06,50.284,0.053,177.418,357.605,21.476,-88.878,30.418,10737.835,67721.089,20150605_064022,479205,202,52236,4
12,KMOB20150605_105931_V06,9.434,0.207,255.056,272.077,94.787,-88.475,30.805,47393.467,26455.814,20150605_055931,479195,122,70302,0
12,KMOB20150605_110943_V06,19.634,0.054,263.614,274.878,100.206,-88.430,30.793,50103.172,22107.806,20150605_060943,479195,188,62659,0
12,KMOB20150605_111956_V06,29.851,0.120,343.817,316.080,28.301,-88.011,30.607,14150.494,23336.909,20150605_061956,479209,166,57268,4
12,KMOB20150605_113009_V06,40.067,-1.000,343.817,316.080,44.545,-88.011,30.607,22272.744,23336.909,20150605_063009,479198,176,53383,0
12,KMOB20150605_114022_V06,50.284,0.077,346.633,312.674,29.621,-87.997,30.622,14810.589,24162.269,20150605_064022,479205,202,52236,4
20,KMOB20150605_114022_V06,50.284,0.062,341.547,347.124,13.513,-88.023,30.467,6756.439,31411.709,20150605_064022,479205,202,52236,4
20,KMOB20150605_115035_V06,60.501,-1.000,341.547,347.124,29.757,-88.023,30.467,14878.689,31411.709,20150605_065035,479205,258,51413,2
20,KMOB20150605_120048_V06,70.717,0.098,350.903,317.193,31.608,-87.974,30.602,15803.922,26864.010,20150605_070048,479193,218,53019,4
21,KMOB20150605_120048_V06,70.717,0.254,346.195,348.704,16.447,-87.999,30.460,8223.352,33563.786,20150605_070048,479193,218,53019,4
21,KMOB20150605_121100_V06,80.917,0.181,346.918,348.843,24.615,-87.995,30.459,12307.723,33863.542,20150605_071100,479196,274,54554,2
8,KMOB20150605_103906_V06,-10.983,0.257,349.943,329.648,24.589,-87.979,30.545,12294.600,29039.871,20150605_053906,479205,288,81865,2
9,KMOB20150605_103906_V06,-10.983,0.163,228.531,220.448,31.818,-88.614,31.038,15908.922,53470.239,20150605_053906,479205,288,81865,2
15,KMOB20150605_110943_V06,19.634,0.094,150.552,426.170,30.139,-89.015,30.108,15069.531,97792.656,20150605_060943,479195,188,62659,0
1,KMOB20150606_102643_V06,-23.231,0.257,318.669,395.547,15.367,-88.143,30.248,7683.556,48676.896,20150606_052643,479186,235,31257,7
2,KMOB20150606_110135_V06,11.635,0.139,300.352,390.087,8.355,-88.238,30.273,4177.681,45043.924,20150606_060135,479197,69,42566,2
3,KMOB20150606_113204_V06,42.119,0.112,391.275,378.801,15.496,-87.765,30.323,7747.766,60292.162,20150606_063204,479204,40,50484,2
4,KMOB20150606_115227_V06,62.502,0.069,285.370,397.565,12.371,-88.316,30.239,6185.417,49328.042,20150606_065227,479202,62,55523,4
5,KMOB20150606_120238_V06,72.685,0.093,391.522,382.589,16.890,-87.764,30.306,8445.038,61638.563,20150606_070238,479201,46,55474,0
6,KMOB20150606_120238_V06,72.685,0.063,228.968,355.115,2.272,-88.609,30.430,1135.906,44953.523,20150606_070238,479201,46,55474,0
2,KMOB20150607_095710_V06,-52.671,0.052,378.782,389.642,12.683,-87.830,30.274,6341.690,59670.432,20150607_045710,479197,4,61224,0
2,KMOB20150607_100723_V06,-42.454,0.381,379.147,388.863,19.389,-87.828,30.278,9694.436,59499.840,20150607_050723,479201,8,61950,0
2,KMOB20150607_101736_V06,-32.237,0.761,378.990,394.575,18.063,-87.829,30.252,9031.654,61611.177,20150607_051736,479192,4,59534,4
2,KMOB20150607_102749_V06,-22.021,0.617,400.667,359.837,36.992,-87.716,30.409,18495.964,58554.010,20150607_052749,479197,10,46504,8
2,KMOB20150607_103801_V06,-11.821,0.178,401.536,349.548,40.090,-87.711,30.455,20045.027,56490.323,20150607_053801,479207,34,38969,34
7,KMOB20150607_103801_V06,-11.821,0.254,378.608,387.041,19.867,-87.831,30.286,9933.563,58641.719,20150607_053801,479207,34,38969,34
7,KMOB20150607_104813_V06,-1.621,0.104,377.616,385.948,29.338,-87.836,30.291,14669.057,57903.575,20150607_054813,479198,38,40430,24
7,KMOB20150607_105826_V06,8.596,0.585,374.074,389.195,24.542,-87.855,30.277,12271.107,57971.523,20150607_055826,479206,22,39065,6
7,KMOB20150607_110839_V06,18.813,0.076,373.591,386.467,30.769,-87.857,30.289,15384.281,56772.134,20150607_060839,479194,96,38826,32
7,KMOB20150607_111851_V06,29.013,0.663,369.986,384.812,25.037,-87.876,30.296,12518.541,54979.472,20150607_061851,479198,102,37772,32
8,KMOB20150607_104813_V06,-1.621,0.147,94.651,444.299,28.829,-89.304,30.024,14414.303,125489.293,20150607_054813,479198,38,40430,24
8,KMOB20150607_105826_V06,8.596,0.166,101.338,438.464,36.846,-89.270,30.051,18423.077,121077.446,20150607_055826,479206,22,39065,6
10,KMOB20150607_105826_V06,8.596,0.489,155.329,523.120,19.982,-88.987,29.671,9990.783,132958.916,20150607_055826,479206,22,39065,6
10,KMOB20150607_110839_V06,18.813,0.378,153.437,522.603,32.104,-88.997,29.673,16051.757,133259.773,20150607_060839,479194,96,38826,32
4,KMOB20150607_100723_V06,-42.454,0.052,322.717,386.362,2.418,-88.122,30.290,1209.103,44650.028,20150607_050723,479201,8,61950,0
6,KMOB20150607_101736_V06,-32.237,0.381,388.010,309.517,19.510,-87.781,30.636,9755.054,44261.806,20150607_051736,479192,4,59534,4
12,KMOB20150607_105826_V06,8.596,0.063,218.405,444.533,17.540,-88.663,30.027,8770.082,82987.374,20150607_055826,479206,22,39065,6
13,KMOB20150607_105826_V06,8.596,0.062,457.016,513.322,30.568,-87.428,29.715,15284.136,132439.136,20150607_055826,479206,22,39065,6
16,KMOB20150607_114445_V06,54.913,0.438,369.849,166.083,14.164,-87.873,31.283,7081.913,75519.319,20150607_064445,479197,149,51307,30
17,KMOB20150607_114445_V06,54.913,0.096,363.612,113.160,12.151,-87.905,31.522,6075.390,98685.877,20150607_064445,479197,149,51307,30
6,KMOB20150608_101246_V06,-36.984,0.113,318.045,396.049,15.894,-88.146,30.246,7947.178,48864.823,20150608_051246,479190,298,46862,2
6,KMOB20150608_101740_V06,-32.084,-1.000,318.045,396.049,23.685,-88.146,30.246,11842.678,48864.823,20150608_051740,479193,313,47006,3
6,KMOB20150608_102236_V06,-27.151,0.080,319.509,393.658,24.377,-88.138,30.257,12188.388,47834.046,20150608_052236,479202,356,43193,1
6,KMOB20150608_102737_V06,-22.134,0.339,322.431,389.643,19.288,-88.123,30.275,9644.033,46203.200,20150608_052737,479194,324,39383,4
3,KMOB20150608_095307_V06,-56.634,0.067,514.342,339.833,6.751,-87.123,30.495,3375.376,109005.741,20150608_045307,479204,271,36671,1
7,KMOB20150608_101740_V06,-32.084,0.453,318.478,388.647,14.237,-88.144,30.280,7118.519,45276.342,20150608_051740,479193,313,47006,3
17,KMOB20150609_110740_V06,17.978,0.145,172.650,516.930,24.226,-88.898,29.699,12112.946,125774.129,20150609_060740,479200,6976,86557,102
17,KMOB20150609_111305_V06,23.395,0.292,173.366,517.712,30.106,-88.894,29.696,15052.964,125931.087,20150609_061305,479212,8221,87870,192
17,KMOB20150609_111829_V06,28.795,0.170,175.268,513.970,33.233,-88.884,29.713,16616.289,123835.815,20150609_061829,479205,8936,89585,199
17,KMOB20150609_112403_V06,34.362,0.177,174.862,518.179,32.608,-88.886,29.694,16304.063,125759.258,20150609_062403,479196,8916,91785,142
17,KMOB20150609_112927_V06,39.762,0.139,176.583,519.811,36.715,-88.877,29.686,18357.651,126044.181,20150609_062927,479195,8560,92790,125
17,KMOB20150609_113458_V06,45.278,0.099,179.450,518.080,42.943,-88.862,29.694,21471.485,124590.407,20150609_063458,479176,8473,95525,172
1,KMOB20150609_095108_V06,-58.555,0.224,428.169,296.601,11.164,-87.571,30.693,5582.222,64106.807,20150609_045108,479193,1727,69947,4
9,KMOB20150609_101521_V06,-34.338,0.081,281.620,167.044,14.551,-88.336,31.279,7275.379,67110.107,20150609_051521,479207,2261,80211,19
12,KMOB20150609_102130_V06,-28.188,0.051,315.304,103.288,17.067,-88.159,31.567,8533.600,98653.466,20150609_052130,479204,2333,83138,14
18,KMOB20150609_111305_V06,23.395,0.058,217.822,270.382,26.535,-88.669,30.812,13267.694,43676.369,20150609_061305,479212,8221,87870,192
19,KMOB20150609_112927_V06,39.762,0.082,234.734,281.913,24.940,-88.581,30.761,12470.215,33863.079,20150609_062927,479195,8560,92790,125
2,KMOB20150610_105841_V06,9.034,0.057,189.103,501.920,16.677,-88.813,29.767,8338.573,115184.551,20150610_055841,479206,581,55313,10
2,KMOB20150610_110219_V06,12.667,0.086,188.485,501.108,23.217,-88.816,29.771,11608.371,114978.528,20150610_060219,479186,563,56149,14
2,KMOB20150610_110557_V06,16.300,-1.000,188.060,500.550,29.518,-88.818,29.774,14759.021,114837.985,20150610_060557,479214,579,57004,13
