track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KMPX20130601_100539_V06,-25.587,0.064,418.000,191.921,13.092,-92.813,45.333,6546.223,80008.227,20130601_050539,479177,7,66780,6
1,KMPX20130603_093156_V06,-58.313,0.053,152.833,416.801,8.489,-94.488,44.320,4244.392,93942.237,20130603_043156,479170,10,38636,4
2,KMPX20130608_102443_V06,-3.724,0.137,304.191,128.086,10.076,-93.538,45.622,5038.086,85982.553,20130608_052443,479176,6,49275,6
2,KMPX20130608_103420_V06,5.892,0.078,303.589,124.693,19.504,-93.542,45.638,9751.807,87671.614,20130608_053420,479171,4,44602,1
9,KMPX20130612_112958_V06,62.278,0.051,308.564,340.102,18.806,-93.511,44.668,9402.885,20503.012,20130612_062958,479188,7062,156835,180
9,KMPX20130612_113434_V06,66.878,0.054,311.020,339.547,24.215,-93.496,44.671,12107.431,20526.937,20130612_063434,479192,8037,157622,304
3,KMPX20130616_101209_V06,-15.398,0.050,493.912,279.455,52.095,-92.337,44.935,26047.413,97498.767,20130616_051209,479177,23,21458,17
3,KMPX20130616_102147_V06,-5.765,-1.000,493.912,279.455,67.412,-92.337,44.935,33705.913,97498.767,20130616_052147,479166,16,22553,14
3,KMPX20130616_103125_V06,3.868,0.051,480.792,300.571,49.431,-92.422,44.841,24715.494,90396.615,20130616_053125,479181,59,26284,33
2,KMPX20130617_095919_V06,-28.291,0.090,401.111,170.635,10.931,-92.919,45.429,5465.611,82095.659,20130617_045919,479174,15,39919,13
2,KMPX20130617_100857_V06,-18.657,0.614,400.269,167.181,16.256,-92.924,45.445,8128.064,83208.629,20130617_050857,479179,9,36535,8
6,KMPX20130617_110642_V06,39.093,0.104,315.742,544.118,6.094,-93.468,43.750,3047.202,122312.490,20130617_060642,479172,26,36215,25
6,KMPX20130617_111620_V06,48.726,0.094,315.580,544.050,14.879,-93.469,43.751,7439.456,122273.229,20130617_061620,479177,99,36279,77
1,KMPX20130617_093027_V06,-57.157,0.055,190.490,423.674,2.338,-94.251,44.290,1169.048,82594.910,20130617_043027,479178,7,31868,3
12,KMPX20130618_115155_V06,84.213,0.071,183.476,421.907,39.420,-94.295,44.298,19710.155,84319.712,20130618_065155,479183,1269,74721,61
1,KMPX20130619_092754_V06,-59.937,0.072,188.219,420.484,2.563,-94.266,44.305,1281.317,82175.880,20130619_042754,479177,4,20557,4
1,KMPX20130619_093732_V06,-50.304,0.140,188.823,420.437,9.768,-94.262,44.305,4883.948,81953.378,20130619_043732,479174,4,22753,4
5,KMPX20130620_114541_V06,77.676,0.084,106.057,52.639,57.614,-94.816,45.955,28807.184,157163.352,20130620_064541,479189,256,64498,16
5,KMPX20130620_115018_V06,82.293,-1.000,106.057,52.639,64.955,-94.816,45.955,32477.434,157163.352,20130620_065018,479190,319,64761,13
5,KMPX20130620_115455_V06,86.910,0.052,109.850,50.973,63.907,-94.792,45.963,31953.480,156661.682,20130620_065455,479194,330,65963,21
19,KMPX20130621_113058_V06,62.753,0.080,36.832,266.847,32.235,-95.234,44.986,16117.537,132623.785,20130621_063058,479190,16552,216064,914
4,KMPX20130622_113139_V06,63.194,0.196,236.651,422.437,2.197,-93.962,44.297,1098.366,68927.636,20130622_063139,479187,635,195155,18
1,KMPX20130624_094128_V06,-47.580,0.068,188.460,422.825,2.707,-94.264,44.294,1353.724,82956.770,20130624_044128,479173,18,38228,11
2,KMPX20130625_104624_V06,17.005,0.095,27.768,401.688,51.641,-95.273,44.379,25820.683,145302.181,20130625_054624,479183,13,57184,8
2,KMPX20130625_105102_V06,21.638,-1.000,27.768,401.688,59.008,-95.273,44.379,29504.183,145302.181,20130625_055102,479186,14,55868,7
2,KMPX20130625_105539_V06,26.255,0.055,32.592,399.749,51.365,-95.243,44.388,25682.358,142703.243,20130625_055539,479187,5,54944,2
4,KMPX20130625_114403_V06,74.655,0.127,244.511,385.053,8.027,-93.914,44.466,4013.680,50776.605,20130625_064403,479189,7,38320,7
1,KMPX20130626_093250_V06,-56.944,0.139,261.797,365.367,15.871,-93.806,44.555,7935.600,37856.116,20130626_043250,479179,779,49922,37
1,KMPX20130626_093619_V06,-53.461,0.087,261.708,365.693,20.684,-93.806,44.553,10342.043,38019.398,20130626_043619,479182,994,52687,64
2,KMPX20130626_093949_V06,-49.961,0.050,32.456,127.965,36.434,-95.280,45.610,18217.115,159040.746,20130626_043949,479185,1153,54707,50
5,KMPX20130626_103703_V06,7.272,0.092,288.371,138.853,31.144,-93.640,45.574,15571.838,80783.222,20130626_053703,479174,1603,66705,44
5,KMPX20130627_111705_V06,46.889,0.324,23.774,303.587,22.787,-95.312,44.819,11393.414,138124.553,20130627_061705,479170,107,51425,72
5,KMPX20130627_112157_V06,51.756,0.189,24.901,303.433,30.196,-95.304,44.820,15098.111,137560.100,20130627_062157,479172,56,48995,21
5,KMPX20130627_112649_V06,56.622,0.167,26.735,313.102,36.626,-95.292,44.777,18313.093,136789.486,20130627_062649,479171,97,47009,11
5,KMPX20130627_113140_V06,61.472,-1.000,28.355,320.567,43.266,-95.280,44.743,21632.984,136211.123,20130627_063140,479176,128,46773,12
5,KMPX20130627_113631_V06,66.322,-1.000,29.976,328.032,49.906,-95.269,44.710,24952.876,135737.803,20130627_063631,479176,136,43413,9
5,KMPX20130627_114124_V06,71.206,-1.000,31.607,335.548,56.591,-95.258,44.676,28295.584,135368.475,20130627_064124,479173,110,42385,6
5,KMPX20130627_114834_V06,78.372,0.072,42.456,334.710,73.753,-95.190,44.681,36876.534,129936.289,20130627_064834,479183,81,40673,12
5,KMPX20130627_115326_V06,83.239,0.100,47.072,356.833,73.490,-95.158,44.582,36745.140,129617.093,20130627_065326,479172,75,40117,18
2,KMPX20130627_094446_V06,-45.428,0.181,19.997,523.061,31.999,-95.306,43.832,15999.475,178995.931,20130627_044446,479182,58,33081,33
2,KMPX20130627_094938_V06,-40.561,0.305,22.286,525.331,38.430,-95.291,43.822,19214.893,178814.947,20130627_044938,479167,19,34672,3
1,KMPX20130628_100325_V06,-27.228,0.050,300.965,170.072,7.271,-93.559,45.433,3635.662,64966.026,20130628_050325,479169,4,40633,4
10,KMPX20130629_103555_V06,4.789,0.199,319.519,97.953,47.434,-93.440,45.758,23717.026,101493.787,20130629_053555,479183,1692,182598,14
10,KMPX20130629_104032_V06,9.406,-1.000,319.519,97.953,54.775,-93.440,45.758,27387.276,101493.787,20130629_054032,479197,1579,182691,16
10,KMPX20130629_104510_V06,14.039,0.180,318.942,101.127,57.733,-93.444,45.744,28866.344,99886.613,20130629_054510,479189,1609,182038,14
10,KMPX20130629_104947_V06,18.656,-1.000,318.518,103.456,61.837,-93.446,45.733,30918.614,98707.119,20130629_054947,479174,1658,179610,18
10,KMPX20130629_105425_V06,23.289,0.103,313.134,107.819,60.396,-93.481,45.713,30198.226,96314.437,20130629_055425,479195,1698,177637,21
15,KMPX20130629_105903_V06,27.923,0.055,369.421,243.159,68.272,-93.124,45.104,34136.204,44861.564,20130629_055903,479196,1649,174490,7
1,KMPX20130630_093205_V06,-59.559,0.123,313.944,546.223,12.038,-93.479,43.741,6019.064,123308.560,20130630_043205,479176,190,31156,169
2,KMPX20130630_102013_V06,-11.426,0.051,346.815,139.325,12.648,-93.265,45.571,6323.811,83678.068,20130630_052013,479173,405,35897,359
1,KMPX20130701_094120_V06,-50.856,0.050,314.954,543.425,8.462,-93.472,43.754,4230.824,121941.835,20130701_044120,479178,52,21746,36
2,KMPX20130702_094058_V06,-51.801,0.158,315.196,544.187,6.038,-93.471,43.750,3018.772,122329.731,20130702_044058,479175,48,25572,31
2,KMPX20130702_095035_V06,-42.184,0.065,315.211,545.049,14.786,-93.471,43.746,7393.177,122760.167,20130702_045035,479177,94,26241,62
3,KMPX20130702_095035_V06,-42.184,0.150,104.445,422.943,3.019,-94.790,44.289,1509.351,115495.552,20130702_045035,479177,94,26241,62
5,KMPX20130702_100013_V06,-32.551,0.113,379.709,126.968,57.972,-93.054,45.626,28986.179,95254.506,20130702_050013,479174,88,27109,59
6,KMPX20130702_104819_V06,15.549,0.065,239.310,169.630,67.309,-93.953,45.435,33654.549,71902.064,20130702_054819,479169,97,27237,68
