track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
4,KMSX20230601_113938_V06,-5.110,0.196,537.591,450.417,28.088,-112.443,46.354,14044.179,140601.172,20230601_053938,479085,0,80522,0
4,KMSX20230601_114522_V06,0.623,0.213,537.147,449.513,34.689,-112.445,46.358,17344.520,140172.135,20230601_054522,479081,1,78586,0
4,KMSX20230601_115107_V06,6.373,0.098,538.127,450.356,27.284,-112.439,46.354,13642.120,140811.184,20230601_055107,479085,2,77169,0
3,KMSX20230601_112223_V06,-22.360,0.129,536.378,456.838,29.158,-112.451,46.325,14578.802,141838.703,20230601_052223,479076,3,88537,0
9,KMSX20230601_121952_V06,35.123,0.069,537.222,452.019,27.435,-112.445,46.347,13717.721,140875.843,20230601_061952,479074,5,69947,0
9,KMSX20230601_122537_V06,40.873,-1.000,537.222,452.019,36.578,-112.445,46.347,18288.971,140875.843,20230601_062537,479081,11,69492,0
9,KMSX20230601_123122_V06,46.623,0.089,533.438,446.302,29.089,-112.469,46.373,14544.747,137747.452,20230601_063122,479075,4,69284,3
7,KMSX20230602_111825_V06,-25.731,0.089,290.975,161.934,24.800,-114.046,47.662,12400.059,69180.202,20230602_051825,479076,12,98087,1
16,KMSX20230602_130710_V06,83.019,0.092,459.334,221.010,36.628,-112.931,47.392,18313.992,88919.347,20230602_070710,479080,104,84325,10
3,KMSX20230603_104956_V06,-53.658,0.064,448.832,427.596,18.493,-113.017,46.463,9246.525,98020.014,20230603_044956,479078,104,101759,1
3,KMSX20230603_110138_V06,-41.958,0.060,445.870,428.838,26.980,-113.037,46.458,13490.176,97310.399,20230603_050138,479076,97,96519,1
4,KMSX20230603_110138_V06,-41.958,0.538,364.067,120.139,11.158,-113.558,47.849,5579.231,95465.445,20230603_050138,479076,97,96519,1
15,KMSX20230603_112431_V06,-19.075,0.179,448.275,440.986,30.737,-113.022,46.403,15368.267,102301.754,20230603_052431,479076,158,96122,2
1,KMSX20230604_105004_V06,-53.010,0.315,540.064,455.445,28.298,-112.427,46.331,14148.880,142998.210,20230604_045004,479083,3,79813,1
1,KMSX20230604_110131_V06,-41.560,0.384,540.103,452.580,33.619,-112.427,46.344,16809.445,142240.952,20230604_050131,479084,3,76688,1
1,KMSX20230604_110715_V06,-35.826,0.414,539.397,452.880,28.470,-112.431,46.343,14234.931,142023.823,20230604_050715,479072,3,75041,0
1,KMSX20230604_111258_V06,-30.110,0.329,539.572,453.509,34.254,-112.430,46.340,17127.038,142267.074,20230604_051258,479069,1,73574,1
1,KMSX20230604_111842_V06,-24.376,0.886,539.206,453.457,28.943,-112.433,46.340,14471.304,142099.259,20230604_051842,479089,2,70898,2
1,KMSX20230604_112426_V06,-18.643,0.418,539.646,454.037,34.619,-112.430,46.338,17309.737,142441.065,20230604_052426,479073,4,64993,1
1,KMSX20230604_113009_V06,-12.926,0.155,540.125,454.516,30.214,-112.427,46.335,15107.126,142771.721,20230604_053009,479085,5,58445,3
1,KMSX20230604_113551_V06,-7.226,0.457,539.611,454.535,35.106,-112.430,46.335,17552.897,142560.699,20230604_053551,479083,8,52112,2
6,KMSX20230604_120956_V06,26.857,0.093,311.105,308.525,13.661,-113.913,47.003,6830.669,6999.774,20230604_060956,479077,5,38678,2
6,KMSX20230604_121538_V06,32.557,0.145,310.292,311.446,11.493,-113.918,46.990,5746.666,7696.391,20230604_061538,479083,6,38639,1
22,KMSX20230605_120752_V06,25.265,0.083,537.766,454.077,24.757,-112.442,46.338,12378.553,141662.069,20230605_060752,479078,205,64315,24
22,KMSX20230605_121335_V06,30.982,0.066,537.281,454.644,31.152,-112.445,46.335,15575.952,141612.973,20230605_061335,479080,175,64004,15
22,KMSX20230605_121919_V06,36.715,0.468,538.025,455.569,29.765,-112.440,46.331,14882.641,142177.254,20230605_061919,479083,179,63374,12
22,KMSX20230605_122517_V06,42.682,0.217,536.336,455.023,25.319,-112.451,46.333,12659.659,141321.131,20230605_062517,479082,197,63156,13
22,KMSX20230605_123100_V06,48.398,0.205,535.610,455.284,31.747,-112.456,46.332,15873.688,141089.599,20230605_063100,479086,261,62371,9
22,KMSX20230605_123644_V06,54.132,0.347,536.610,455.749,24.730,-112.450,46.330,12364.997,141634.862,20230605_063644,479090,209,62630,12
22,KMSX20230605_124228_V06,59.865,0.155,536.908,455.908,31.094,-112.448,46.329,15547.123,141803.551,20230605_064228,479078,132,62175,6
