track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KMTX20210601_110729_V06,-51.496,0.057,419.423,211.766,8.993,-111.730,41.658,4496.544,74241.478,20210601_050729,479111,67,67080,49
1,KMTX20210602_110652_V06,-51.695,0.060,382.395,270.752,12.719,-111.954,41.393,6359.253,43715.792,20210602_050652,479101,81,62521,52
1,KMTX20210603_110319_V06,-54.861,0.159,384.593,266.351,15.401,-111.941,41.413,7700.665,45520.005,20210603_050319,479107,74,68327,52
1,KMTX20210604_121407_V06,16.289,0.074,26.277,47.910,36.058,-114.109,42.386,18029.144,186060.442,20210604_061407,479107,118,68086,83
1,KMTX20210605_112528_V06,-32.045,0.150,351.061,310.228,15.578,-112.142,41.216,7788.795,26037.584,20210605_052528,479108,39,63261,32
2,KMTX20210605_114248_V06,-14.712,0.198,385.863,266.440,14.314,-111.933,41.413,7157.093,46094.453,20210605_054248,479106,64,61430,42
1,KMTX20210607_114612_V06,-10.782,0.220,383.356,270.279,15.519,-111.949,41.396,7759.281,44248.040,20210607_054612,479110,136,48531,92
1,KMTX20210614_111200_V06,-44.192,0.100,357.647,303.983,14.278,-112.103,41.244,7138.859,28892.131,20210614_051200,479109,75,64056,32
2,KMTX20210614_130529_V06,69.291,0.135,355.409,88.876,4.622,-112.111,42.213,2311.089,109136.862,20210614_070529,479101,86,39266,58
1,KMTX20210617_113923_V06,-16.969,0.289,345.975,327.070,10.272,-112.173,41.141,5136.147,26676.146,20210617_053923,479106,38,53146,13
1,KMTX20210618_110645_V06,-49.720,0.061,272.300,474.449,10.785,-112.610,40.477,5392.550,88317.412,20210618_050645,479103,46,65181,22
2,KMTX20210618_111850_V06,-37.637,0.397,424.304,390.313,11.277,-111.710,40.854,5638.588,76824.599,20210618_051850,479105,78,65727,48
4,KMTX20210619_123127_V06,34.830,0.072,367.220,263.392,14.048,-112.045,41.427,7024.200,38271.102,20210619_063127,479101,37,55236,14
4,KMTX20210619_123717_V06,40.664,0.056,372.874,263.479,21.841,-112.011,41.426,10920.655,40756.683,20210619_063717,479109,77,54506,33
4,KMTX20210619_124307_V06,46.497,0.258,383.671,264.747,23.262,-111.947,41.420,11630.904,45397.281,20210619_064307,479110,47,54079,21
1,KMTX20210619_112010_V06,-36.453,0.567,336.651,304.446,12.143,-112.228,41.243,6071.304,18459.964,20210619_052010,479106,65,80433,39
1,KMTX20210619_112620_V06,-30.286,0.384,336.802,305.671,19.713,-112.227,41.237,9856.500,18618.161,20210619_052620,479105,88,76062,38
1,KMTX20210619_113231_V06,-24.103,0.681,333.238,303.352,17.193,-112.249,41.248,8596.481,16703.077,20210619_053231,479112,13,74472,5
1,KMTX20210619_113826_V06,-18.186,0.707,334.246,302.416,21.314,-112.243,41.252,10656.901,17165.753,20210619_053826,479110,21,69568,11
1,KMTX20210619_114422_V06,-12.253,0.665,335.488,298.531,17.757,-112.235,41.269,8878.510,17759.437,20210619_054422,479104,17,68861,6
1,KMTX20210619_115017_V06,-6.336,0.118,336.000,296.948,24.208,-112.232,41.276,12104.242,18064.509,20210619_055017,479101,53,65244,16
1,KMTX20210621_121001_V06,13.004,0.070,332.309,284.774,35.816,-112.254,41.331,17907.806,17858.358,20210621_061001,479102,175,43404,123
1,KMTX20210622_113524_V06,-21.856,0.059,384.389,378.414,17.524,-111.946,40.909,8761.881,57598.253,20210622_053524,479110,90,49400,52
1,KMTX20210623_114708_V06,-10.396,0.056,373.176,263.946,8.613,-112.009,41.424,4306.396,40788.026,20210623_054708,479106,81,50275,62
2,KMTX20210624_113049_V06,-27.015,0.050,254.783,28.917,16.505,-112.722,42.483,8252.502,137413.984,20210624_053049,479106,101,126039,25
12,KMTX20210625_121450_V06,16.669,0.115,368.762,219.309,16.778,-112.034,41.625,8388.973,53007.595,20210625_061450,479104,58,57589,26
12,KMTX20210625_121924_V06,21.235,0.373,369.324,219.768,22.092,-112.031,41.623,11046.140,53016.417,20210625_061924,479104,93,57124,66
12,KMTX20210625_122358_V06,25.802,0.056,372.531,222.049,23.034,-112.012,41.613,11516.904,53237.997,20210625_062358,479095,76,56205,49
11,KMTX20210625_121003_V06,11.885,0.052,394.277,247.666,31.377,-111.882,41.497,15688.419,53914.296,20210625_061003,479100,62,57945,34
1,KMTX20210626_121951_V06,21.324,0.064,331.357,193.936,2.995,-112.258,41.740,1497.452,55301.298,20210626_061951,479113,37,44772,17
