track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KMXX20180601_093708_V06,-59.467,0.074,199.003,350.907,3.116,-86.326,32.306,1557.981,56550.786,20180601_043708,479179,9,21876,0
1,KMXX20180602_094040_V06,-55.679,0.677,436.070,329.335,14.028,-85.067,32.402,7014.114,69598.124,20180602_044040,479175,1073,39967,22
1,KMXX20180602_094456_V06,-51.412,0.555,436.767,328.996,19.191,-85.063,32.404,9595.411,69903.703,20180602_044456,479174,1193,39804,20
3,KMXX20180602_094040_V06,-55.679,0.295,91.954,343.533,11.457,-86.895,32.336,5728.580,106275.702,20180602_044040,479175,1073,39967,22
17,KMXX20180602_110355_V06,27.571,0.258,479.857,211.651,8.405,-84.828,32.931,4202.721,100192.421,20180602_060355,479187,1451,61687,27
1,KMXX20180603_100735_V06,-28.533,0.283,341.609,492.621,7.007,-85.570,31.668,3503.539,98532.189,20180603_050735,479174,0,50782,0
2,KMXX20180603_102703_V06,-9.066,0.394,177.427,353.383,13.875,-86.440,32.294,6937.542,66846.721,20180603_052703,479175,9,46019,6
1,KMXX20180604_100331_V06,-32.396,0.075,339.857,506.558,13.242,-85.580,31.605,6620.865,105183.950,20180604_050331,479171,0,66279,0
1,KMXX20180604_101313_V06,-22.696,0.055,337.553,501.071,10.854,-85.592,31.630,5426.962,102273.879,20180604_051313,479164,1,48581,1
1,KMXX20180605_102737_V06,-8.118,0.052,274.181,320.979,8.918,-85.927,32.442,4458.897,16633.615,20180605_052737,479179,21,48498,16
2,KMXX20180605_103721_V06,1.615,0.056,349.418,498.726,21.878,-85.529,31.640,10938.961,102389.005,20180605_053721,479176,21,58509,15
2,KMXX20180609_101619_V06,-18.962,0.338,294.649,514.248,6.969,-85.818,31.571,3484.413,107157.457,20180609_051619,479171,6,118545,2
2,KMXX20180609_102602_V06,-9.246,0.140,297.212,513.545,19.395,-85.804,31.574,9697.541,106781.440,20180609_052602,479173,21,93978,19
2,KMXX20180609_103545_V06,0.471,0.370,300.540,513.374,26.450,-85.787,31.575,13224.898,106687.436,20180609_053545,479169,10,89868,6
5,KMXX20180609_102602_V06,-9.246,0.055,346.645,490.157,20.677,-85.544,31.679,10338.384,97897.222,20180609_052602,479173,21,93978,19
5,KMXX20180609_103545_V06,0.471,0.081,346.739,490.157,32.314,-85.543,31.679,16157.176,97908.352,20180609_053545,479169,10,89868,6
3,KMXX20180609_102602_V06,-9.246,0.360,282.727,318.930,13.117,-85.882,32.451,6558.521,12813.041,20180609_052602,479173,21,93978,19
1,KMXX20180611_102720_V06,-7.870,0.079,365.975,495.215,28.451,-85.442,31.656,14225.301,103031.271,20180611_052720,479171,15,47013,11
4,KMXX20180612_102100_V06,-14.203,0.107,198.261,344.064,12.784,-86.330,32.337,6391.750,55435.672,20180612_052100,479183,10,75212,10
1,KMXX20180613_102056_V06,-14.293,0.577,202.692,341.147,9.788,-86.307,32.350,4894.123,52824.920,20180613_052056,479180,13,76733,12
2,KMXX20180613_102056_V06,-14.293,0.157,62.087,115.679,8.601,-87.068,33.361,4300.282,150479.735,20180613_052056,479180,13,76733,12
2,KMXX20180614_102018_V06,-14.975,0.273,345.943,486.033,11.790,-85.547,31.698,5895.041,95811.268,20180614_052018,479172,1719,89328,14
2,KMXX20180614_102342_V06,-11.575,0.358,346.242,485.984,17.097,-85.546,31.698,8548.522,95823.391,20180614_052342,479191,1682,86353,9
2,KMXX20180614_102708_V06,-8.141,0.277,348.508,486.857,20.908,-85.534,31.694,10453.773,96525.338,20180614_052708,479182,1755,85683,13
2,KMXX20180614_103033_V06,-4.725,0.215,351.373,486.652,22.321,-85.519,31.695,11160.453,96796.171,20180614_053033,479174,1621,85618,56
2,KMXX20180614_103358_V06,-1.308,0.161,352.055,486.736,24.082,-85.515,31.694,12040.775,96927.933,20180614_053358,479186,1470,85025,11
1,KMXX20180614_101636_V06,-18.675,0.093,206.533,345.311,10.455,-86.286,32.331,5227.261,51935.357,20180614_051636,479172,1797,93906,13
1,KMXX20180614_102018_V06,-14.975,0.114,206.664,345.438,15.535,-86.285,32.331,7767.507,51904.369,20180614_052018,479172,1719,89328,14
4,KMXX20180614_102342_V06,-11.575,0.071,276.800,319.967,10.409,-85.913,32.447,5204.510,15304.655,20180614_052342,479191,1682,86353,9
1,KMXX20180615_100921_V06,-25.997,0.117,344.545,490.522,10.418,-85.555,31.677,5209.203,97829.875,20180615_050921,479182,1246,62916,9
1,KMXX20180615_101247_V06,-22.563,0.720,345.437,490.103,13.725,-85.550,31.679,6862.459,97728.818,20180615_051247,479180,1295,55517,13
1,KMXX20180615_101628_V06,-18.880,0.569,348.731,490.325,14.914,-85.533,31.678,7457.134,98232.297,20180615_051628,479190,1295,49935,5
1,KMXX20180615_102009_V06,-15.197,0.610,353.034,490.640,17.489,-85.510,31.677,8744.434,98939.661,20180615_052009,479187,1345,45942,8
