track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KNQA20170601_101842_V06,-27.092,0.112,272.020,305.605,12.820,-90.027,35.319,6409.843,14268.060,20170601_051842,479190,46,50214,10
1,KNQA20170601_102825_V06,-17.375,0.309,274.996,308.249,22.999,-90.011,35.307,11499.374,13164.866,20170601_052825,479186,32,48862,2
2,KNQA20170603_101450_V06,-30.391,0.097,240.640,213.146,13.728,-90.201,35.736,6864.037,52600.398,20170603_051450,479180,31,39987,0
2,KNQA20170603_102433_V06,-20.674,0.352,240.678,212.272,20.149,-90.201,35.740,10074.267,52951.146,20170603_052433,479185,47,40472,0
1,KNQA20170603_101450_V06,-30.391,0.395,408.897,99.336,13.180,-89.268,36.247,6590.008,114154.042,20170603_051450,479180,31,39987,0
3,KNQA20170603_102433_V06,-20.674,0.058,270.506,356.095,18.802,-90.035,35.092,9400.932,31688.166,20170603_052433,479185,47,40472,0
7,KNQA20170603_110330_V06,18.276,0.131,200.760,418.711,2.555,-90.416,34.808,1277.407,77364.226,20170603_060330,479182,203,41568,0
5,KNQA20170605_112140_V06,36.899,0.093,237.123,402.986,3.040,-90.217,34.880,1519.800,60331.652,20170605_062140,479202,1093,107545,10
2,KNQA20170606_101905_V06,-25.497,0.158,266.563,346.995,11.340,-90.057,35.133,5670.238,28838.446,20170606_051905,479174,21,104259,1
2,KNQA20170606_102400_V06,-20.581,0.297,266.930,346.727,18.005,-90.055,35.134,9002.394,28622.495,20170606_052400,479174,17,100396,0
1,KNQA20170606_094934_V06,-55.014,0.353,26.393,420.979,40.505,-91.368,34.790,20252.409,149579.771,20170606_044934,479178,2,107753,2
4,KNQA20170606_110817_V06,23.703,0.073,42.938,341.032,8.047,-91.284,35.152,4023.335,130158.063,20170606_060817,479170,193,88057,0
6,KNQA20170606_112757_V06,43.369,0.078,348.831,132.556,2.114,-89.602,36.099,1057.110,87209.414,20170606_062757,479187,221,79099,0
1,KNQA20170608_101350_V06,-30.457,0.059,256.094,372.320,24.390,-90.114,35.019,12195.169,42302.041,20170608_051350,479180,0,43305,0
2,KNQA20170608_110233_V06,18.260,0.136,268.769,100.987,3.050,-90.047,36.241,1525.070,100724.343,20170608_060233,479178,0,28245,0
1,KNQA20170609_101110_V06,-33.019,0.120,233.924,370.606,6.440,-90.235,35.026,3220.247,48350.791,20170609_051110,479186,2,39266,1
1,KNQA20170611_105811_V06,14.123,0.217,347.705,118.528,7.917,-89.608,36.162,3958.733,93818.876,20170611_055811,479188,3,31970,2
1,KNQA20170612_101457_V06,-29.088,0.373,285.879,270.116,11.461,-89.951,35.479,5730.446,16525.886,20170612_051457,479180,0,17787,0
2,KNQA20170612_114226_V06,58.396,0.317,356.924,122.424,2.611,-89.557,36.145,1305.374,93238.494,20170612_064226,479170,0,30881,0
2,KNQA20170613_105355_V06,9.874,0.051,358.079,129.067,8.024,-89.551,36.115,4011.799,90265.432,20170613_055355,479174,2,35441,1
2,KNQA20170613_110338_V06,19.590,0.069,356.126,126.661,15.560,-89.562,36.125,7779.863,91099.419,20170613_060338,479188,0,37469,0
1,KNQA20170613_104412_V06,0.157,0.274,249.329,375.562,10.315,-90.151,35.004,5157.444,45489.417,20170613_054412,479179,3,33107,3
3,KNQA20170613_110338_V06,19.590,0.261,254.631,388.542,13.153,-90.122,34.945,6576.513,49744.345,20170613_060338,479188,0,37469,0
4,KNQA20170613_111320_V06,29.290,0.063,31.581,374.624,30.308,-91.344,34.999,15154.110,139299.414,20170613_061320,479180,1,37341,0
2,KNQA20170615_104633_V06,2.416,0.058,251.070,380.085,8.567,-90.141,34.983,4283.564,46924.748,20170615_054633,479186,58,33420,5
2,KNQA20170615_105128_V06,7.333,0.133,250.890,380.424,14.320,-90.142,34.982,7160.121,47116.513,20170615_055128,479183,93,35456,8
2,KNQA20170615_105624_V06,12.266,-1.000,250.745,380.697,20.505,-90.143,34.981,10252.376,47270.668,20170615_055624,479178,91,37653,4
2,KNQA20170615_110119_V06,17.183,0.086,255.228,380.854,11.441,-90.118,34.980,5720.728,46211.390,20170615_060119,479183,132,39888,10
1,KNQA20170615_102656_V06,-17.200,0.072,268.634,349.204,15.183,-90.045,35.123,7591.497,29175.618,20170615_052656,479178,7,23992,6
2,KNQA20170616_100445_V06,-39.469,0.196,91.716,220.134,110.036,-91.024,35.699,55017.857,111535.761,20170616_050445,479180,8,65211,0
2,KNQA20170616_100941_V06,-34.536,0.090,93.084,221.345,116.586,-91.016,35.694,58292.912,110680.806,20170616_050941,479177,0,62154,0
4,KNQA20170616_103420_V06,-9.886,0.104,243.203,383.620,3.397,-90.184,34.967,1698.503,50542.477,20170616_053420,479181,1,48887,1
4,KNQA20170616_103914_V06,-4.986,0.401,243.392,383.998,9.799,-90.183,34.966,4899.375,50646.014,20170616_053914,479181,3,47533,1
4,KNQA20170616_104409_V06,-0.069,0.301,246.174,383.935,6.585,-90.168,34.966,3292.564,49855.599,20170616_054409,479183,7,50136,7
3,KNQA20170616_102428_V06,-19.752,0.152,273.548,305.920,17.744,-90.019,35.318,8871.834,13553.114,20170616_052428,479177,4,51311,1
7,KNQA20170616_110352_V06,19.648,0.434,250.841,381.562,13.532,-90.143,34.977,6765.795,47615.815,20170616_060352,479188,4,50813,4
7,KNQA20170616_110847_V06,24.564,0.111,259.534,379.930,11.423,-90.095,34.984,5711.609,44794.499,20170616_060847,479178,3,51908,1
5,KNQA20170617_110210_V06,17.836,0.070,357.433,128.140,2.175,-89.554,36.119,1087.292,90601.130,20170617_060210,479186,53,47572,2
5,KNQA20170617_110705_V06,22.753,0.055,357.514,128.035,8.255,-89.554,36.119,4127.583,90663.914,20170617_060705,479183,62,49763,3
1,KNQA20170617_101759_V06,-26.347,0.051,301.059,220.211,13.320,-89.867,35.704,6659.859,39897.865,20170617_051759,479189,1,32596,0
2,KNQA20170617_102741_V06,-16.647,0.076,356.833,518.089,7.429,-89.564,34.361,3714.654,112686.315,20170617_052741,479180,3,37238,1
3,KNQA20170617_102741_V06,-16.647,0.056,269.532,343.484,13.769,-90.041,35.149,6884.581,26547.790,20170617_052741,479180,3,37238,1
4,KNQA20170617_105714_V06,12.903,0.073,356.718,168.457,1.545,-89.559,35.937,772.263,71624.859,20170617_055714,479176,58,45797,3
3,KNQA20170619_095546_V06,-48.865,0.313,34.484,486.486,35.041,-91.319,34.496,17520.378,162231.148,20170619_045546,479197,55,95233,13
3,KNQA20170619_100047_V06,-43.848,0.099,35.780,486.138,42.867,-91.312,34.497,21433.387,161601.040,20170619_050047,479192,25,98082,11
4,KNQA20170619_095546_V06,-48.865,0.210,63.481,521.290,18.503,-91.159,34.341,9251.275,161949.347,20170619_045546,479197,55,95233,13
4,KNQA20170619_100047_V06,-43.848,0.116,64.502,521.732,24.892,-91.153,34.339,12445.799,161728.651,20170619_050047,479192,25,98082,11
7,KNQA20170619_100047_V06,-43.848,0.251,322.177,560.212,30.896,-89.753,34.172,15447.823,130577.820,20170619_050047,479192,25,98082,11
7,KNQA20170619_100600_V06,-38.631,0.067,322.910,559.777,37.202,-89.749,34.174,18601.044,130392.862,20170619_050600,479195,40,102870,11
22,KNQA20170619_112230_V06,37.869,0.059,225.555,344.631,24.111,-90.282,35.143,12055.437,43399.264,20170619_062230,479184,26,75862,5
22,KNQA20170619_112817_V06,43.652,0.062,227.212,343.505,32.383,-90.273,35.148,16191.418,42399.224,20170619_062817,479178,31,77989,1
18,KNQA20170619_105326_V06,8.802,0.084,250.111,403.427,23.648,-90.146,34.878,11823.895,57415.151,20170619_055326,479179,12,83150,9
21,KNQA20170619_110504_V06,20.435,0.062,347.266,132.739,3.228,-89.611,36.098,1613.991,86905.688,20170619_060504,479187,7,78227,1
2,KNQA20170620_102404_V06,-20.753,0.408,269.669,345.581,16.805,-90.040,35.139,8402.695,27374.891,20170620_052404,479174,23,50252,22
2,KNQA20170620_103347_V06,-11.036,0.275,269.247,345.083,26.193,-90.042,35.141,13096.412,27286.554,20170620_053347,479180,54,49122,31
3,KNQA20170620_103347_V06,-11.036,0.099,258.874,516.754,5.929,-90.097,34.368,2964.460,110310.403,20170620_053347,479180,54,49122,31
3,KNQA20170620_104331_V06,-1.303,0.065,260.403,517.353,15.645,-90.089,34.365,7822.314,110465.353,20170620_054331,479181,92,48166,34
4,KNQA20170620_105314_V06,8.414,0.078,350.360,130.636,3.678,-89.594,36.108,1838.753,88346.315,20170620_055314,479182,120,52887,54
4,KNQA20170620_110258_V06,18.147,0.100,353.367,129.184,16.002,-89.577,36.114,8000.940,89479.381,20170620_060258,479186,91,53126,41
1,KNQA20170620_094508_V06,-59.686,0.050,266.848,346.275,5.610,-90.055,35.136,2805.229,28462.494,20170620_044508,479187,24,68965,8
5,KNQA20170621_103807_V06,-6.916,0.301,239.432,376.550,9.347,-90.205,34.999,4673.597,48806.867,20170621_053807,479184,1,66489,0
5,KNQA20170621_104749_V06,2.784,0.271,242.681,376.690,18.148,-90.187,34.999,9073.836,47871.859,20170621_054749,479183,6,64950,4
5,KNQA20170621_105732_V06,12.500,0.068,251.176,377.340,21.369,-90.141,34.996,10684.748,45730.705,20170621_055732,479177,2,60752,0
1,KNQA20170621_094931_V06,-55.516,0.050,270.187,346.092,8.252,-90.037,35.137,4125.973,27447.048,20170621_044931,479184,1,71197,1
1,KNQA20170621_095914_V06,-45.800,0.210,270.630,346.399,16.401,-90.034,35.136,8200.600,27456.528,20170621_045914,479181,0,76456,0
1,KNQA20170621_100857_V06,-36.083,0.066,269.104,342.757,7.053,-90.043,35.152,3526.749,26375.534,20170621_050857,479181,0,73869,0
6,KNQA20170621_103807_V06,-6.916,0.066,269.035,354.648,26.926,-90.043,35.098,13462.954,31405.658,20170621_053807,479184,1,66489,0
4,KNQA20170622_105415_V06,8.979,0.055,313.769,394.947,18.968,-89.798,34.917,9483.757,47969.978,20170622_055415,479182,90,111106,1
9,KNQA20170622_115314_V06,67.963,0.058,524.638,482.773,16.467,-88.650,34.515,8233.584,144800.215,20170622_065314,479175,11,86561,0
16,KNQA20170623_120025_V06,74.884,0.055,63.772,349.227,32.678,-91.169,35.116,16338.844,120651.060,20170623_070025,479192,15226,333812,360
2,KNQA20170624_102142_V06,-24.117,0.277,264.771,348.576,6.747,-90.067,35.126,3373.526,30002.760,20170624_052142,479181,5,85211,4
2,KNQA20170624_102603_V06,-19.767,0.196,264.761,348.735,12.220,-90.067,35.125,6110.001,30070.470,20170624_052603,479180,8,84323,7
2,KNQA20170624_103023_V06,-15.434,0.131,265.928,349.789,14.776,-90.060,35.120,7387.832,30165.641,20170624_053023,479193,9,79504,7
