track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KPAH20170602_102031_V06,-15.902,0.059,269.541,300.691,31.897,-88.943,37.065,15948.486,15233.322,20170602_052031,479173,65,58462,1
1,KPAH20170603_110838_V06,32.516,0.055,28.608,226.931,48.944,-90.304,37.388,24472.073,140528.104,20170603_060838,479178,130,50067,2
2,KPAH20170604_100321_V06,-32.496,0.056,265.923,419.836,17.181,-88.962,36.528,8590.715,62293.266,20170604_050321,479166,36,108013,0
11,KPAH20170605_101640_V06,-18.936,0.050,352.881,112.137,28.710,-88.471,37.914,14355.049,97581.717,20170605_051640,479174,10446,250086,168
1,KPAH20170606_102701_V06,-8.373,0.053,403.705,428.464,27.429,-88.193,36.488,13714.287,82549.796,20170606_052701,479172,29,64490,19
1,KPAH20170613_101104_V06,-23.644,0.123,231.713,328.154,11.848,-89.155,36.941,5924.030,36931.403,20170613_051104,479172,4,31705,1
7,KPAH20170615_104400_V06,9.223,0.122,354.209,256.689,10.047,-88.466,37.263,5023.380,34693.288,20170615_054400,479205,9221,111471,233
1,KPAH20170616_094035_V06,-54.269,0.065,399.882,112.657,6.865,-88.204,37.911,3432.602,106153.027,20170616_044035,479179,0,43337,0
1,KPAH20170617_094759_V06,-46.973,0.220,66.303,86.065,70.311,-90.103,38.025,35155.476,158415.935,20170617_044759,479187,3,46961,1
1,KPAH20170617_095251_V06,-42.106,0.114,66.988,86.444,76.807,-90.099,38.023,38403.327,158035.310,20170617_045251,479180,3,46435,2
1,KPAH20170617_095743_V06,-37.240,0.119,71.759,89.339,75.675,-90.071,38.010,37837.373,155299.625,20170617_045743,479184,3,45432,2
11,KPAH20170618_110045_V06,25.662,0.170,27.769,345.601,24.703,-90.298,36.853,12351.440,138011.822,20170618_060045,479183,5280,145862,65
23,KPAH20170618_115048_V06,75.712,0.059,8.865,320.350,14.863,-90.407,36.965,7431.607,145922.664,20170618_065048,479183,7915,132947,148
3,KPAH20170620_101539_V06,-19.783,0.125,235.583,329.517,4.703,-89.133,36.935,2351.664,35428.975,20170620_051539,479183,19,40570,19
3,KPAH20170620_102516_V06,-10.166,0.218,233.744,328.606,16.150,-89.144,36.939,8075.021,36083.678,20170620_052516,479179,19,32837,12
1,KPAH20170621_095101_V06,-44.629,0.321,278.216,147.532,11.989,-88.896,37.755,5994.434,77008.054,20170621_045101,479179,3,52432,0
2,KPAH20170621_095101_V06,-44.629,0.056,341.846,124.614,6.140,-88.534,37.858,3069.832,90154.347,20170621_045101,479179,3,52432,0
3,KPAH20170621_100037_V06,-35.029,0.180,18.313,463.019,20.340,-90.340,36.323,10169.849,162728.791,20170621_050037,479173,3,49723,3
4,KPAH20170621_104838_V06,12.988,0.061,162.213,255.092,19.062,-89.549,37.268,9530.811,72460.127,20170621_054838,479178,15,47185,9
4,KPAH20170622_095546_V06,-40.118,0.063,391.908,146.879,14.703,-88.250,37.757,7351.360,89293.434,20170622_045546,479175,0,112102,0
10,KPAH20170622_114435_V06,68.699,0.050,169.859,292.561,31.267,-89.504,37.100,15633.638,65176.752,20170622_064435,479183,161,68688,8
1,KPAH20170624_101022_V06,-26.072,0.454,314.021,177.007,5.768,-88.693,37.622,2884.090,61894.919,20170624_051022,479176,4,73270,3
3,KPAH20170624_101022_V06,-26.072,0.050,425.470,283.847,2.483,-88.066,37.139,1241.703,63252.532,20170624_051022,479176,4,73270,3
4,KPAH20170624_102935_V06,-6.856,0.243,183.584,436.978,12.518,-89.421,36.449,6259.068,89882.979,20170624_052935,479187,21,35817,15
5,KPAH20170624_102935_V06,-6.856,0.058,223.658,366.446,7.546,-89.199,36.768,3773.031,50604.107,20170624_052935,479187,21,35817,15
1,KPAH20170625_101602_V06,-20.720,0.120,185.689,421.944,6.809,-89.410,36.517,3404.444,83572.296,20170625_051602,479180,10,15771,6
1,KPAH20170625_102539_V06,-11.103,-1.000,185.689,421.944,22.099,-89.410,36.517,11049.694,83572.296,20170625_052539,479178,26,14815,10
1,KPAH20170625_103516_V06,-1.487,0.658,186.834,428.735,21.739,-89.403,36.487,10869.546,85702.015,20170625_053516,479180,92,15316,91
1,KPAH20170625_104453_V06,8.130,0.134,191.744,430.918,34.649,-89.376,36.477,17324.472,84939.716,20170625_054453,479184,84,14673,80
2,KPAH20170625_102539_V06,-11.103,0.264,411.963,504.432,17.176,-88.150,36.146,8588.048,116541.839,20170625_052539,479178,26,14815,10
3,KPAH20170625_102539_V06,-11.103,0.082,423.161,219.432,3.138,-88.076,37.429,1568.985,73586.337,20170625_052539,479178,26,14815,10
4,KPAH20170626_103447_V06,-2.308,0.556,183.320,428.670,17.131,-89.423,36.487,8565.607,86847.804,20170626_053447,479179,19,25871,18
4,KPAH20170626_104423_V06,7.292,0.499,186.096,432.134,28.626,-89.407,36.471,14312.799,87225.879,20170626_054423,479187,143,25575,135
4,KPAH20170626_105400_V06,16.908,0.071,190.082,439.073,37.630,-89.385,36.440,18815.063,88633.154,20170626_055400,479183,19,28284,17
2,KPAH20170626_102510_V06,-11.925,0.318,503.696,402.399,12.434,-87.634,36.601,6217.112,113992.955,20170626_052510,479180,2,29384,1
3,KPAH20170626_102510_V06,-11.925,0.053,401.423,492.107,6.397,-88.208,36.201,3198.272,108618.248,20170626_052510,479180,2,29384,1
5,KPAH20170626_113227_V06,55.358,0.054,220.941,326.315,12.882,-89.216,36.949,6440.786,41661.444,20170626_063227,479180,11,37322,10
4,KPAH20170627_102359_V06,-13.470,0.051,188.350,420.937,2.922,-89.395,36.522,1461.035,82297.483,20170627_052359,479180,240,93701,28
4,KPAH20170627_102850_V06,-8.620,-1.000,188.350,420.937,10.634,-89.395,36.522,5316.785,82297.483,20170627_052850,479186,236,90413,26
4,KPAH20170627_103407_V06,-3.337,0.066,189.701,425.538,17.986,-89.388,36.501,8993.169,83554.800,20170627_053407,479188,292,88835,51
8,KPAH20170627_113222_V06,54.913,0.063,19.240,322.143,25.432,-90.348,36.958,12716.161,140816.147,20170627_063222,479186,381,92648,2
8,KPAH20170627_113713_V06,59.763,0.148,20.085,323.651,31.897,-90.343,36.951,15948.320,140456.196,20170627_063713,479184,365,91777,3
2,KPAH20170627_101417_V06,-23.170,0.088,310.238,172.694,4.970,-88.714,37.642,2485.191,63858.761,20170627_051417,479176,200,101991,31
3,KPAH20170627_101908_V06,-18.320,0.100,414.016,287.542,11.561,-88.130,37.123,5780.434,57347.228,20170627_051908,479188,199,97502,35
