track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KPDT20160602_111753_V06,-50.671,0.055,468.144,47.293,30.240,-117.751,46.822,15119.923,151767.130,20160602_041753,479180,128,84649,96
2,KPDT20160602_112330_V06,-45.054,0.058,470.455,48.355,38.654,-117.736,46.817,19326.799,151970.296,20160602_042330,479184,159,85367,123
2,KPDT20160602_112906_V06,-39.454,0.052,479.362,53.072,41.912,-117.678,46.795,20956.229,152597.550,20160602_042906,479182,149,85935,118
7,KPDT20160602_115107_V06,-17.438,0.462,154.354,84.048,17.981,-119.804,46.658,8990.309,130238.386,20160602_045107,479189,137,84827,107
7,KPDT20160602_115648_V06,-11.754,0.450,157.928,83.015,24.807,-119.781,46.663,12403.592,129679.203,20160602_045648,479181,135,90175,103
13,KPDT20160602_125203_V06,43.496,0.051,32.902,409.436,49.308,-120.552,45.186,24654.152,144324.119,20160602_055203,479180,179,89680,143
13,KPDT20160602_125740_V06,49.112,0.058,35.501,406.815,55.957,-120.536,45.198,27978.299,142626.192,20160602_055740,479183,153,91953,128
21,KPDT20160602_133117_V06,82.729,0.244,54.897,396.474,63.257,-120.414,45.246,31628.313,131702.847,20160602_063117,479175,187,95247,143
21,KPDT20160602_133653_V06,88.329,0.119,55.322,395.744,70.259,-120.411,45.249,35129.749,131371.943,20160602_063653,479182,189,96461,158
5,KPDT20160602_113955_V06,-28.638,0.107,192.278,280.166,22.803,-119.545,45.778,11401.310,54766.170,20160602_043955,479176,164,86029,124
10,KPDT20160602_120224_V06,-6.154,0.089,65.641,259.510,60.253,-120.362,45.863,30126.667,118915.369,20160602_050224,479178,163,95293,129
19,KPDT20160602_132004_V06,71.512,0.107,273.907,147.468,29.909,-119.022,46.377,14954.653,77373.822,20160602_062004,479180,223,96130,174
20,KPDT20160602_132004_V06,71.512,0.069,32.592,410.608,51.120,-120.554,45.180,25559.908,144690.358,20160602_062004,479180,223,96130,174
1,KPDT20160604_111203_V06,-55.572,0.509,258.639,211.400,2.799,-119.120,46.089,1399.391,48889.530,20160604_041203,479175,154,27205,149
3,KPDT20160604_114517_V06,-22.339,0.110,219.547,38.242,18.482,-119.380,46.867,9241.219,136921.556,20160604_044517,479180,210,21425,176
2,KPDT20160605_125251_V06,45.635,0.295,228.673,82.506,24.718,-119.319,46.668,12359.230,114445.539,20160605_055251,479175,138,18560,121
2,KPDT20160605_130209_V06,54.935,0.222,226.969,83.105,34.115,-119.330,46.665,17057.564,114430.232,20160605_060209,479175,139,16993,121
1,KPDT20160605_111957_V06,-47.265,0.070,222.576,41.149,18.049,-119.360,46.854,9024.443,135091.111,20160605_041957,479177,134,22155,111
1,KPDT20160606_115057_V06,-15.897,0.079,250.356,149.846,28.578,-119.175,46.366,14288.965,79073.930,20160606_045057,479180,218,19466,176
2,KPDT20160606_123725_V06,30.570,0.068,30.650,204.516,49.314,-120.595,46.107,24656.960,142886.927,20160606_053725,479177,170,21514,129
2,KPDT20160607_115033_V06,-15.968,0.154,256.667,127.872,10.293,-119.135,46.465,5146.465,88749.566,20160607_045033,479176,117,19485,96
2,KPDT20160607_115950_V06,-6.685,0.058,254.017,114.483,26.226,-119.152,46.525,13112.968,95565.440,20160607_045950,479177,145,21474,114
2,KPDT20160607_120907_V06,2.598,0.054,257.448,112.448,34.511,-119.130,46.534,17255.702,96159.383,20160607_050907,479179,137,22853,116
1,KPDT20160607_114115_V06,-25.268,0.051,235.401,256.202,18.158,-119.269,45.887,9079.077,39023.607,20160607_044115,479180,113,17872,94
3,KPDT20160607_124616_V06,39.748,0.490,301.528,74.282,30.719,-118.843,46.706,15359.367,112861.594,20160607_054616,479177,156,22019,133
1,KPDT20160608_110753_V06,-58.346,0.415,262.240,298.999,12.122,-119.095,45.695,6061.201,18886.552,20160608_040753,479200,650,50780,249
3,KPDT20160608_112100_V06,-45.229,0.301,267.418,291.536,15.992,-119.062,45.728,7996.103,16831.747,20160608_042100,479192,631,52997,302
9,KPDT20160608_124422_V06,38.138,0.174,219.350,223.807,13.198,-119.374,46.032,6598.854,55474.589,20160608_054422,479194,538,34034,281
2,KPDT20160610_113058_V06,-34.803,0.055,215.606,104.500,33.960,-119.403,46.569,16980.219,106469.213,20160610_043058,479178,620,62172,192
1,KPDT20160612_111435_V06,-50.885,0.060,405.388,238.338,3.412,-118.173,45.966,1706.036,61050.625,20160612_041435,479183,69,25078,52
1,KPDT20160613_110759_V06,-57.393,0.167,257.974,211.887,5.172,-119.124,46.087,2585.854,48811.341,20160613_040759,479180,114,28538,94
1,KPDT20160614_113706_V06,-28.224,0.099,372.286,196.085,15.843,-118.385,46.157,7921.459,63292.143,20160614_043706,479176,188,33665,155
2,KPDT20160614_115125_V06,-13.908,0.068,378.710,186.295,14.716,-118.343,46.201,7358.009,69144.823,20160614_045125,479180,159,27938,126
3,KPDT20160614_130631_V06,61.192,0.071,410.920,211.130,23.850,-118.136,46.088,11925.198,71065.191,20160614_060631,479181,205,16304,167
6,KPDT20160616_120954_V06,4.562,0.079,249.544,508.651,16.910,-119.171,44.751,8455.095,107332.401,20160616_050954,479197,222,17696,175
10,KPDT20160618_130639_V06,61.143,0.057,234.987,496.115,30.915,-119.264,44.807,15457.639,103305.048,20160618_060639,479201,191,185963,149
1,KPDT20160620_110813_V06,-57.613,0.084,467.298,172.938,8.371,-117.768,46.257,4185.589,105039.876,20160620_040813,479179,184,27407,143
1,KPDT20160622_115652_V06,-9.437,0.609,264.233,79.836,8.292,-119.087,46.681,4145.998,111525.100,20160622_045652,479178,124,18144,97
1,KPDT20160623_113545_V06,-30.847,0.223,67.611,139.432,73.907,-120.364,46.403,36953.697,141232.918,20160623_043545,479182,181,25068,150
