track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KPOE20180601_102842_V06,-39.931,0.080,404.232,263.639,4.816,-92.428,31.318,2408.192,55196.220,20180601_052842,479170,0,14818,0
1,KPOE20180601_103821_V06,-30.281,0.214,407.119,260.951,16.469,-92.413,31.330,8234.347,57007.017,20180601_053821,479170,0,16842,0
2,KPOE20180601_104800_V06,-20.631,0.117,354.593,204.178,10.363,-92.688,31.587,5181.450,55141.218,20180601_054800,479173,0,14707,0
1,KPOE20180602_103550_V06,-32.566,0.073,313.805,419.471,29.778,-92.904,30.616,14888.851,60132.915,20180602_053550,479174,0,20597,0
2,KPOE20180602_113219_V06,23.918,0.054,19.022,277.865,16.866,-94.451,31.247,8433.039,140924.076,20180602_063219,479169,4,31751,0
15,KPOE20180603_122616_V06,78.075,0.131,295.607,21.401,22.288,-92.999,32.412,11143.921,139316.756,20180603_072616,479178,994,54443,87
15,KPOE20180603_123127_V06,83.258,0.068,296.266,21.715,28.561,-92.996,32.410,14280.445,139154.783,20180603_073127,479175,1344,52696,116
1,KPOE20180603_104820_V06,-19.859,0.254,471.404,149.281,49.496,-92.071,31.832,24747.871,114122.091,20180603_054820,479171,2308,47759,405
3,KPOE20180603_113203_V06,23.858,0.110,177.855,25.753,26.383,-93.625,32.390,13191.740,150108.882,20180603_063203,479177,1563,55972,152
1,KPOE20180604_103624_V06,-31.610,0.258,416.372,400.272,16.273,-92.368,30.702,8136.694,76806.373,20180604_053624,479174,39,37052,35
1,KPOE20180604_104203_V06,-25.960,0.578,417.313,404.051,24.341,-92.364,30.685,12170.651,78404.362,20180604_054203,479178,112,33508,109
1,KPOE20180604_104740_V06,-20.343,0.394,416.765,410.841,29.603,-92.367,30.654,14801.732,80498.356,20180604_054740,479175,193,24562,190
1,KPOE20180604_105318_V06,-14.710,0.262,411.948,422.192,37.590,-92.392,30.603,18795.059,82860.186,20180604_055318,479172,178,20091,167
1,KPOE20180604_110432_V06,-3.476,0.131,408.490,422.645,30.971,-92.410,30.601,15485.659,81871.684,20180604_060432,479177,45,18643,35
7,KPOE20180604_120055_V06,52.907,0.108,31.760,420.403,56.250,-94.374,30.605,28125.050,147011.380,20180604_070055,479177,27,25911,25
7,KPOE20180604_120633_V06,58.540,0.055,32.682,416.609,63.483,-94.370,30.622,31741.434,145822.270,20180604_070633,479177,23,25702,21
7,KPOE20180604_121210_V06,64.157,0.053,31.473,413.155,56.421,-94.376,30.637,28210.724,145697.244,20180604_071210,479175,34,25299,26
2,KPOE20180604_103624_V06,-31.610,0.125,371.914,334.347,3.104,-92.599,31.000,1552.181,39847.605,20180604_053624,479174,39,37052,35
4,KPOE20180604_104203_V06,-25.960,0.066,461.721,100.969,68.920,-92.120,32.050,34460.102,128225.559,20180604_054203,479178,112,33508,109
5,KPOE20180604_110432_V06,-3.476,0.203,255.164,47.552,6.309,-93.214,32.293,3154.387,128199.178,20180604_060432,479177,45,18643,35
3,KPOE20180605_105014_V06,-17.619,0.085,427.044,409.340,23.541,-92.313,30.660,11770.729,83808.685,20180605_055014,479172,789,27246,13
7,KPOE20180605_114229_V06,34.631,0.073,299.470,80.452,5.728,-92.979,32.145,2864.002,109774.245,20180605_064229,479170,682,32813,77
8,KPOE20180605_120910_V06,61.315,0.163,319.011,86.590,24.245,-92.875,32.118,12122.551,107127.704,20180605_070910,479177,2205,41600,119
1,KPOE20180606_123132_V06,83.814,0.095,412.982,417.044,18.479,-92.387,30.626,9239.315,81338.989,20180606_073132,479173,8,35226,2
2,KPOE20180606_123132_V06,83.814,0.054,331.598,538.478,22.549,-92.812,30.080,11274.460,120281.148,20180606_073132,479173,8,35226,2
1,KPOE20180607_103451_V06,-32.760,0.089,249.319,107.865,28.079,-93.244,32.021,14039.341,99353.304,20180607_053451,479171,1,46901,1
2,KPOE20180607_104335_V06,-24.027,0.129,22.756,230.651,26.114,-94.434,31.460,13056.810,142892.900,20180607_054335,479170,0,45828,0
3,KPOE20180607_111830_V06,10.890,0.094,275.816,567.130,41.053,-93.101,29.950,20526.461,134111.185,20180607_061830,479173,21,27226,0
4,KPOE20180607_122819_V06,80.706,0.065,102.767,99.169,21.093,-94.020,32.057,10546.393,140742.537,20180607_072819,479172,9,31126,1
2,KPOE20180608_110819_V06,0.790,0.116,282.012,563.530,27.574,-93.069,29.967,13786.770,132071.727,20180608_060819,479169,0,21041,0
2,KPOE20180608_111704_V06,9.540,0.106,278.346,564.630,39.987,-93.088,29.962,19993.379,132757.062,20180608_061704,479171,0,22387,0
1,KPOE20180608_103325_V06,-34.110,0.051,25.877,453.446,35.746,-94.403,30.455,17873.047,157074.236,20180608_053325,479172,0,41994,0
1,KPOE20180609_104355_V06,-23.550,0.056,417.475,399.671,13.665,-92.363,30.704,6832.685,77030.441,20180609_054355,479182,134,59176,2
3,KPOE20180612_110318_V06,-4.130,0.059,309.781,549.845,19.003,-92.925,30.028,9501.411,125018.418,20180612_060318,479186,78,30107,3
3,KPOE20180612_110710_V06,-0.264,0.053,310.906,548.936,23.995,-92.919,30.033,11997.255,124587.626,20180612_060710,479179,105,29743,1
3,KPOE20180612_111103_V06,3.620,-1.000,311.712,548.285,29.340,-92.915,30.035,14670.143,124280.549,20180612_061103,479180,110,29542,3
3,KPOE20180612_111457_V06,7.520,0.283,302.372,546.343,38.477,-92.964,30.044,19238.280,123177.110,20180612_061457,479182,95,29502,0
3,KPOE20180612_111852_V06,11.436,0.494,300.092,545.265,43.809,-92.975,30.049,21904.723,122632.398,20180612_061852,479176,94,29221,3
3,KPOE20180612_112244_V06,15.303,0.447,302.352,542.009,51.169,-92.964,30.064,25584.579,121010.125,20180612_062244,479179,90,28376,2
3,KPOE20180612_112637_V06,19.186,0.123,302.621,532.792,56.070,-92.962,30.105,28034.866,116403.298,20180612_062637,479181,84,26814,3
2,KPOE20180613_114820_V06,40.868,0.054,25.681,471.980,46.900,-94.403,30.372,23449.869,161885.710,20180613_064820,479173,0,38285,0
3,KPOE20180614_104215_V06,-25.273,0.650,415.985,407.432,12.691,-92.371,30.669,6345.539,79047.373,20180614_054215,479169,31,39975,0
3,KPOE20180614_105059_V06,-16.540,0.222,417.704,407.517,21.397,-92.362,30.669,10698.368,79708.823,20180614_055059,479171,17,33947,0
1,KPOE20180614_102447_V06,-42.740,0.122,340.321,163.108,36.661,-92.763,31.772,18330.299,71353.180,20180614_052447,479174,1,49238,1
2,KPOE20180614_103331_V06,-34.006,0.100,29.348,433.513,43.638,-94.386,30.545,21819.187,150896.005,20180614_053331,479173,19,44625,2
4,KPOE20180614_111859_V06,11.460,0.175,25.747,460.257,43.016,-94.403,30.425,21507.978,158821.350,20180614_061859,479180,292,56251,5
1,KPOE20180615_101123_V06,-56.220,0.284,416.136,403.677,9.208,-92.370,30.686,4604.198,77840.414,20180615_051123,479180,26,45425,0
1,KPOE20180615_101545_V06,-51.854,0.053,416.032,403.086,15.530,-92.370,30.689,7764.981,77604.980,20180615_051545,479185,54,45288,1
2,KPOE20180615_101123_V06,-56.220,0.199,251.114,547.239,10.883,-93.229,30.040,5441.511,126012.971,20180615_051123,479180,26,45425,0
4,KPOE20180615_114933_V06,41.946,0.060,415.324,409.062,13.096,-92.374,30.662,6548.155,79363.371,20180615_064933,479171,7,52860,2
1,KPOE20180616_105122_V06,-16.340,0.126,346.044,444.881,16.639,-92.736,30.502,8319.601,76010.688,20180616_055122,479170,0,45744,0
5,KPOE20180617_110330_V06,-4.331,0.062,277.314,541.648,25.735,-93.093,30.065,12867.704,121355.329,20180617_060330,479175,1,28176,1
5,KPOE20180617_111215_V06,4.419,0.229,275.319,541.749,36.705,-93.104,30.065,18352.525,121502.686,20180617_061215,479172,6,21845,0
5,KPOE20180617_112057_V06,13.119,0.219,274.501,531.446,46.845,-93.108,30.111,23422.260,116423.284,20180617_062057,479171,13,17361,1
2,KPOE20180617_104411_V06,-23.648,0.122,366.391,360.049,3.467,-92.629,30.884,1733.589,44759.289,20180617_054411,479169,0,47919,0
4,KPOE20180617_110330_V06,-4.331,0.109,476.451,260.271,7.306,-92.049,31.331,3652.828,90434.260,20180617_060330,479175,1,28176,1
6,KPOE20180617_112057_V06,13.119,0.107,173.989,421.402,28.010,-93.633,30.606,14004.848,87489.119,20180617_062057,479171,13,17361,1
7,KPOE20180618_112522_V06,17.390,0.433,329.399,359.405,27.471,-92.822,30.887,13735.657,33140.800,20180618_062522,479173,1068,69639,7
7,KPOE20180618_112915_V06,21.273,0.149,329.820,358.585,33.218,-92.820,30.891,16609.163,32869.000,20180618_062915,479186,1154,69730,14
4,KPOE20180618_110429_V06,-3.494,0.069,188.384,368.101,39.974,-93.559,30.847,19986.860,65375.606,20180618_060429,479198,1268,62660,45
2,KPOE20180619_102550_V06,-42.311,0.242,424.662,180.505,27.040,-92.318,31.692,13520.142,86342.096,20180619_052550,479189,3219,272007,7
2,KPOE20180619_103056_V06,-37.211,0.291,423.896,180.983,33.101,-92.322,31.690,16550.685,85899.965,20180619_053056,479190,2859,276560,10
2,KPOE20180619_103627_V06,-31.694,0.090,426.397,176.384,34.233,-92.309,31.711,17116.286,88398.304,20180619_053627,479182,3518,278919,12
2,KPOE20180619_104157_V06,-26.194,0.185,426.073,169.694,29.143,-92.311,31.741,14571.480,90655.965,20180619_054157,479185,3604,280829,11
3,KPOE20180619_103056_V06,-37.211,0.129,281.817,74.845,15.785,-93.072,32.171,7892.513,112943.788,20180619_053056,479190,2859,276560,10
4,KPOE20180619_103627_V06,-31.694,0.102,356.615,73.855,16.677,-92.676,32.175,8338.593,116562.007,20180619_053627,479182,3518,278919,12
6,KPOE20180619_112141_V06,13.539,0.084,310.149,150.246,17.672,-92.922,31.831,8836.143,75048.762,20180619_062141,479175,3363,288711,48
7,KPOE20180619_112141_V06,13.539,0.065,307.767,183.557,16.762,-92.935,31.680,8380.753,58350.895,20180619_062141,479175,3363,288711,48
2,KPOE20180620_104025_V06,-27.916,0.225,402.441,225.497,5.139,-92.437,31.490,2569.710,63334.322,20180620_054025,479185,243,109740,3
2,KPOE20180620_104446_V06,-23.566,0.612,402.187,224.776,10.801,-92.438,31.493,5400.662,63444.601,20180620_054446,479187,284,108930,0
2,KPOE20180620_104939_V06,-18.682,0.359,403.537,220.581,14.404,-92.431,31.512,7202.168,65244.562,20180620_054939,479179,292,107968,5
