track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
5,KRIW20140601_105604_V06,-41.246,0.168,238.809,419.877,25.187,-108.849,42.526,12593.353,67295.501,20140601_045604,479187,1028,86150,38
16,KRIW20140601_120105_V06,23.771,0.060,404.208,114.357,78.209,-107.828,43.900,39104.343,106445.453,20140601_060105,479202,1093,66634,59
17,KRIW20140603_125513_V06,78.813,0.254,392.721,65.104,26.890,-107.897,44.122,13445.038,126267.093,20140603_065513,479182,10,50023,5
17,KRIW20140603_130036_V06,84.196,0.393,392.525,63.004,33.037,-107.899,44.131,16518.744,127208.505,20140603_070036,479187,9,49098,4
6,KRIW20140603_110515_V06,-31.154,0.145,26.721,82.655,36.037,-110.181,44.032,18018.728,174585.294,20140603_050515,479183,4,60888,2
10,KRIW20140603_112836_V06,-7.804,0.066,24.959,130.442,31.717,-110.186,43.817,15858.490,161552.858,20140603_052836,479185,6,48710,0
10,KRIW20140603_113425_V06,-1.987,-1.000,24.959,130.442,40.965,-110.186,43.817,20482.740,161552.858,20140603_053425,479185,0,45995,0
10,KRIW20140603_113921_V06,2.946,0.062,33.882,119.713,36.314,-110.132,43.866,18157.112,160718.629,20140603_053921,479185,3,44707,0
4,KRIW20140608_110903_V06,-25.704,0.090,39.928,112.694,51.757,-110.095,43.898,25878.540,160250.679,20140608_050903,479189,44,126681,0
4,KRIW20140608_111215_V06,-22.504,0.174,39.755,114.576,55.593,-110.096,43.889,27796.347,159772.778,20140608_051215,479194,77,127836,0
4,KRIW20140608_111526_V06,-19.320,0.100,38.883,122.263,54.989,-110.101,43.855,27494.457,157933.850,20140608_051526,479203,110,130453,3
4,KRIW20140608_111836_V06,-16.154,0.134,36.461,131.064,52.101,-110.115,43.815,26050.603,156518.503,20140608_051836,479197,153,132473,2
4,KRIW20140608_112146_V06,-12.987,-1.000,34.780,138.611,50.749,-110.124,43.781,25374.395,155231.967,20140608_052146,479190,192,133736,0
4,KRIW20140608_112459_V06,-9.770,0.071,42.162,132.570,53.522,-110.079,43.808,26760.830,153714.883,20140608_052459,479197,220,134383,4
1,KRIW20140608_105931_V06,-35.237,0.051,35.983,109.384,49.176,-110.120,43.912,24587.795,162818.518,20140608_045931,479188,23,123059,1
2,KRIW20140613_105544_V06,-38.265,0.065,418.925,221.152,15.576,-107.742,43.419,7788.136,71344.234,20140613_045544,479190,2,71022,0
2,KRIW20140616_103625_V06,-57.557,0.081,172.303,296.629,21.391,-109.261,43.079,10695.595,63870.600,20140616_043625,479187,4,70883,2
2,KRIW20140616_104147_V06,-52.191,0.117,172.253,296.601,27.686,-109.261,43.079,13843.023,63896.034,20140616_044147,479181,1,69216,0
10,KRIW20140616_121448_V06,40.826,0.107,21.818,124.462,28.375,-110.206,43.843,14187.469,164467.924,20140616_061448,479184,16,30379,6
10,KRIW20140616_121945_V06,45.776,0.159,22.827,124.973,34.436,-110.200,43.841,17217.788,163905.017,20140616_061945,479178,7,31063,0
10,KRIW20140616_122442_V06,50.726,0.140,27.167,124.120,30.565,-110.173,43.845,15282.646,162305.292,20140616_062442,479195,4,29493,4
10,KRIW20140616_122938_V06,55.659,0.080,29.109,123.694,36.592,-110.161,43.847,18296.148,161605.590,20140616_062938,479182,10,26731,0
7,KRIW20140616_110252_V06,-31.107,0.120,228.026,229.663,36.965,-108.921,43.382,18482.428,50318.081,20140616_050252,479177,0,51841,0
2,KRIW20140617_113859_V06,4.946,0.054,25.640,163.456,50.242,-110.178,43.668,25120.823,153229.800,20140617_053859,479178,249,49902,42
2,KRIW20140617_114356_V06,9.896,0.164,26.081,165.155,57.375,-110.175,43.660,28687.309,152655.602,20140617_054356,479185,227,51435,15
2,KRIW20140617_114852_V06,14.829,0.205,30.929,164.942,60.737,-110.145,43.662,30368.499,150532.284,20140617_054852,479184,631,47261,97
2,KRIW20140617_115347_V06,19.746,0.277,34.950,160.320,60.129,-110.120,43.683,30064.475,149801.442,20140617_055347,479175,966,49181,201
1,KRIW20140621_105515_V06,-39.390,0.281,268.962,244.993,37.065,-108.668,43.314,18532.272,31579.981,20140621_045515,479179,3,67196,1
1,KRIW20140621_110459_V06,-29.657,0.109,266.346,242.719,44.579,-108.684,43.324,22289.632,33217.792,20140621_050459,479184,4,62208,2
1,KRIW20140621_111443_V06,-19.924,0.182,248.686,237.088,24.675,-108.793,43.349,12337.381,40592.552,20140621_051443,479179,0,52036,0
5,KRIW20140625_114039_V06,4.865,0.078,28.772,178.334,40.544,-110.156,43.601,20272.051,148633.266,20140625_054039,479177,5,45705,0
5,KRIW20140625_115023_V06,14.598,0.431,30.544,176.850,50.639,-110.146,43.608,25319.381,148131.855,20140625_055023,479183,19,37130,3
5,KRIW20140625_120008_V06,24.348,0.422,42.157,182.348,44.755,-110.073,43.585,22377.609,141708.519,20140625_060008,479183,11,27688,7
4,KRIW20140625_114039_V06,4.865,0.084,157.381,200.658,18.362,-109.359,43.510,9181.091,86903.616,20140625_054039,479177,5,45705,0
5,KRIW20140626_124140_V06,65.514,0.058,22.615,210.646,35.864,-110.190,43.455,17932.005,145710.956,20140626_064140,479203,9,45634,1
5,KRIW20140626_124452_V06,68.714,0.115,22.359,209.604,40.056,-110.192,43.460,20028.073,145993.018,20140626_064452,479198,8,46618,2
5,KRIW20140626_124805_V06,71.931,0.132,23.126,203.787,40.884,-110.188,43.486,20441.962,146557.362,20140626_064805,479189,10,46540,0
5,KRIW20140626_125117_V06,75.131,0.173,25.224,197.385,39.152,-110.176,43.515,19575.930,146655.849,20140626_065117,479193,4,47236,0
5,KRIW20140626_125428_V06,78.314,0.112,26.932,194.100,40.237,-110.166,43.530,20118.618,146441.831,20140626_065428,479193,3,48332,3
5,KRIW20140626_125741_V06,81.531,0.058,28.893,193.475,43.714,-110.154,43.533,21856.964,145641.901,20140626_065741,479190,16,47945,1
2,KRIW20140626_104014_V06,-55.919,0.088,23.860,182.632,33.029,-110.186,43.582,16514.702,150023.812,20140626_044014,479184,0,99519,0
7,KRIW20140627_111753_V06,-18.668,0.088,329.434,442.643,26.074,-108.298,42.424,13036.945,72824.018,20140627_051753,479194,127,124526,3
7,KRIW20140627_112214_V06,-14.318,0.298,330.600,441.509,31.045,-108.291,42.429,15522.726,72389.821,20140627_052214,479203,65,123202,6
1,KRIW20140630_114058_V06,3.040,0.420,379.724,399.620,45.386,-107.991,42.617,22693.125,63796.501,20140630_054058,479184,5,45035,2
1,KRIW20140630_115043_V06,12.790,-1.000,379.724,399.620,60.889,-107.991,42.617,30444.375,63796.501,20140630_055043,479183,10,40817,2
1,KRIW20140630_120027_V06,22.523,0.120,379.126,406.486,54.570,-107.995,42.586,27284.885,66332.743,20140630_060027,479184,10,35178,4
1,KRIW20140630_121011_V06,32.257,0.149,366.254,417.017,44.699,-108.073,42.539,22349.348,67235.564,20140630_061011,479179,8,29636,0
1,KRIW20140704_110426_V06,-35.724,0.059,358.401,361.895,10.990,-108.120,42.787,5495.232,42549.219,20140704_050426,479182,0,73926,0
2,KRIW20140704_114320_V06,3.176,0.065,310.308,93.127,1.913,-108.412,43.997,956.429,103564.889,20140704_054320,479181,5,55536,4
3,KRIW20140704_114320_V06,3.176,0.059,320.801,105.651,12.945,-108.347,43.941,6472.256,97729.700,20140704_054320,479181,5,55536,4
1,KRIW20140706_112022_V06,-21.063,0.192,388.606,319.748,8.578,-107.934,42.976,4289.093,45390.263,20140706_052022,479180,8,77150,1
1,KRIW20140708_114041_V06,-2.115,0.092,309.917,100.741,4.883,-108.415,43.963,2441.513,99753.024,20140708_054041,479191,10,48026,1
1,KRIW20140712_111720_V06,-28.470,0.059,382.248,396.624,38.704,-107.975,42.630,19351.837,63444.780,20140712_051720,479188,1,49933,0
1,KRIW20140713_124223_V06,55.777,0.159,396.107,323.910,11.870,-107.888,42.957,5934.849,49518.486,20140713_064223,479184,5,36078,4
1,KRIW20140714_113657_V06,-10.479,0.263,423.294,391.303,24.127,-107.725,42.653,12063.534,76710.043,20140714_053657,479178,7,42108,1
6,KRIW20140716_113532_V06,-13.595,0.139,370.465,307.564,14.700,-108.044,43.031,7349.823,35434.925,20140716_053532,479201,30,67315,1
6,KRIW20140716_113943_V06,-9.412,0.754,372.472,307.407,19.210,-108.032,43.032,9605.088,36424.528,20140716_053943,479180,44,65649,1
1,KRIW20140718_130737_V06,76.719,0.085,313.822,324.985,19.255,-108.392,42.954,9627.281,14276.643,20140718_070737,479181,13,48288,7
1,KRIW20140719_115412_V06,2.394,0.188,319.459,105.018,11.531,-108.355,43.944,5765.575,97975.541,20140719_055412,479183,7,40479,3
8,KRIW20140721_125542_V06,62.032,0.141,190.869,313.071,17.830,-109.146,43.005,8914.791,54955.706,20140721_065542,479176,11,42890,6
2,KRIW20140722_115805_V06,3.464,0.088,199.034,185.882,20.093,-109.102,43.578,10046.465,76185.690,20140722_055805,479198,12,48289,3
4,KRIW20140729_111403_V06,-47.543,0.052,17.540,146.342,18.527,-110.230,43.744,9263.483,160775.242,20140729_051403,479198,150,79443,0
4,KRIW20140729_111801_V06,-43.577,0.274,17.937,147.643,24.615,-110.227,43.738,12307.268,160290.752,20140729_051801,479195,177,79531,3
4,KRIW20140729_112200_V06,-39.593,0.294,19.438,149.481,27.088,-110.218,43.730,13544.133,159194.008,20140729_052200,479199,180,80699,0
4,KRIW20140729_112612_V06,-35.393,0.218,23.328,157.403,32.295,-110.193,43.695,16147.396,155628.842,20140729_052612,479180,243,77981,2
4,KRIW20140729_113009_V06,-31.443,0.245,25.724,153.199,32.536,-110.178,43.714,16267.982,155545.777,20140729_053009,479201,293,83402,4
4,KRIW20140729_113419_V06,-27.277,-1.000,28.424,152.791,34.513,-110.162,43.716,17256.421,154453.877,20140729_053419,479181,300,81089,8
4,KRIW20140729_113832_V06,-23.060,-1.000,31.156,152.379,36.513,-110.145,43.718,18256.722,153353.332,20140729_053832,479180,258,84451,2
4,KRIW20140729_114243_V06,-18.877,-1.000,33.867,151.970,38.498,-110.128,43.720,19249.115,152266.016,20140729_054243,479185,202,84077,2
4,KRIW20140729_114654_V06,-14.693,-1.000,36.578,151.560,40.483,-110.111,43.723,20241.508,151183.308,20140729_054654,479193,157,87742,4
4,KRIW20140729_115107_V06,-10.477,-1.000,39.310,151.148,42.484,-110.094,43.725,21241.808,150096.738,20140729_055107,479179,192,86474,5
4,KRIW20140729_115519_V06,-6.277,0.078,33.734,145.817,41.503,-110.130,43.748,20751.403,153842.189,20140729_055519,479186,230,87770,5
4,KRIW20140729_115943_V06,-1.877,0.164,34.793,146.999,45.576,-110.123,43.743,22787.997,153088.200,20140729_055943,479176,161,90147,6
4,KRIW20140729_120409_V06,2.557,0.117,36.355,134.674,33.246,-110.115,43.799,16622.887,155596.672,20140729_060409,479191,182,91451,4
2,KRIW20140729_110607_V06,-55.477,0.159,14.071,145.652,16.409,-110.252,43.747,8204.363,162464.355,20140729_050607,479199,165,79817,1
7,KRIW20140729_111801_V06,-43.577,0.051,27.337,200.153,49.888,-110.163,43.503,24944.225,145184.977,20140729_051801,479195,177,79531,3
1,KRIW20140808_124933_V06,37.380,0.071,284.233,287.706,17.129,-108.574,43.121,8564.381,9996.990,20140808_064933,479183,6,44807,3
11,KRIW20140814_132254_V06,64.219,0.170,423.647,91.629,29.968,-107.706,44.001,14984.154,121147.605,20140814_072254,479191,18,121851,6
1,KRIW20140816_122938_V06,8.768,0.102,296.823,288.802,26.394,-108.496,43.117,13196.938,5820.091,20140816_062938,479176,17,52372,9
2,KRIW20140816_123922_V06,18.502,0.313,257.269,503.680,36.300,-108.735,42.149,18150.028,104056.902,20140816_063922,479179,8,51495,3
1,KRIW20140819_130144_V06,37.584,0.056,411.620,94.480,44.815,-107.781,43.989,22407.349,116937.532,20140819_070144,479188,9,55603,4
2,KRIW20140819_132111_V06,57.034,0.455,302.809,562.432,36.023,-108.460,41.885,18011.375,131223.274,20140819_072111,479191,19,53588,9
1,KRIW20140821_124125_V06,15.076,0.081,24.704,203.075,27.973,-110.178,43.490,13986.484,145929.869,20140821_064125,479198,21,55571,1
1,KRIW20140821_124510_V06,18.826,-1.000,24.704,203.075,33.935,-110.178,43.490,16967.734,145929.869,20140821_064510,479212,6,53559,2
1,KRIW20140821_124855_V06,22.576,0.092,27.086,199.046,36.669,-110.164,43.508,18334.485,145493.986,20140821_064855,479200,9,53167,3
1,KRIW20140821_125240_V06,26.326,0.056,32.984,183.702,28.675,-110.130,43.578,14337.378,145621.569,20140821_065240,479198,8,51766,2
4,KRIW20140821_133005_V06,63.743,0.071,55.266,133.129,60.230,-109.997,43.807,30115.143,148105.162,20140821_073005,479190,16,49880,5
5,KRIW20140822_121243_V06,-14.720,0.096,43.430,116.853,50.397,-110.073,43.879,25198.269,157615.837,20140822_061243,479193,14,72023,9
5,KRIW20140822_121628_V06,-10.970,-1.000,43.430,116.853,56.359,-110.073,43.879,28179.519,157615.837,20140822_061628,479192,12,66840,1
5,KRIW20140822_122012_V06,-7.237,0.096,47.606,109.965,59.716,-110.048,43.911,29857.988,157968.476,20140822_062012,479200,17,63952,0
18,KRIW20140822_134625_V06,78.980,0.052,188.566,176.762,19.522,-109.167,43.619,9761.126,83074.082,20140822_074625,479193,29,39548,20
18,KRIW20140822_135009_V06,82.713,0.299,189.451,175.588,24.455,-109.162,43.624,12227.375,83215.818,20140822_075009,479192,21,40772,13
6,KRIW20140822_121628_V06,-10.970,0.111,42.530,115.352,43.553,-110.079,43.886,21776.695,158418.504,20140822_061628,479192,12,66840,1
10,KRIW20140822_123857_V06,11.513,0.206,176.098,289.953,21.672,-109.238,43.109,10835.955,62154.212,20140822_063857,479187,31,54392,2
16,KRIW20140822_134239_V06,75.213,0.064,178.424,183.389,23.834,-109.229,43.588,11917.044,84230.082,20140822_074239,479195,22,37622,1
1,KRIW20140827_120845_V06,-24.162,0.083,63.543,160.552,24.240,-109.943,43.684,12120.231,137256.711,20140827_060845,479203,51,114043,1
1,KRIW20140827_121230_V06,-20.412,0.098,63.963,161.109,29.052,-109.940,43.682,14525.784,136934.121,20140827_061230,479201,106,120134,1
3,KRIW20140830_124249_V06,6.627,0.051,315.958,133.248,6.247,-108.377,43.817,3123.737,83756.842,20140830_064249,479179,6,61759,5
13,KRIW20140831_125114_V06,13.953,0.076,299.594,100.696,15.779,-108.479,43.963,7889.534,99652.336,20140831_065114,479184,27,79619,1
13,KRIW20140831_125539_V06,18.370,0.253,300.213,100.124,21.164,-108.475,43.966,10581.818,99937.981,20140831_065539,479193,56,78772,0
13,KRIW20140831_130017_V06,23.003,0.174,306.328,98.908,16.397,-108.437,43.971,8198.639,100596.002,20140831_070017,479199,92,81476,5
13,KRIW20140831_130441_V06,27.403,0.059,307.014,98.847,21.832,-108.433,43.971,10915.885,100637.726,20140831_070441,479183,81,79130,14
3,KRIW20140831_115716_V06,-40.014,0.052,69.770,258.617,30.227,-109.894,43.244,15113.270,116959.768,20140831_055716,479196,16,82367,2
5,KRIW20140831_122712_V06,-10.080,0.082,204.704,127.906,18.114,-109.069,43.839,9057.198,98358.841,20140831_062712,479195,10,96069,1
10,KRIW20140831_123455_V06,-2.364,0.056,218.972,414.275,40.515,-108.970,42.551,20257.324,70043.232,20140831_063455,479202,10,90880,1
20,KRIW20140831_132714_V06,49.953,0.052,330.583,415.932,40.631,-108.291,42.544,20315.601,59949.188,20140831_072714,479202,9,96117,0
26,KRIW20140831_140112_V06,83.920,0.067,287.799,131.489,17.318,-108.553,43.824,8659.195,84476.063,20140831_080112,479186,9,98683,1
1,KRIW20140901_115155_V06,-46.453,0.112,319.813,29.758,31.222,-108.353,44.282,15611.012,135483.776,20140901_055155,479194,3,66946,0
1,KRIW20140901_115539_V06,-42.720,0.086,320.400,29.331,37.391,-108.349,44.284,18695.429,135718.266,20140901_055539,479202,11,69444,1
4,KRIW20140901_120909_V06,-29.220,0.054,347.318,27.991,32.263,-108.180,44.290,16131.397,138046.933,20140901_060909,479202,7,86066,2
4,KRIW20140901_121253_V06,-25.487,0.100,348.180,28.429,36.885,-108.175,44.288,18442.485,137905.864,20140901_061253,479206,9,90352,0
4,KRIW20140901_121638_V06,-21.737,-1.000,348.786,28.737,41.925,-108.171,44.286,20962.461,137807.736,20140901_061638,479198,19,92971,2
4,KRIW20140901_122023_V06,-17.987,0.090,366.509,29.654,30.405,-108.060,44.282,15202.446,139203.692,20140901_062023,479199,21,93828,0
1,KRIW20140903_121552_V06,-24.680,0.069,391.421,257.974,13.335,-107.914,43.254,6667.553,50309.164,20140903_061552,479191,16,77527,2
1,KRIW20140903_121938_V06,-20.914,0.197,393.152,258.222,18.880,-107.903,43.253,9439.877,51045.838,20140903_061938,479199,18,79834,4
1,KRIW20140903_122323_V06,-17.164,0.087,409.468,255.296,16.619,-107.803,43.265,8309.341,59122.179,20140903_062323,479201,23,80151,5
1,KRIW20140905_114449_V06,-57.904,0.060,101.273,152.464,3.439,-109.710,43.723,1719.447,123752.982,20140905_054449,479178,2,54873,1
2,KRIW20140905_123413_V06,-8.504,0.094,278.095,259.111,6.704,-108.612,43.250,3351.868,23193.494,20140905_063413,479189,5,33496,5
3,KRIW20140905_130112_V06,18.479,0.055,100.752,155.442,5.511,-109.713,43.710,2755.683,123081.892,20140905_070112,479177,3,25662,3
1,KRIW20140909_134551_V06,58.787,0.124,263.093,10.218,15.065,-108.708,44.370,7532.356,146061.437,20140909_074551,479199,10,67391,3
1,KRIW20140909_134936_V06,62.537,0.144,262.750,10.570,20.856,-108.710,44.368,10428.081,145908.550,20140909_074936,479193,14,69916,3
1,KRIW20140909_135320_V06,66.271,0.520,260.783,13.235,22.910,-108.723,44.356,11455.177,144716.923,20140909_075320,479198,7,67729,3
