track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KRTX20210602_130243_V06,37.710,0.122,273.482,368.088,8.292,-123.134,45.409,4146.187,36534.808,20210602_060243,479173,12,59742,12
1,KRTX20210603_121930_V06,-5.012,0.173,349.751,131.767,7.638,-122.640,46.471,3818.897,87717.602,20210603_051930,479170,18,61442,15
1,KRTX20210610_113018_V06,-51.852,0.304,349.073,83.323,8.439,-122.643,46.689,4219.677,111082.080,20210610_043018,479172,8,60780,5
1,KRTX20210610_113900_V06,-43.152,0.201,349.840,83.256,15.096,-122.638,46.690,7548.004,111200.091,20210610_043900,479169,3,57769,2
6,KRTX20210610_120703_V06,-15.102,0.070,455.722,360.635,8.942,-121.969,45.438,4471.207,83555.284,20210610_050703,479172,2,38425,2
6,KRTX20210610_121543_V06,-6.435,-1.000,455.722,360.635,22.722,-121.969,45.438,11361.207,83555.284,20210610_051543,479173,6,37322,4
6,KRTX20210610_122424_V06,2.248,0.050,455.934,366.310,30.448,-121.968,45.412,15223.802,84723.491,20210610_052424,479171,2,37327,2
12,KRTX20210610_124147_V06,19.631,0.089,415.926,504.133,24.368,-122.232,44.794,12183.951,117376.725,20210610_054147,479172,5,37028,4
12,KRTX20210610_125028_V06,28.315,0.059,416.807,502.560,34.185,-122.226,44.801,17092.517,116912.832,20210610_055028,479169,4,36893,4
7,KRTX20210610_120703_V06,-15.102,0.054,251.289,500.425,32.924,-123.272,44.813,16462.049,103129.702,20210610_050703,479172,2,38425,2
10,KRTX20210610_123305_V06,10.931,0.072,401.316,500.426,30.334,-122.324,44.811,15167.161,112289.296,20210610_053305,479172,4,37415,1
3,KRTX20210611_115313_V06,-28.758,0.083,33.693,108.572,29.881,-124.701,46.563,14940.310,163984.848,20210611_045313,479173,31,237530,5
7,KRTX20210611_130916_V06,47.292,0.152,412.632,271.228,23.205,-122.239,45.842,11602.394,58124.417,20210611_060916,479173,3848,222418,1404
2,KRTX20210619_112844_V06,-53.241,0.096,493.097,373.238,4.739,-121.731,45.379,2369.545,103259.788,20210619_042844,479174,26,44553,17
2,KRTX20210619_113725_V06,-44.557,0.169,491.680,373.520,13.538,-121.741,45.378,6768.892,102647.785,20210619_043725,479171,24,42632,19
3,KRTX20210619_112844_V06,-53.241,0.065,349.204,82.489,7.661,-122.643,46.693,3830.574,111503.583,20210619_042844,479174,26,44553,17
4,KRTX20210619_122935_V06,7.609,0.114,492.235,375.153,6.332,-121.737,45.370,3166.216,103201.654,20210619_052935,479174,11,30061,10
1,KRTX20210620_123645_V06,14.602,0.160,350.099,83.739,8.869,-122.637,46.687,4434.456,110993.914,20210620_053645,479170,24,38863,19
1,KRTX20210622_112457_V06,-57.659,0.061,348.692,80.561,4.877,-122.646,46.702,2438.366,112388.235,20210622_042457,479198,35,48558,30
1,KRTX20210624_120335_V06,-19.635,0.203,326.530,175.119,6.430,-122.792,46.277,3214.840,63834.056,20210624_050335,479185,36,41380,31
1,KRTX20210625_112644_V06,-56.844,0.076,357.827,82.328,7.803,-122.586,46.694,3901.554,112611.117,20210625_042644,479174,23,40547,21
1,KRTX20210625_113346_V06,-49.810,0.164,355.183,83.360,15.593,-122.603,46.689,7796.466,111778.743,20210625_043346,479173,26,40492,22
2,KRTX20210625_112644_V06,-56.844,0.074,347.681,82.952,8.171,-122.653,46.691,4085.670,111111.795,20210625_042644,479174,23,40547,21
6,KRTX20210625_121557_V06,-7.627,0.070,350.006,85.376,10.834,-122.637,46.680,5417.000,110186.251,20210625_051557,479174,20,27255,18
1,KRTX20210626_112752_V06,-56.104,0.058,355.895,78.786,5.520,-122.599,46.709,2759.895,114083.303,20210626_042752,479175,30,43490,26
3,KRTX20210626_132734_V06,63.596,0.057,349.209,83.503,8.254,-122.643,46.688,4127.220,111009.416,20210626_062734,479172,36,43851,36
1,KRTX20210627_113426_V06,-49.967,0.220,491.052,374.362,7.718,-121.745,45.374,3858.770,102506.901,20210627_043426,479175,39,39957,38
1,KRTX20210628_112642_V06,-58.164,0.356,397.689,425.662,8.900,-122.343,45.148,4450.035,79583.557,20210628_042642,479172,60,52862,60
1,KRTX20210628_113625_V06,-48.448,-1.000,397.689,425.662,24.350,-122.343,45.148,12174.785,79583.557,20210628_043625,479170,48,51048,48
1,KRTX20210628_114608_V06,-38.731,0.063,404.932,429.201,13.785,-122.297,45.132,6892.662,83221.943,20210628_044608,479167,50,48303,48
4,KRTX20210628_121516_V06,-9.598,0.313,394.626,448.244,20.380,-122.364,45.046,10189.999,87935.174,20210628_051516,479173,54,43024,54
5,KRTX20210628_124423_V06,19.519,0.251,493.624,375.350,8.445,-121.728,45.369,4222.589,103884.322,20210628_054423,479175,72,47259,58
1,KRTX20210629_113152_V06,-53.496,0.158,450.136,394.020,8.694,-122.007,45.288,4347.227,88572.619,20210629_043152,479176,52,36686,50
3,KRTX20210629_120059_V06,-24.379,0.371,224.405,296.420,27.119,-123.450,45.730,13559.372,37839.675,20210629_050059,479176,46,39021,46
4,KRTX20210629_130856_V06,43.571,0.115,521.988,191.586,14.507,-121.526,46.194,7253.616,123523.701,20210629_060856,479179,36,35417,30
4,KRTX20210629_131838_V06,53.271,-1.000,521.988,191.586,29.930,-121.526,46.194,14965.116,123523.701,20210629_061838,479175,70,36546,64
4,KRTX20210629_132821_V06,62.988,0.058,519.218,191.695,14.099,-121.544,46.193,7049.355,122256.443,20210629_062821,479175,60,38002,60
2,KRTX20210630_113637_V06,-49.277,0.155,493.723,375.708,8.511,-121.728,45.368,4255.644,103995.298,20210630_043637,479172,64,37867,58
2,KRTX20210630_114619_V06,-39.577,0.061,494.416,375.273,17.921,-121.723,45.370,8960.722,104239.717,20210630_044619,479172,52,38620,52
1,KRTX20210630_113637_V06,-49.277,0.310,525.118,189.656,13.791,-121.506,46.202,6895.397,125353.360,20210630_043637,479172,64,37867,58
1,KRTX20210630_114619_V06,-39.577,-1.000,525.118,189.656,29.214,-121.506,46.202,14606.897,125353.360,20210630_044619,479172,52,38620,52
1,KRTX20210630_120545_V06,-20.144,0.096,530.573,190.616,15.994,-121.471,46.197,7997.147,127601.877,20210630_050545,479176,82,38940,72
1,KRTX20210630_121527_V06,-10.444,-1.000,530.573,190.616,31.417,-121.471,46.197,15708.647,127601.877,20210630_051527,479170,58,37836,58
1,KRTX20210630_122509_V06,-0.744,0.431,523.348,194.408,15.786,-121.518,46.181,7893.116,123525.192,20210630_052509,479170,82,38686,76
1,KRTX20210630_123451_V06,8.956,0.342,525.543,190.460,13.930,-121.503,46.198,6965.034,125368.021,20210630_053451,479170,46,40067,46
6,KRTX20210630_130357_V06,38.056,0.073,464.195,176.770,6.196,-121.899,46.264,3098.053,102647.183,20210630_060357,479178,62,42611,62
2,KRTX20210702_113651_V06,-50.204,0.224,491.748,374.497,6.885,-121.740,45.373,3442.696,102855.537,20210702_043651,479173,40,41078,30
4,KRTX20210708_133448_V06,63.540,0.076,350.946,85.874,10.442,-122.631,46.678,5221.031,110051.410,20210708_063448,479169,33,44417,31
1,KRTX20210709_114148_V06,-50.258,0.071,356.250,78.640,6.637,-122.596,46.710,3318.649,114197.713,20210709_044148,479174,38,46831,35
1,KRTX20210713_114404_V06,-51.429,0.147,356.090,80.774,5.797,-122.597,46.701,2898.411,113144.026,20210713_044404,479170,34,46812,32
1,KRTX20210714_114431_V06,-51.894,0.083,347.814,83.537,8.110,-122.652,46.688,4054.878,110840.528,20210714_044431,479173,32,46060,32
4,KRTX20210715_114457_V06,-52.397,0.066,493.433,374.833,7.136,-121.729,45.372,3567.970,103701.789,20210715_044457,479173,31,56782,27
1,KRTX20210716_114530_V06,-52.803,0.168,354.309,82.188,5.466,-122.609,46.694,2732.773,112240.214,20210716_044530,479174,44,46428,42
3,KRTX20210716_114530_V06,-52.803,0.086,491.357,375.071,6.939,-121.743,45.371,3469.488,102777.982,20210716_044530,479174,44,46428,42
5,KRTX20210716_133834_V06,60.263,0.128,491.083,376.051,6.640,-121.745,45.366,3320.124,102830.551,20210716_063834,479173,24,35920,20
1,KRTX20210717_115026_V06,-48.845,0.107,351.806,83.318,8.124,-122.626,46.689,4061.806,111394.423,20210717_045026,479171,29,41546,28
1,KRTX20210718_114121_V06,-58.921,0.059,353.123,83.607,7.868,-122.617,46.688,3934.216,111409.054,20210718_044121,479176,34,41222,30
1,KRTX20210719_114950_V06,-51.448,0.065,355.625,78.066,2.690,-122.600,46.713,1344.864,114399.470,20210719_044950,479174,25,39667,22
1,KRTX20210720_114359_V06,-58.325,0.068,349.344,82.344,7.074,-122.642,46.694,3537.197,111589.774,20210720_044359,479172,24,57898,22
1,KRTX20210720_115101_V06,-51.292,0.152,349.482,82.936,14.207,-122.641,46.691,7103.521,111316.161,20210720_045101,479174,24,58125,23
4,KRTX20210720_133130_V06,49.192,0.052,353.421,84.013,7.917,-122.615,46.686,3958.473,111247.566,20210720_063130,479175,27,54628,25
1,KRTX20210721_114608_V06,-57.217,0.203,350.345,84.998,10.121,-122.635,46.682,5060.352,110409.115,20210721_044608,479170,33,50073,31
1,KRTX20210721_115310_V06,-50.184,0.121,350.245,84.912,16.937,-122.636,46.682,8468.538,110439.442,20210721_045310,479174,38,49309,36
2,KRTX20210721_115310_V06,-50.184,0.093,195.491,265.660,6.700,-123.637,45.868,3349.949,55003.048,20210721_045310,479174,38,49309,36
3,KRTX20210721_133346_V06,50.416,0.116,349.715,85.047,8.863,-122.639,46.681,4431.633,110313.635,20210721_063346,479172,32,32549,30
5,KRTX20210731_120834_V06,-45.909,0.531,303.167,415.667,19.486,-122.944,45.195,9742.985,57855.127,20210731_050834,479172,137,123534,24
5,KRTX20210731_121535_V06,-38.892,0.564,301.934,416.500,24.761,-122.952,45.191,12380.324,58258.098,20210731_051535,479179,164,127049,32
9,KRTX20210731_122238_V06,-31.842,0.063,298.210,332.977,17.550,-122.976,45.567,8775.211,16512.921,20210731_052238,479177,125,130854,21
13,KRTX20210731_131138_V06,17.158,0.093,149.359,440.683,28.342,-123.921,45.078,14171.102,103058.734,20210731_061138,479179,315,120278,80
19,KRTX20210731_140321_V06,68.875,0.054,299.041,397.019,16.910,-122.970,45.279,8455.250,48512.013,20210731_070321,479172,304,102774,93
1,KRTX20210801_121330_V06,-42.144,0.080,491.296,374.778,7.291,-121.743,45.372,3645.699,102695.892,20210801_051330,479171,36,40904,35
1,KRTX20210802_120548_V06,-51.021,0.204,297.154,408.226,5.337,-122.982,45.228,2668.615,54131.484,20210802_050548,479175,35,56163,31
4,KRTX20210802_141057_V06,74.129,0.102,25.793,206.325,47.125,-124.738,46.123,23562.500,144883.161,20210802_071057,479174,23,37861,18
1,KRTX20210820_122127_V06,-57.260,0.080,353.843,78.047,2.653,-122.612,46.713,1326.683,114195.188,20210820_052127,479174,27,82983,22
1,KRTX20210824_134832_V06,24.904,0.064,380.118,330.930,20.935,-122.451,45.575,10467.293,42940.623,20210824_064832,479173,19,38349,16
1,KRTX20210825_132205_V06,-2.775,0.127,288.992,433.627,13.438,-123.034,45.114,6718.939,67039.846,20210825_062205,479171,18,30533,16
