track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KSGF20180602_100436_V06,-49.934,0.080,195.575,338.682,2.351,-93.987,37.060,1175.411,55679.534,20180602_050436,479177,240,34570,9
1,KSGF20180602_101030_V06,-44.034,0.142,198.183,339.161,8.761,-93.973,37.057,4380.672,54544.049,20180602_051030,479172,196,36411,8
2,KSGF20180602_103401_V06,-20.517,0.051,41.493,131.782,49.416,-94.872,37.984,24708.084,154210.145,20180602_053401,479175,363,42511,8
4,KSGF20180602_110143_V06,7.183,0.073,24.491,420.626,39.041,-94.942,36.682,19520.489,150379.452,20180602_060143,479169,200,45478,6
1,KSGF20180604_120112_V06,67.260,0.064,253.020,111.654,31.502,-93.668,38.083,15751.097,97058.603,20180604_070112,479174,29,28078,15
2,KSGF20180605_111850_V06,25.145,0.112,28.345,410.130,49.910,-94.921,36.729,24955.090,146564.963,20180605_061850,479176,1,36129,0
3,KSGF20180605_112830_V06,34.811,0.122,322.295,411.365,16.011,-93.275,36.733,8005.510,56787.314,20180605_062830,479173,3,36390,2
18,KSGF20180612_120305_V06,70.325,0.055,427.739,170.494,42.571,-92.675,37.816,21285.660,90951.966,20180612_070305,479182,7212,205163,530
18,KSGF20180612_120808_V06,75.375,0.074,468.174,124.513,72.313,-92.443,38.022,36156.643,121530.230,20180612_070808,479183,7719,202001,603
3,KSGF20180621_112856_V06,35.305,0.180,193.355,277.278,15.755,-94.002,37.336,7877.628,54519.413,20180621_062856,479176,27,34043,4
3,KSGF20180621_113600_V06,42.372,0.050,189.683,280.803,26.700,-94.023,37.320,13349.962,55987.368,20180621_063600,479176,58,33496,4
2,KSGF20180621_110045_V06,7.122,0.051,124.571,122.003,4.942,-94.399,38.033,2470.966,124958.316,20180621_060045,479182,74,41708,24
5,KSGF20180621_120813_V06,74.589,0.054,204.632,300.188,14.104,-93.938,37.233,7051.989,47684.328,20180621_070813,479178,22,28248,0
2,KSGF20180622_103431_V06,-19.343,0.139,355.718,272.446,21.082,-93.086,37.359,10541.100,31079.269,20180622_053431,479178,4,74196,3
4,KSGF20180622_104129_V06,-12.376,0.060,373.349,167.729,2.898,-92.984,37.830,1448.795,75623.712,20180622_054129,479176,7,57006,4
8,KSGF20180622_110935_V06,15.724,0.056,263.912,190.739,4.027,-93.605,37.727,2013.325,57533.254,20180622_060935,479174,10,40222,10
8,KSGF20180622_111645_V06,22.891,0.154,229.523,181.394,36.146,-93.800,37.769,18072.832,68982.726,20180622_061645,479176,15,38446,14
3,KSGF20180623_102225_V06,-31.699,0.155,318.936,198.170,19.479,-93.293,37.694,9739.525,51787.764,20180623_052225,479179,162,92037,1
3,KSGF20180623_102740_V06,-26.449,0.317,320.214,198.444,26.446,-93.286,37.693,13222.792,51773.916,20180623_052740,479179,206,100042,2
2,KSGF20180623_101211_V06,-41.933,0.098,307.814,201.542,13.856,-93.356,37.679,6928.093,49383.679,20180623_051211,479177,152,79280,2
8,KSGF20180623_104719_V06,-6.799,0.058,94.160,222.054,14.353,-94.565,37.581,7176.493,110051.738,20180623_054719,479170,313,91624,44
9,KSGF20180623_110614_V06,12.117,0.174,364.088,147.361,21.916,-93.036,37.922,10958.012,82773.534,20180623_060614,479174,460,73309,93
13,KSGF20180623_111540_V06,21.551,0.139,117.523,117.719,6.715,-94.440,38.052,3357.303,128961.520,20180623_061540,479178,458,68261,61
14,KSGF20180624_120334_V06,69.169,0.068,216.081,344.022,27.480,-93.872,37.036,13740.063,47382.447,20180624_070334,479171,6675,153992,1148
15,KSGF20180624_120334_V06,69.169,0.060,203.377,257.971,18.064,-93.946,37.423,9032.049,52684.015,20180624_070334,479171,6675,153992,1148
15,KSGF20180624_120948_V06,75.402,0.088,199.545,244.830,14.911,-93.968,37.482,7455.725,57303.608,20180624_070948,479176,8000,160071,1575
7,KSGF20180625_112145_V06,27.045,0.114,241.341,396.693,12.793,-93.729,36.799,6396.276,56547.634,20180625_062145,479186,2291,84477,131
7,KSGF20180625_112541_V06,30.979,0.346,242.274,395.325,18.329,-93.724,36.805,9164.581,55720.573,20180625_062541,479198,2214,84597,166
7,KSGF20180625_112937_V06,34.912,0.061,250.632,384.065,13.534,-93.677,36.856,6766.926,48744.610,20180625_062937,479200,2223,86024,166
3,KSGF20180625_105505_V06,0.379,0.095,373.704,160.255,2.836,-92.981,37.864,1418.041,78995.353,20180625_055505,479199,1979,73477,61
7,KSGF20180627_102045_V06,-34.640,0.386,307.293,210.064,68.253,-93.359,37.640,34126.740,45115.778,20180627_052045,479191,766,52487,9
7,KSGF20180627_102636_V06,-28.790,0.483,309.135,213.973,75.043,-93.349,37.623,37521.652,43255.117,20180627_052636,479196,736,53554,16
7,KSGF20180627_103226_V06,-22.957,0.549,319.831,219.139,69.977,-93.288,37.600,34988.520,41628.596,20180627_053226,479190,956,52108,12
7,KSGF20180627_103816_V06,-17.124,0.494,322.054,225.776,72.732,-93.275,37.570,36365.948,38715.404,20180627_053816,479192,854,49685,13
7,KSGF20180627_104406_V06,-11.290,0.319,334.232,223.210,72.053,-93.207,37.581,36026.625,42037.223,20180627_054406,479194,863,49082,20
7,KSGF20180627_104956_V06,-5.457,0.207,331.876,230.069,81.063,-93.220,37.550,40531.481,38426.702,20180627_054956,479188,818,48748,17
7,KSGF20180627_110108_V06,5.743,0.158,348.698,241.373,78.875,-93.125,37.499,39437.655,38107.125,20180627_060108,479196,680,49733,26
7,KSGF20180627_110645_V06,11.360,0.123,354.765,246.586,80.240,-93.091,37.476,40119.773,38250.125,20180627_060645,479197,598,50821,37
7,KSGF20180627_111222_V06,16.976,-1.000,361.291,251.908,81.110,-93.054,37.451,40555.020,38953.373,20180627_061222,479182,428,52590,18
7,KSGF20180627_111744_V06,22.343,-1.000,367.526,256.993,81.942,-93.019,37.428,40970.894,40029.560,20180627_061744,479186,454,56005,32
7,KSGF20180627_112306_V06,27.710,-1.000,373.762,262.078,82.774,-92.984,37.405,41386.768,41469.700,20180627_062306,479187,504,56204,80
7,KSGF20180627_112828_V06,33.076,-1.000,379.998,267.163,83.605,-92.949,37.382,41802.642,43237.439,20180627_062828,479192,351,55951,9
7,KSGF20180627_113336_V06,38.210,0.052,380.223,248.825,98.963,-92.947,37.465,49481.595,47577.926,20180627_063336,479191,286,56320,2
1,KSGF20180627_100313_V06,-52.174,0.125,356.362,138.070,13.794,-93.080,37.964,6897.175,85729.002,20180627_050313,479197,616,46685,9
1,KSGF20180628_113322_V06,37.598,0.399,119.857,209.355,8.233,-94.421,37.639,4116.653,100831.426,20180628_063322,479181,9,44245,5
2,KSGF20180629_102612_V06,-29.970,0.074,319.756,341.683,3.365,-93.289,37.047,1682.516,23064.136,20180629_052612,479181,0,37644,0
2,KSGF20180629_103452_V06,-21.303,0.290,318.371,340.812,11.212,-93.297,37.051,5605.882,22378.174,20180629_053452,479171,1,35746,1
4,KSGF20180629_120129_V06,65.313,0.662,120.080,207.073,8.792,-94.420,37.650,4396.043,101250.500,20180629_070129,479174,16,33986,16
4,KSGF20180629_121009_V06,73.980,0.322,119.121,200.338,26.324,-94.426,37.680,13162.066,103258.844,20180629_071009,479171,5,33161,4
3,KSGF20180629_103452_V06,-21.303,0.071,335.222,298.161,2.624,-93.202,37.243,1311.951,17635.078,20180629_053452,479171,1,35746,1
1,KSGF20180630_113006_V06,33.506,0.601,41.390,310.500,9.336,-94.856,37.179,4667.954,129411.365,20180630_063006,479171,7,29381,5
1,KSGF20180630_113845_V06,42.156,0.195,43.963,309.083,18.914,-94.842,37.186,9457.061,128098.972,20180630_063845,479172,0,27125,0
3,KSGF20180701_103820_V06,-18.706,0.563,300.963,237.366,14.615,-93.395,37.517,7307.713,31320.516,20180701_053820,479173,2609,81544,0
3,KSGF20180701_105125_V06,-5.622,0.095,306.829,237.901,25.039,-93.362,37.515,12519.545,31236.750,20180701_055125,479165,2885,83396,32
1,KSGF20180701_101540_V06,-41.372,0.090,303.175,323.077,17.312,-93.382,37.131,8655.754,11647.063,20180701_051540,479174,3255,74216,2
1,KSGF20180702_104804_V06,-9.439,0.081,173.791,500.322,15.435,-94.103,36.331,7717.304,118382.356,20180702_054804,479177,28,39043,25
2,KSGF20180703_103707_V06,-20.877,0.125,335.282,294.711,4.832,-93.201,37.259,2416.145,17837.950,20180703_053707,479174,0,45544,0
2,KSGF20180703_104415_V06,-13.744,0.050,336.947,287.967,12.798,-93.192,37.289,6398.920,19428.439,20180703_054415,479170,18,40145,18
3,KSGF20180703_103707_V06,-20.877,0.062,316.221,339.509,5.945,-93.309,37.057,2972.668,21354.812,20180703_053707,479174,0,45544,0
3,KSGF20180703_104415_V06,-13.744,0.109,316.511,340.014,15.695,-93.307,37.055,7847.534,21643.203,20180703_054415,479170,18,40145,18
5,KSGF20180703_104415_V06,-13.744,0.508,335.492,274.043,2.267,-93.200,37.352,1133.430,21985.643,20180703_054415,479170,18,40145,18
1,KSGF20180704_103551_V06,-22.652,0.085,315.171,339.336,6.999,-93.315,37.058,3499.352,21080.080,20180704_053551,479172,1,27705,1
2,KSGF20180704_104425_V06,-14.085,0.188,333.996,293.267,11.948,-93.209,37.265,5973.976,17328.107,20180704_054425,479172,16,25905,12
3,KSGF20180704_110153_V06,3.382,0.072,32.664,166.645,19.258,-94.919,37.826,9629.047,149375.497,20180704_060153,479173,81,34835,80
2,KSGF20180705_103950_V06,-19.196,0.109,286.992,108.892,2.224,-93.474,38.096,1112.217,95775.250,20180705_053950,479171,9,43109,3
1,KSGF20180706_103919_V06,-20.260,0.376,316.455,342.518,8.662,-93.308,37.044,4330.915,22795.605,20180706_053919,479175,97,56497,18
