track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
3,KSHV20220601_120215_V06,53.220,0.417,281.844,335.392,38.895,-93.937,32.291,19447.678,19888.461,20220601_070215,479161,0,48656,0
3,KSHV20220601_121054_V06,61.870,0.122,281.358,332.683,45.669,-93.940,32.303,22834.731,18812.975,20220601_071054,479158,0,48767,0
1,KSHV20220601_102733_V06,-41.480,0.053,266.603,397.681,19.404,-94.018,32.010,9701.994,51616.255,20220601_052733,479161,0,41978,0
2,KSHV20220601_103613_V06,-32.813,0.057,329.470,306.360,7.101,-93.684,32.422,3550.507,15074.222,20220601_053613,479164,0,40965,0
7,KSHV20220602_111120_V06,2.554,0.147,36.020,144.411,44.513,-95.256,33.144,22256.741,153210.046,20220602_061120,479153,4409,98624,398
7,KSHV20220602_111604_V06,7.287,0.052,36.618,143.757,50.527,-95.253,33.147,25263.405,153119.152,20220602_061604,479158,4310,101008,362
7,KSHV20220602_112047_V06,12.004,-1.000,37.088,143.243,56.837,-95.250,33.149,28418.683,153048.571,20220602_062047,479156,4666,104396,285
7,KSHV20220602_112530_V06,16.720,-1.000,37.557,142.730,63.148,-95.248,33.152,31573.962,152978.749,20220602_062530,479154,5148,106706,309
7,KSHV20220602_113025_V06,21.637,0.069,56.513,136.357,57.845,-95.147,33.182,28922.365,146683.994,20220602_063025,479154,5261,108011,308
1,KSHV20220605_104845_V06,-19.432,0.114,296.398,107.761,31.251,-93.860,33.317,15625.275,96136.558,20220605_054845,479159,0,49594,0
2,KSHV20220605_104845_V06,-19.432,0.086,343.404,290.117,28.791,-93.610,32.495,14395.405,22257.696,20220605_054845,479159,0,49594,0
3,KSHV20220605_111444_V06,6.551,0.099,290.003,423.350,18.669,-93.894,31.894,9334.309,61877.013,20220605_061444,479156,0,62662,0
3,KSHV20220607_122058_V06,73.057,0.060,322.971,89.210,34.177,-93.718,33.401,17088.501,106019.157,20220607_072058,479159,0,62656,0
2,KSHV20220609_103100_V06,-36.737,0.151,354.282,370.781,10.646,-93.553,32.131,5322.784,44599.651,20220609_053100,479157,42,96788,0
2,KSHV20220609_103630_V06,-31.237,0.365,355.689,370.224,16.229,-93.546,32.134,8114.506,44812.629,20220609_053630,479161,55,94850,0
6,KSHV20220609_121219_V06,64.580,0.062,399.553,236.703,17.708,-93.310,32.735,8853.760,58985.639,20220609_071219,479162,271,62946,2
