track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KSJT20210601_104022_V06,-57.752,0.089,412.743,316.457,8.453,-99.900,31.296,4226.486,56968.877,20210601_054022,479195,132,72230,71
3,KSJT20210601_113234_V06,-5.552,0.080,414.836,328.244,13.232,-99.889,31.242,6615.795,59129.326,20210601_063234,479181,171,33587,127
1,KSJT20210602_130142_V06,83.808,0.050,334.560,264.367,35.191,-100.310,31.532,17595.448,24819.656,20210602_080142,479189,1189,64052,41
1,KSJT20210603_104410_V06,-53.523,0.133,38.766,431.650,52.439,-101.857,30.770,26219.711,146266.266,20210603_054410,479203,9998,304209,281
5,KSJT20210604_113336_V06,-3.912,0.235,473.801,249.661,29.922,-99.577,31.595,14960.758,90472.257,20210604_063336,479188,27,65577,21
4,KSJT20210605_122416_V06,46.907,0.455,432.024,104.593,39.447,-99.792,32.250,19723.400,117913.511,20210605_072416,479176,119,64495,112
4,KSJT20210605_123348_V06,56.440,0.120,430.682,104.408,48.731,-99.799,32.251,24365.290,117615.708,20210605_073348,479185,83,61698,68
6,KSJT20210605_124321_V06,65.990,0.052,186.729,85.540,17.252,-101.094,32.337,8626.038,121267.759,20210605_074321,479173,94,59007,65
2,KSJT20210608_111048_V06,-26.249,0.074,331.301,283.115,68.864,-100.328,31.447,34431.793,17782.582,20210608_061048,479193,2218,111328,70
3,KSJT20210608_122307_V06,46.067,0.055,248.345,358.198,58.786,-100.763,31.108,29392.990,38907.680,20210608_072307,479194,159,79239,84
1,KSJT20210609_111830_V06,-18.495,0.263,420.828,324.394,15.522,-99.858,31.260,7760.937,61632.832,20210609_061830,479181,85,72451,77
1,KSJT20210610_110412_V06,-32.764,0.109,19.493,351.717,13.095,-101.963,31.129,6547.420,142617.505,20210610_060412,479184,113,64875,69
