track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KTBW20160601_093635_V06,-57.424,0.113,303.339,417.285,10.386,-82.385,27.176,5193.001,58666.272,20160601_053635,479171,9,19841,6
4,KTBW20160604_101427_V06,-19.126,0.128,516.941,159.868,10.906,-81.296,28.333,5453.190,129132.044,20160604_061427,479181,87,25946,5
3,KTBW20160606_103326_V06,0.036,0.200,23.344,113.593,23.037,-83.815,28.539,11518.604,166797.786,20160606_063326,479178,6039,227568,49
13,KTBW20160606_111054_V06,37.503,0.088,339.831,445.819,28.628,-82.201,27.047,14313.966,75580.477,20160606_071054,479189,7458,220171,104
17,KTBW20160606_112700_V06,53.603,0.111,340.447,334.927,31.625,-82.197,27.548,15812.691,26720.048,20160606_072700,479192,8413,232112,169
5,KTBW20160608_103214_V06,-1.071,0.072,230.770,45.700,17.251,-82.757,28.852,8625.650,131777.649,20160608_063214,479193,400,49592,11
5,KTBW20160608_103634_V06,3.263,0.054,231.676,46.288,25.073,-82.752,28.849,12536.313,131375.434,20160608_063634,479181,370,51103,7
4,KTBW20160608_093851_V06,-54.454,0.074,253.722,203.446,13.846,-82.637,28.141,6923.246,53535.781,20160608_053851,479197,379,52869,1
6,KTBW20160608_112526_V06,52.129,0.120,305.778,391.785,20.448,-82.373,27.291,10224.180,45983.388,20160608_072526,479203,257,62064,18
3,KTBW20160609_103516_V06,1.978,0.310,241.388,42.150,19.078,-82.702,28.868,9538.887,132213.882,20160609_063516,479181,481,43791,10
3,KTBW20160609_103918_V06,6.011,0.544,242.014,42.024,25.457,-82.699,28.869,12728.471,132206.515,20160609_063918,479178,507,46374,9
2,KTBW20160609_101108_V06,-22.156,0.069,375.587,368.825,27.995,-82.020,27.394,13997.671,51113.572,20160609_061108,479191,170,39225,2
5,KTBW20160609_115648_V06,83.511,0.101,241.081,86.778,17.498,-82.703,28.667,8748.804,110606.295,20160609_075648,479182,1967,63471,11
11,KTBW20160610_104322_V06,10.072,0.325,240.385,40.879,34.331,-82.707,28.874,17165.739,132945.263,20160610_064322,479176,769,58051,18
11,KTBW20160610_104852_V06,15.572,0.803,239.398,44.878,40.541,-82.712,28.856,20270.271,131110.320,20160610_064852,479183,855,58448,8
11,KTBW20160610_105356_V06,20.639,0.099,238.045,46.508,44.594,-82.719,28.849,22296.785,130476.535,20160610_065356,479178,796,59858,18
3,KTBW20160610_093419_V06,-58.978,0.111,216.433,80.835,16.767,-82.829,28.693,8383.711,117278.319,20160610_053419,479183,205,40165,11
6,KTBW20160610_093912_V06,-54.095,0.098,240.573,367.059,10.311,-82.702,27.402,5155.746,44800.680,20160610_053912,479176,268,40057,16
15,KTBW20160610_111656_V06,43.639,0.068,207.543,403.734,26.845,-82.869,27.236,13422.426,69478.608,20160610_071656,479163,1379,62470,18
15,KTBW20160610_112142_V06,48.405,-1.000,207.543,403.734,34.424,-82.869,27.236,17211.926,69478.608,20160610_072142,479171,1462,62613,16
15,KTBW20160610_112610_V06,52.872,0.051,211.376,398.963,24.704,-82.849,27.258,12352.209,66422.819,20160610_072610,479191,1440,62426,15
20,KTBW20160610_114935_V06,76.289,0.068,268.276,386.947,15.248,-82.562,27.313,7624.178,46276.651,20160610_074935,479191,2076,65078,29
2,KTBW20160611_100921_V06,-23.971,0.217,285.710,407.272,6.084,-82.474,27.221,3042.131,54109.689,20160611_060921,479185,1812,51141,32
2,KTBW20160611_101421_V06,-18.971,0.053,286.813,407.067,13.799,-82.468,27.222,6899.619,53938.185,20160611_061421,479182,1729,51753,27
6,KTBW20160613_103643_V06,3.283,0.890,245.302,52.788,20.968,-82.682,28.820,10483.894,126595.221,20160613_063643,479197,151,40245,6
6,KTBW20160613_104102_V06,7.600,0.879,249.425,54.308,28.520,-82.661,28.814,14260.061,125421.552,20160613_064102,479183,121,43192,9
6,KTBW20160613_104520_V06,11.900,0.836,252.853,56.935,35.639,-82.643,28.802,17819.289,123797.935,20160613_064520,479181,140,45354,6
6,KTBW20160613_104936_V06,16.166,0.864,253.535,57.937,41.832,-82.640,28.797,20916.032,123241.329,20160613_064936,479189,114,47098,2
6,KTBW20160613_105353_V06,20.450,0.832,252.217,59.917,45.927,-82.647,28.788,22963.529,122395.830,20160613_065353,479204,88,48092,2
6,KTBW20160613_105811_V06,24.750,0.641,259.935,63.142,54.530,-82.607,28.774,27265.057,120111.479,20160613_065811,479185,148,49623,4
6,KTBW20160613_110230_V06,29.066,0.096,265.314,69.458,64.968,-82.579,28.745,32483.782,116568.456,20160613_070230,479191,155,50034,4
5,KTBW20160613_093556_V06,-57.500,0.066,240.420,213.344,6.500,-82.705,28.096,3249.813,52581.078,20160613_053556,479174,118,31436,2
3,KTBW20160614_102830_V06,-5.020,0.749,242.578,43.588,14.300,-82.696,28.862,7150.089,131381.447,20160614_062830,479208,86,40544,12
3,KTBW20160614_103239_V06,-0.870,0.857,244.047,42.824,20.035,-82.689,28.865,10017.422,131596.205,20160614_063239,479186,51,41436,7
3,KTBW20160614_103656_V06,3.414,0.747,245.273,40.120,24.084,-82.682,28.877,12041.843,132790.036,20160614_063656,479184,71,43028,8
3,KTBW20160614_104113_V06,7.697,0.774,246.209,38.370,28.677,-82.678,28.885,14338.724,133551.332,20160614_064113,479180,78,44513,5
3,KTBW20160614_104529_V06,11.964,0.751,251.338,39.278,35.325,-82.651,28.881,17662.434,132612.427,20160614_064529,479190,35,45719,5
3,KTBW20160614_104948_V06,16.280,0.659,253.983,38.497,41.256,-82.638,28.885,20627.897,132760.633,20160614_064948,479190,35,45534,1
3,KTBW20160614_105408_V06,20.614,0.652,249.381,38.928,40.983,-82.661,28.883,20491.305,132967.172,20160614_065408,479190,47,46716,6
3,KTBW20160614_105826_V06,24.914,0.149,253.086,41.795,47.012,-82.642,28.870,23505.798,131216.176,20160614_065826,479181,42,46985,2
5,KTBW20160615_102955_V06,-3.709,0.418,242.142,42.491,17.580,-82.698,28.867,8789.846,131964.275,20160615_062955,479199,300,37221,55
5,KTBW20160615_103408_V06,0.508,0.708,242.660,41.559,22.858,-82.696,28.871,11428.878,132362.931,20160615_063408,479187,229,39027,20
5,KTBW20160615_103819_V06,4.691,0.819,244.813,40.202,25.571,-82.685,28.877,12785.470,132797.360,20160615_063819,479183,220,39781,29
5,KTBW20160615_104231_V06,8.891,0.907,252.300,36.795,32.277,-82.646,28.893,16138.400,133746.054,20160615_064231,479174,149,39692,26
5,KTBW20160615_104644_V06,13.108,0.849,251.581,39.330,35.228,-82.650,28.881,17613.796,132564.503,20160615_064644,479181,169,41936,19
