track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KTFX20200601_103831_V06,-53.676,0.069,122.307,339.974,3.159,-112.559,47.274,1579.390,91066.950,20200601_043831,479170,29,36130,21
3,KTFX20200604_112351_V06,-6.722,0.247,26.115,406.559,37.918,-113.184,46.966,18959.167,146942.061,20200604_052351,479173,44,49668,29
3,KTFX20200604_112831_V06,-2.055,0.121,26.609,408.867,46.434,-113.180,46.956,23216.810,147134.727,20200604_052831,479174,21,47358,13
3,KTFX20200604_113354_V06,3.328,0.263,36.582,415.314,56.570,-113.114,46.928,28285.112,143776.020,20200604_053354,479172,18,45107,10
2,KTFX20200604_103654_V06,-53.672,0.176,26.287,350.920,35.486,-113.191,47.216,17743.217,139204.346,20200604_043654,479177,4,64982,2
4,KTFX20200604_112351_V06,-6.722,0.172,348.580,93.590,16.977,-111.056,48.387,8488.316,106025.024,20200604_052351,479173,44,49668,29
8,KTFX20200604_120916_V06,38.695,0.082,298.793,297.324,21.063,-111.392,47.472,10531.445,1467.827,20200604_060916,479175,9,40920,6
11,KTFX20200604_122415_V06,53.678,0.058,39.337,207.131,83.594,-113.126,47.864,41797.073,138356.410,20200604_062415,479170,11,40372,2
3,KTFX20200606_110222_V06,-27.333,0.742,25.365,424.471,32.813,-113.186,46.886,16406.330,150762.405,20200606_050222,479176,20,53030,17
3,KTFX20200606_110639_V06,-23.050,0.320,25.729,420.265,40.425,-113.184,46.905,20212.556,149740.013,20200606_050639,479181,12,52759,8
3,KTFX20200606_111043_V06,-18.983,0.279,30.047,416.467,35.999,-113.157,46.922,17999.416,147002.971,20200606_051043,479181,24,51704,20
3,KTFX20200606_111447_V06,-14.917,0.610,31.300,413.669,39.139,-113.149,46.935,19569.260,145876.921,20200606_051447,479183,18,51185,13
3,KTFX20200606_111837_V06,-11.083,0.059,38.417,401.775,32.935,-113.104,46.989,16467.525,140342.137,20200606_051837,479186,10,49911,7
2,KTFX20200606_104043_V06,-48.983,0.056,28.935,135.000,53.367,-113.207,48.187,26683.699,158667.304,20200606_044043,479188,32,57239,13
7,KTFX20200606_113754_V06,8.200,0.052,410.752,310.419,17.207,-110.651,47.411,8603.283,55620.357,20200606_053754,479178,9,41589,9
2,KTFX20200608_105158_V06,-37.030,0.070,506.227,499.692,40.120,-110.040,46.554,20060.173,143532.765,20200608_045158,479170,110,228102,4
13,KTFX20200608_124551_V06,76.853,0.075,316.616,561.731,39.542,-111.277,46.282,19771.202,131129.181,20200608_064551,479174,911,248977,395
1,KTFX20200610_104952_V06,-38.598,0.056,296.116,301.957,23.577,-111.410,47.451,11788.521,2174.376,20200610_044952,479173,28,32730,25
1,KTFX20200612_110007_V06,-27.987,0.110,30.897,447.399,41.123,-113.147,46.783,20561.314,153413.702,20200612_050007,479177,43,62179,27
5,KTFX20200612_112400_V06,-4.104,0.064,235.784,281.990,39.365,-111.811,47.540,19682.629,33346.862,20200612_052400,479169,19,60012,12
6,KTFX20200612_113617_V06,8.179,0.086,283.286,269.958,15.111,-111.496,47.595,7555.290,17189.424,20200612_053617,479178,33,55494,11
8,KTFX20200612_120337_V06,35.513,0.120,372.939,266.168,27.514,-110.899,47.611,13757.233,40201.959,20200612_060337,479179,44,51176,29
2,KTFX20200613_110955_V06,-18.072,0.198,257.750,384.724,30.704,-111.663,47.078,15352.201,47337.076,20200613_050955,479169,146,65602,18
2,KTFX20200613_111542_V06,-12.288,0.160,252.813,379.405,36.303,-111.695,47.102,18151.646,46183.863,20200613_051542,479179,109,65427,12
2,KTFX20200613_112129_V06,-6.505,0.332,238.197,351.486,26.520,-111.792,47.227,13260.025,40219.535,20200613_052129,479169,103,64787,5
4,KTFX20200613_111542_V06,-12.288,0.137,25.254,437.774,38.826,-113.185,46.826,19412.859,153677.428,20200613_051542,479179,109,65427,12
9,KTFX20200613_115101_V06,23.028,0.128,225.942,291.561,30.983,-111.876,47.497,15491.566,37268.521,20200613_055101,479169,143,53052,11
1,KTFX20200614_104721_V06,-40.565,0.058,25.128,286.847,33.100,-113.209,47.504,16549.789,137593.106,20200614_044721,479177,14,56380,11
1,KTFX20200615_103554_V06,-51.986,0.065,298.200,301.185,12.192,-111.396,47.454,6095.772,1077.408,20200615_043554,479171,26,14238,20
2,KTFX20200615_122251_V06,54.964,0.057,260.237,370.948,8.718,-111.647,47.140,4359.034,40665.524,20200615_062251,479173,12,13308,12
