track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KTLH20190601_093846_V06,-57.119,0.114,328.503,503.941,10.244,-84.182,29.478,5122.122,102961.417,20190601_053846,479170,0,20069,0
3,KTLH20190601_104818_V06,12.415,0.090,19.096,278.566,13.893,-85.792,30.486,6946.342,140860.302,20190601_064818,479173,5,24406,1
4,KTLH20190601_114024_V06,64.515,0.193,349.507,384.401,30.947,-84.072,30.017,15473.356,48924.530,20190601_074024,479172,24,27860,4
12,KTLH20190602_115357_V06,78.288,0.565,301.437,413.423,11.779,-84.321,29.886,5889.614,56715.979,20190602_075357,479174,1610,61253,25
1,KTLH20190605_112436_V06,49.465,0.124,16.819,139.341,17.575,-85.813,31.114,8787.535,162790.298,20190605_072436,479181,169,46641,16
9,KTLH20190606_094649_V06,-48.190,0.334,292.856,160.080,4.883,-84.366,31.029,2441.414,70051.336,20190606_054649,479181,1217,44661,20
9,KTLH20190606_095053_V06,-44.124,0.858,294.245,159.771,8.924,-84.359,31.030,4462.127,70173.766,20190606_055053,479184,1261,44549,17
9,KTLH20190606_095505_V06,-39.924,0.417,294.624,160.057,10.806,-84.357,31.029,5402.813,70022.996,20190606_055505,479178,1386,46891,24
2,KTLH20190606_093852_V06,-56.140,0.328,181.298,38.805,12.755,-84.954,31.574,6377.642,143451.192,20190606_053852,479190,1123,43054,16
7,KTLH20190606_093852_V06,-56.140,0.065,518.488,486.774,10.222,-83.202,29.550,5111.220,143719.666,20190606_053852,479190,1123,43054,16
15,KTLH20190606_101034_V06,-24.440,0.050,164.462,59.539,15.765,-85.042,31.480,7882.347,138014.542,20190606_061034,479187,2379,53958,50
16,KTLH20190606_102817_V06,-6.724,0.165,405.503,38.221,17.108,-83.773,31.577,8553.867,141119.585,20190606_062817,479186,3217,60852,51
22,KTLH20190606_110934_V06,34.560,0.096,429.449,93.397,60.963,-83.649,31.327,30481.369,121903.429,20190606_070934,479175,4861,89363,51
