track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KTLX20180603_101752_V06,-57.055,0.067,177.164,412.786,2.497,-97.949,34.823,1248.461,83380.925,20180603_051752,479178,82,47053,79
1,KTLX20180603_102735_V06,-47.339,0.089,177.054,413.087,9.922,-97.949,34.822,4960.817,83523.162,20180603_052735,479171,114,49930,85
3,KTLX20180603_121140_V06,56.745,0.096,306.986,503.906,15.881,-97.240,34.414,7940.533,102012.918,20180603_071140,479171,34,46724,34
4,KTLX20180603_123108_V06,76.211,0.057,46.825,153.981,11.372,-98.681,35.983,5685.861,146132.862,20180603_073108,479175,50,47567,48
11,KTLX20180605_114145_V06,27.296,0.070,303.807,364.722,10.600,-97.257,35.041,5300.222,32417.072,20180605_064145,479176,1175,47613,138
11,KTLX20180605_114620_V06,31.879,0.078,304.346,365.251,17.012,-97.254,35.039,8505.968,32697.738,20180605_064620,479174,1474,48248,172
11,KTLX20180605_115040_V06,36.213,0.322,306.402,367.824,18.734,-97.242,35.027,9367.212,34062.823,20180605_065040,479187,1523,47916,274
5,KTLX20180605_112546_V06,11.313,0.153,293.021,360.891,7.792,-97.316,35.059,3896.021,30644.575,20180605_062546,479181,1800,47097,233
5,KTLX20180605_112939_V06,15.196,-1.000,293.021,360.891,13.967,-97.316,35.059,6983.271,30644.575,20180605_062939,479168,1556,47320,206
5,KTLX20180605_113332_V06,19.079,0.081,294.360,362.102,16.703,-97.308,35.053,8351.293,31178.791,20180605_063332,479173,1314,47162,178
7,KTLX20180605_113332_V06,19.079,0.115,289.188,154.056,1.833,-97.337,35.991,916.309,73172.019,20180605_063332,479173,1314,47162,178
7,KTLX20180605_113725_V06,22.963,0.053,289.179,154.010,6.896,-97.337,35.991,3447.815,73195.292,20180605_063725,479176,1199,47658,173
7,KTLX20180605_114145_V06,27.296,0.072,289.586,153.925,1.937,-97.335,35.991,968.479,73222.710,20180605_064145,479176,1175,47613,138
4,KTLX20180605_110917_V06,-5.171,0.061,175.386,412.761,5.476,-97.959,34.823,2738.110,84029.486,20180605_060917,479179,1560,42854,173
8,KTLX20180605_113332_V06,19.079,0.062,290.429,152.139,1.853,-97.331,35.999,926.464,74085.445,20180605_063332,479173,1314,47162,178
1,KTLX20180611_122715_V06,73.528,0.072,324.603,506.922,62.339,-97.144,34.400,31169.502,104189.873,20180611_072715,479163,3,28156,0
