track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KTWX20200601_121122_V06,70.367,0.151,23.646,268.230,34.453,-97.831,39.129,17226.677,139087.331,20200601_071122,479181,7,62488,2
1,KTWX20200604_100454_V06,-55.109,0.384,180.962,67.901,5.461,-96.930,40.040,2730.345,130422.250,20200604_050454,479206,1651,69877,163
1,KTWX20200604_101111_V06,-48.826,0.510,180.581,67.866,11.264,-96.932,40.040,5632.230,130525.122,20200604_051111,479193,1756,69378,341
6,KTWX20200604_104247_V06,-17.226,0.388,278.968,104.466,20.923,-96.355,39.877,10461.414,98330.897,20200604_054247,479203,1399,62281,144
6,KTWX20200604_104904_V06,-10.942,0.061,278.228,104.497,28.644,-96.360,39.877,14321.770,98355.603,20200604_054904,479204,1293,59758,136
4,KTWX20200604_101111_V06,-48.826,0.115,275.356,110.021,5.405,-96.376,39.852,2702.267,95785.535,20200604_051111,479193,1756,69378,341
5,KTWX20200604_102344_V06,-36.276,0.083,365.915,111.272,13.449,-95.847,39.846,6724.297,99953.809,20200604_052344,479184,1516,65929,219
7,KTWX20200604_104247_V06,-17.226,0.157,178.713,67.329,7.395,-96.943,40.043,3697.676,131192.753,20200604_054247,479203,1399,62281,144
8,KTWX20200604_111410_V06,14.158,0.054,280.745,106.899,21.522,-96.345,39.867,10761.036,97029.348,20200604_061410,479180,788,60355,58
1,KTWX20200605_100747_V06,-51.957,0.091,368.474,311.186,20.215,-95.838,38.946,10107.300,34690.656,20200605_050747,479201,309,95085,174
2,KTWX20200605_100747_V06,-51.957,0.068,109.035,392.439,6.300,-97.328,38.575,3149.802,106081.015,20200605_050747,479201,309,95085,174
8,KTWX20200605_120806_V06,68.359,0.053,384.615,87.691,51.576,-95.737,39.952,25788.040,114274.841,20200605_070806,479192,2188,97160,140
1,KTWX20200606_102006_V06,-39.404,0.370,25.184,431.443,48.600,-97.805,38.394,24300.180,152316.300,20200606_052006,479185,40,39791,27
1,KTWX20200606_102852_V06,-30.637,0.349,28.025,422.122,58.889,-97.790,38.436,29444.364,149067.464,20200606_052852,479188,60,42346,52
4,KTWX20200606_120723_V06,67.879,0.406,179.761,68.544,5.265,-96.937,40.037,2632.738,130412.089,20200606_070723,479181,78,43176,60
4,KTWX20200606_121609_V06,76.646,0.168,180.619,68.196,12.700,-96.932,40.039,6349.883,130369.465,20200606_071609,479184,90,40060,64
2,KTWX20200606_102006_V06,-39.404,0.135,15.745,374.190,17.018,-97.865,38.651,8508.804,146888.531,20200606_052006,479185,40,39791,27
3,KTWX20200606_102006_V06,-39.404,0.110,179.959,69.429,6.593,-96.936,40.033,3296.679,129973.586,20200606_052006,479185,40,39791,27
3,KTWX20200610_101010_V06,-48.704,0.062,419.457,324.966,16.342,-95.544,38.882,8170.788,61019.238,20200610_051010,479183,857,209065,118
15,KTWX20200610_114946_V06,50.896,0.055,153.135,335.090,35.346,-97.078,38.836,17673.214,75499.479,20200610_064946,479176,3409,167931,549
21,KTWX20200610_121641_V06,77.813,0.051,526.075,368.903,24.798,-94.933,38.679,12398.920,118171.009,20200610_071641,479175,1545,128356,440
1,KTWX20200611_101415_V06,-44.540,0.104,311.558,167.995,11.828,-96.165,39.591,5913.765,66255.179,20200611_051415,479174,19,31026,8
