track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KTYX20220605_102753_V06,65.848,0.054,35.411,443.742,38.129,-77.305,43.097,19064.556,150556.543,20220605_062753,479179,165,24554,130
5,KTYX20220606_094826_V06,26.743,0.187,25.065,323.531,32.811,-77.384,43.637,16405.575,137969.930,20220606_054826,479177,30,67486,29
5,KTYX20220606_100226_V06,40.743,0.081,25.658,322.399,47.943,-77.380,43.642,23971.579,137627.402,20220606_060226,479172,36,65560,35
5,KTYX20220606_100927_V06,47.760,0.430,27.507,321.364,47.060,-77.369,43.647,23529.964,136664.451,20220606_060927,479173,41,64177,40
5,KTYX20220606_101628_V06,54.777,0.080,44.907,323.479,57.089,-77.261,43.639,28544.306,128085.474,20220606_061628,479169,54,63068,52
5,KTYX20220606_102328_V06,61.777,0.178,37.968,331.834,54.784,-77.303,43.601,27391.779,131979.284,20220606_062328,479174,44,62510,43
5,KTYX20220606_103029_V06,68.793,0.085,38.869,333.613,58.508,-77.297,43.593,29253.863,131642.907,20220606_063029,479165,52,59865,51
2,KTYX20220606_091824_V06,-3.290,0.057,27.482,264.922,28.497,-77.376,43.901,14248.312,137383.021,20220606_051824,479182,16,78527,15
3,KTYX20220606_094127_V06,19.760,0.085,23.317,213.639,20.898,-77.409,44.131,10449.205,144923.792,20220606_054127,479169,41,67820,36
4,KTYX20220606_094127_V06,19.760,0.053,73.595,265.554,40.612,-77.089,43.902,20305.809,114505.192,20220606_054127,479169,41,67820,36
6,KTYX20220606_094826_V06,26.743,0.056,191.641,347.086,7.978,-76.350,43.542,3988.770,59073.876,20220606_054826,479177,30,67486,29
10,KTYX20220606_103029_V06,68.793,0.060,33.278,443.644,34.684,-77.318,43.098,17341.888,151471.168,20220606_063029,479165,52,59865,51
3,KTYX20220607_083741_V06,-43.698,0.067,41.425,372.155,44.656,-77.277,43.420,22327.766,134226.752,20220607_043741,479175,552,198074,49
5,KTYX20220607_084344_V06,-37.648,0.062,311.234,412.961,20.558,-75.611,43.247,10278.872,56759.324,20220607_044344,479176,610,191996,61
5,KTYX20220607_084936_V06,-31.781,0.117,320.073,407.224,18.229,-75.556,43.273,9114.588,54543.401,20220607_044936,479179,617,189826,48
9,KTYX20220607_093659_V06,15.602,0.106,27.244,392.552,51.857,-77.362,43.327,25928.719,144015.093,20220607_053659,479173,417,188914,34
14,KTYX20220607_100629_V06,45.102,0.094,179.838,213.827,8.744,-76.431,44.141,4371.944,73933.472,20220607_060629,479182,291,179903,31
10,KTYX20220609_101550_V06,54.960,0.056,15.826,309.205,19.250,-77.443,43.701,9624.884,142161.731,20220609_061550,479183,7066,384990,1169
3,KTYX20220610_084055_V06,-39.758,0.745,360.734,304.032,22.662,-75.303,43.737,11331.059,30434.043,20220610_044055,479173,111,44925,80
3,KTYX20220610_084514_V06,-35.442,0.448,359.367,303.106,30.808,-75.312,43.741,15403.859,29723.863,20220610_044514,479166,144,43020,122
3,KTYX20220610_084934_V06,-31.108,0.863,370.935,303.037,30.556,-75.240,43.741,15277.894,35500.209,20220610_044934,479165,120,40275,90
3,KTYX20220610_085354_V06,-26.775,-1.000,379.674,302.827,32.126,-75.185,43.742,16062.853,39862.072,20220610_045354,479174,127,37495,88
3,KTYX20220610_090238_V06,-18.042,0.863,386.921,300.460,39.598,-75.140,43.752,19798.856,43460.928,20220610_050238,479171,137,31710,109
3,KTYX20220610_090702_V06,-13.642,0.666,396.347,302.009,38.901,-75.082,43.745,19450.575,48184.037,20220610_050702,479178,124,29600,86
3,KTYX20220610_091125_V06,-9.258,0.299,396.642,301.249,42.860,-75.080,43.749,21430.218,48325.135,20220610_051125,479174,118,29705,82
3,KTYX20220610_091549_V06,-4.858,0.188,401.606,301.031,44.463,-75.049,43.749,22231.709,50805.448,20220610_051549,479175,138,29333,94
3,KTYX20220610_092012_V06,-0.475,0.067,412.843,305.114,41.952,-74.980,43.731,20975.931,56479.640,20220610_052012,479175,103,29069,71
3,KTYX20220610_092546_V06,5.092,0.120,411.250,290.740,55.994,-74.989,43.795,27996.948,55817.233,20220610_052546,479176,108,29430,95
3,KTYX20220610_093016_V06,9.592,0.136,411.985,277.853,67.399,-74.984,43.853,33699.352,57077.192,20220610_053016,479176,105,29472,91
6,KTYX20220610_101059_V06,50.308,0.183,295.446,27.162,28.210,-75.709,44.984,14105.171,136437.883,20220610_061059,479166,152,31515,116
6,KTYX20220610_101740_V06,56.992,0.064,299.532,26.231,34.469,-75.683,44.988,17234.421,136884.498,20220610_061740,479168,146,30520,116
1,KTYX20220611_091245_V06,-7.763,0.071,28.022,445.252,35.348,-77.350,43.090,17674.248,154167.299,20220611_051245,479170,145,26378,131
