track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KVBX20140602_115405_V06,-54.878,0.074,246.158,177.094,6.215,-120.692,35.392,3107.697,67091.259,20140602_045405,479187,0,44466,0
1,KVBX20140605_132358_V06,35.718,0.101,26.210,444.722,33.748,-121.881,34.177,16873.751,154842.939,20140605_062358,479178,12,21709,12
1,KVBX20140610_124254_V06,-4.702,0.059,66.707,142.527,5.861,-121.682,35.541,2930.348,140733.232,20140610_054254,479181,2,16053,2
1,KVBX20140613_120348_V06,-43.734,0.155,296.726,287.443,8.974,-120.414,34.895,4487.167,6488.416,20140613_050348,479179,2,13881,2
2,KVBX20140613_123508_V06,-12.401,0.109,26.031,470.626,35.818,-121.880,34.060,17908.842,161378.514,20140613_053508,479183,14,13445,14
3,KVBX20140613_124450_V06,-2.701,0.086,293.767,311.178,10.535,-120.430,34.788,5267.574,6399.169,20140613_054450,479178,3,11329,2
1,KVBX20140614_125410_V06,6.602,0.100,104.364,293.000,48.510,-121.466,34.865,24254.934,97880.499,20140614_055410,479176,32,10153,28
2,KVBX20140614_133506_V06,47.536,0.066,157.096,212.988,30.210,-121.181,35.228,15105.247,83655.055,20140614_063506,479183,328,29234,328
3,KVBX20140614_135433_V06,66.986,0.070,392.018,263.518,14.912,-119.892,35.001,7455.814,49492.855,20140614_065433,479174,330,33430,330
1,KVBX20140616_115342_V06,-54.003,0.466,390.740,263.730,9.082,-119.899,35.001,4541.164,48860.370,20140616_045342,479188,0,53381,0
3,KVBX20140616_121309_V06,-34.553,0.050,191.997,201.518,7.177,-120.989,35.280,3588.579,73080.688,20140616_051309,479181,0,53684,0
1,KVBX20140617_115150_V06,-55.978,0.092,390.176,265.731,9.070,-119.902,34.992,4534.935,48233.830,20140617_045150,479168,2,65819,2
1,KVBX20140618_115004_V06,-57.879,0.117,27.647,433.490,46.719,-121.874,34.227,23359.283,151654.060,20140618_045004,479190,4,55899,4
2,KVBX20140618_131743_V06,29.771,0.073,160.778,196.297,32.968,-121.161,35.303,16484.238,86800.042,20140618_061743,479177,8,50195,6
3,KVBX20140618_132727_V06,39.505,0.177,121.818,391.781,81.706,-121.365,34.421,40852.795,100215.378,20140618_062727,479184,16,47753,12
4,KVBX20140618_133712_V06,49.255,0.055,31.007,501.903,43.917,-121.850,33.919,21958.651,168168.207,20140618_063712,479176,24,52281,20
8,KVBX20140619_132506_V06,36.996,0.070,82.106,143.740,16.156,-121.597,35.536,8078.130,134066.211,20140619_062506,479170,3,16219,1
8,KVBX20140619_133057_V06,42.846,0.079,82.706,144.305,23.098,-121.594,35.534,11548.856,133657.780,20140619_063057,479187,16,16750,3
8,KVBX20140619_133646_V06,48.662,-1.000,83.214,144.783,30.350,-121.591,35.532,15174.828,133312.271,20140619_063646,479183,6,16760,5
8,KVBX20140619_134238_V06,54.529,-1.000,83.726,145.265,37.664,-121.588,35.530,18831.968,132963.810,20140619_064238,479184,6,18163,4
8,KVBX20140619_134828_V06,60.362,-1.000,84.235,145.745,44.937,-121.585,35.527,22468.329,132617.344,20140619_064828,479181,5,18263,4
8,KVBX20140619_135418_V06,66.196,0.070,87.518,142.180,41.064,-121.567,35.544,20531.792,132340.247,20140619_065418,479189,1,18770,1
1,KVBX20140619_115737_V06,-50.488,0.094,238.389,246.998,16.562,-120.734,35.076,8280.834,40636.230,20140619_045737,479184,18,22902,14
1,KVBX20140619_120327_V06,-44.654,0.131,239.114,246.833,22.440,-120.730,35.077,11219.892,40416.288,20140619_050327,479182,8,22348,7
