track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KVTX20220603_122135_V06,-23.367,0.067,27.174,421.676,42.196,-120.653,33.854,21097.830,149364.239,20220603_052135,479169,0,21557,0
1,KVTX20220603_123230_V06,-12.450,-1.000,27.174,421.676,59.553,-120.653,33.854,29776.580,149364.239,20220603_053230,479166,0,20914,0
1,KVTX20220603_124213_V06,-2.733,0.109,31.818,421.317,57.658,-120.628,33.856,28829.153,147173.168,20220603_054213,479171,0,22648,0
1,KVTX20220603_130137_V06,16.667,0.128,49.426,409.685,71.177,-120.533,33.910,35588.510,136764.258,20220603_060137,479173,0,23877,0
2,KVTX20220603_123230_V06,-12.450,0.081,323.395,416.986,5.135,-119.052,33.884,2567.711,59651.127,20220603_053230,479166,0,20914,0
4,KVTX20220603_134027_V06,55.500,0.090,33.099,383.027,58.561,-120.624,34.029,29280.342,139758.613,20220603_064027,479165,0,23580,0
1,KVTX20220612_130532_V06,21.680,0.157,320.395,343.063,23.043,-119.068,34.218,11521.441,23824.415,20220612_060532,479166,0,21726,0
2,KVTX20220613_134359_V06,60.120,0.387,384.600,411.484,16.941,-118.721,33.908,8470.350,69974.613,20220613_064359,479176,0,37878,0
2,KVTX20220614_121523_V06,-28.515,0.067,139.074,374.682,15.776,-120.050,34.072,7888.061,88705.375,20220614_051523,479165,0,22690,0
3,KVTX20220614_134356_V06,60.035,0.065,156.547,537.326,30.416,-119.949,33.339,15208.061,138656.557,20220614_064356,479172,0,21246,0
1,KVTX20220615_121525_V06,-28.543,0.087,26.043,389.596,30.630,-120.661,33.999,15314.873,144117.951,20220615_051525,479169,0,22290,0
2,KVTX20220615_134358_V06,60.007,0.068,41.368,369.897,49.461,-120.580,34.089,24730.556,133955.501,20220615_064358,479172,0,24469,0
1,KVTX20220621_123556_V06,-8.916,0.121,359.841,398.695,31.793,-118.855,33.966,15896.576,57709.566,20220621_053556,479167,0,25374,0
1,KVTX20220628_120102_V06,-45.917,0.078,28.263,414.260,32.372,-120.647,33.888,16185.997,147390.932,20220628_050102,479174,0,29342,0
3,KVTX20220628_133804_V06,51.117,0.056,191.727,368.339,20.321,-119.765,34.102,10160.748,64018.249,20220628_063804,479168,0,28127,0
1,KVTX20220629_123039_V06,-16.685,0.066,25.237,426.103,39.174,-120.663,33.834,19587.135,151159.382,20220629_053039,479167,2,28117,0
1,KVTX20220630_122301_V06,-24.722,0.106,98.994,372.299,10.988,-120.268,34.081,5494.130,106806.562,20220630_052301,479168,11,22439,10
2,KVTX20220630_122301_V06,-24.722,0.064,338.659,518.632,14.875,-118.971,33.426,7437.522,111012.049,20220630_052301,479168,11,22439,10
1,KVTX20220701_132213_V06,34.055,0.054,130.333,388.860,24.892,-120.097,34.008,12446.187,95764.152,20220701_062213,479169,3,19465,3
2,KVTX20220701_133155_V06,43.755,0.093,108.094,349.284,13.467,-120.220,34.185,6733.744,99066.490,20220701_063155,479166,1,21738,1
1,KVTX20220702_122450_V06,-23.770,0.164,257.575,424.419,49.900,-119.408,33.851,24949.814,65726.762,20220702_052450,479173,0,26160,0
1,KVTX20220705_121809_V06,-31.881,0.108,314.268,339.712,7.916,-119.101,34.233,3958.040,21098.664,20220705_051809,479172,0,11351,0
1,KVTX20220706_121859_V06,-31.556,0.087,296.017,255.147,7.202,-119.200,34.614,3600.796,22514.561,20220706_051859,479170,0,10006,0
1,KVTX20220714_120224_V06,-52.704,0.066,300.792,255.472,5.905,-119.174,34.612,2952.610,22267.479,20220714_050224,479168,1,18323,0
1,KVTX20220715_122156_V06,-33.796,0.371,42.321,375.764,51.551,-120.574,34.062,25775.620,134293.281,20220715_052156,479166,0,29176,0
1,KVTX20220715_123138_V06,-24.096,0.069,42.382,377.169,60.907,-120.574,34.056,30453.405,134463.846,20220715_053138,479169,0,30684,0
1,KVTX20220715_124120_V06,-14.396,0.208,44.387,379.084,51.417,-120.563,34.047,25708.452,133783.552,20220715_054120,479171,0,31496,0
3,KVTX20220715_130047_V06,5.054,0.100,490.958,336.077,8.729,-118.142,34.245,4364.464,97167.833,20220715_060047,479171,0,27196,0
1,KVTX20220716_134934_V06,53.202,0.235,31.132,402.675,40.308,-120.633,33.940,20154.095,143902.870,20220716_064934,479172,0,28030,0
1,KVTX20220720_125313_V06,-5.783,0.054,24.927,407.104,28.631,-120.666,33.920,14315.527,147594.596,20220720_055313,479180,1,26360,1
2,KVTX20220722_131729_V06,17.117,0.057,26.926,330.522,28.736,-120.661,34.265,14368.092,137387.038,20220722_061729,479172,0,28992,0
2,KVTX20220722_132711_V06,26.817,0.187,31.014,333.455,36.824,-120.639,34.252,18411.772,135529.031,20220722_062711,479169,2,31209,2
2,KVTX20220722_133653_V06,36.517,0.169,31.219,338.978,36.041,-120.637,34.227,18020.455,135796.167,20220722_063653,479164,0,31605,0
1,KVTX20220722_131729_V06,17.117,0.315,26.781,481.120,34.119,-120.650,33.586,17059.429,163900.247,20220722_061729,479172,0,28992,0
1,KVTX20220723_141506_V06,74.040,0.086,82.749,334.631,17.237,-120.358,34.250,8618.481,109996.695,20220723_071506,479173,0,34664,0
1,KVTX20220728_141232_V06,67.919,0.060,305.239,402.080,17.783,-119.150,33.952,8891.464,51107.345,20220728_071232,479173,0,32058,0
1,KVTX20220729_123505_V06,-30.255,0.136,321.294,431.843,25.931,-119.064,33.817,12965.595,66775.768,20220729_053505,479171,34,38680,28
1,KVTX20220729_124446_V06,-20.571,-1.000,321.294,431.843,41.328,-119.064,33.817,20663.845,66775.768,20220729_054446,479168,5,39362,3
1,KVTX20220729_130410_V06,-1.171,0.117,329.375,419.542,28.745,-119.020,33.873,14372.517,61548.924,20220729_060410,479171,8,39055,3
2,KVTX20220729_124446_V06,-20.571,0.236,79.849,466.784,20.924,-120.365,33.654,10461.996,138097.112,20220729_054446,479168,5,39362,3
4,KVTX20220729_134259_V06,37.645,0.052,31.999,447.687,31.357,-120.625,33.737,15678.444,153000.142,20220729_064259,479174,7,39649,4
1,KVTX20220802_122257_V06,-45.311,0.147,298.140,258.440,8.691,-119.189,34.599,4345.390,20801.047,20220802_052257,479166,0,17221,0
3,KVTX20220802_132221_V06,14.089,0.207,233.712,386.521,7.588,-119.537,34.021,3793.787,54497.660,20220802_062221,479172,0,23702,0
1,KVTX20220803_121227_V06,-56.546,0.077,295.665,257.181,8.650,-119.202,34.605,4324.936,21519.080,20220803_051227,479170,0,17738,0
1,KVTX20220805_121203_V06,-58.420,0.065,313.640,374.528,2.578,-119.105,34.076,1289.196,37882.944,20220805_051203,479174,0,28350,0
1,KVTX20220806_130328_V06,-7.741,0.088,34.005,406.717,54.333,-120.617,33.922,27166.588,143301.952,20220806_060328,479178,0,50678,0
3,KVTX20220806_140950_V06,58.625,0.094,253.131,542.466,20.328,-119.430,33.318,10163.828,123477.398,20220806_070950,479171,48,51510,37
1,KVTX20220807_124644_V06,-25.213,0.314,185.457,482.941,14.612,-119.796,33.585,7305.761,107920.587,20220807_054644,479179,0,38310,0
2,KVTX20220807_141629_V06,64.537,0.053,282.803,519.409,29.630,-119.271,33.423,14814.957,110040.727,20220807_071629,479169,4,31831,0
1,KVTX20220808_132550_V06,13.150,0.109,166.017,506.776,22.865,-119.899,33.477,11432.689,123194.718,20220808_062550,479167,0,26981,0
2,KVTX20220811_124536_V06,-29.295,0.275,140.365,518.581,16.939,-120.037,33.423,8469.617,135333.965,20220811_054536,479166,0,19287,0
2,KVTX20220811_130500_V06,-9.895,0.131,140.267,519.575,29.080,-120.037,33.419,14540.232,135764.364,20220811_060500,479168,0,23814,0
1,KVTX20220811_122613_V06,-48.678,0.072,54.780,385.250,25.521,-120.506,34.020,12760.579,129807.802,20220811_052613,479168,2,15415,2
2,KVTX20220812_124514_V06,-30.397,0.066,227.107,530.773,24.952,-119.570,33.371,12476.042,121005.448,20220812_054514,479173,0,27309,0
2,KVTX20220812_130439_V06,-10.981,0.109,230.807,527.806,38.536,-119.550,33.384,19267.873,119040.993,20220812_060439,479171,0,26790,0
2,KVTX20220812_131420_V06,-1.297,0.211,218.380,522.584,36.280,-119.617,33.408,18139.787,118538.447,20220812_061420,479171,0,27031,0
1,KVTX20220812_122551_V06,-49.781,0.139,168.415,484.642,34.590,-119.887,33.577,17295.033,113365.920,20220812_052551,479174,0,24826,0
2,KVTX20220813_123506_V06,-41.266,0.093,286.411,307.345,8.509,-119.252,34.379,4254.681,7723.422,20220813_053506,479173,0,20401,0
1,KVTX20220819_132108_V06,0.377,0.399,216.971,351.951,55.104,-119.629,34.177,27552.111,48971.159,20220819_062108,479165,0,32214,0
