track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
2,KYUX20140601_114804_V06,-44.088,0.302,183.659,220.738,3.309,-115.277,32.851,1654.505,70387.641,20140601_044804,479173,67,28678,31
2,KYUX20140601_115749_V06,-34.338,0.062,184.213,220.230,12.938,-115.274,32.853,6468.922,70302.470,20140601_045749,479181,93,26632,44
6,KYUX20140601_122702_V06,-5.121,0.780,259.320,407.876,15.744,-114.871,32.009,7872.030,57645.373,20140601_052702,479169,85,23136,45
6,KYUX20140601_123647_V06,4.629,0.426,258.867,408.161,25.046,-114.873,32.007,12523.200,57859.161,20140601_053647,479176,76,21237,55
1,KYUX20140601_113820_V06,-53.821,0.069,383.354,392.262,3.148,-114.214,32.079,1573.952,62169.435,20140601_043820,479177,60,28251,34
4,KYUX20140601_114804_V06,-44.088,0.124,205.454,413.749,15.305,-115.156,31.981,7652.521,73955.591,20140601_044804,479173,67,28678,31
5,KYUX20140601_121717_V06,-14.871,0.084,414.606,106.133,8.791,-114.040,33.368,4395.573,112604.587,20140601_051717,479177,48,22477,14
7,KYUX20140601_131542_V06,43.545,0.070,244.744,409.483,8.854,-114.948,32.001,4426.868,61318.468,20140601_061542,479178,165,16820,84
1,KYUX20140602_113449_V06,-57.087,0.172,99.327,269.503,6.783,-115.725,32.628,3391.685,101488.446,20140602_043449,479176,82,31405,33
2,KYUX20140602_114432_V06,-47.370,0.064,255.387,408.410,8.250,-114.892,32.006,4124.798,58615.581,20140602_044432,479177,72,31778,47
4,KYUX20140602_121346_V06,-18.137,0.060,253.676,407.199,9.001,-114.901,32.012,4500.443,58389.806,20140602_051346,479178,117,25777,58
5,KYUX20140602_121346_V06,-18.137,0.058,270.152,529.966,12.443,-114.813,31.458,6221.647,115947.505,20140602_051346,479178,117,25777,58
6,KYUX20140602_135110_V06,79.263,0.070,30.344,244.749,5.488,-116.094,32.736,2743.824,137628.912,20140602_065110,479179,168,16339,119
1,KYUX20140604_113804_V06,-53.410,0.634,391.981,182.138,9.240,-114.164,33.026,4619.957,74752.868,20140604_043804,479172,66,26585,31
1,KYUX20140605_114457_V06,-46.352,0.056,310.532,127.229,8.284,-114.599,33.274,4141.869,86545.668,20140605_044457,479180,119,22821,83
2,KYUX20140605_125522_V06,24.065,0.061,30.835,228.156,17.108,-116.093,32.811,8553.782,139294.120,20140605_055522,479180,138,14287,106
1,KYUX20140606_113306_V06,-58.051,0.068,32.933,226.580,21.030,-116.082,32.818,10514.895,138487.546,20140606_043306,479173,57,27009,27
1,KYUX20140607_121927_V06,-11.576,0.059,291.246,515.481,19.967,-114.702,31.524,9983.650,107829.281,20140607_051927,479174,125,23616,57
2,KYUX20140607_122913_V06,-1.809,0.578,253.359,405.244,20.162,-114.903,32.020,10081.106,57558.054,20140607_052913,479173,140,22474,66
2,KYUX20140607_123858_V06,7.941,-1.000,253.359,405.244,35.665,-114.903,32.020,17832.356,57558.054,20140607_053858,479173,139,21659,90
2,KYUX20140607_124843_V06,17.691,0.070,264.409,417.625,21.482,-114.844,31.965,10741.047,61445.950,20140607_054843,479178,167,20437,94
4,KYUX20140607_125827_V06,27.424,0.076,31.356,237.263,12.925,-116.089,32.770,6462.454,137936.107,20140607_055827,479181,153,19313,95
3,KYUX20140608_124705_V06,16.158,0.063,286.227,499.987,27.431,-114.728,31.594,13715.733,100230.429,20140608_054705,479170,222,50417,150
3,KYUX20140608_125650_V06,25.908,0.537,294.966,505.176,32.330,-114.682,31.570,16164.976,102618.841,20140608_055650,479176,307,53004,242
3,KYUX20140608_130634_V06,35.641,0.187,296.618,519.125,28.371,-114.674,31.507,14185.646,109575.794,20140608_060634,479173,355,54002,281
3,KYUX20140608_131620_V06,45.408,-1.000,296.618,519.125,43.900,-114.674,31.507,21950.146,109575.794,20140608_061620,479176,311,54614,252
3,KYUX20140608_132812_V06,57.274,0.218,298.368,514.911,32.296,-114.664,31.526,16147.871,107458.359,20140608_062812,479175,411,55676,337
1,KYUX20140608_122734_V06,-3.359,0.064,461.212,532.275,32.025,-113.808,31.445,16012.547,141369.104,20140608_052734,479171,222,47217,152
1,KYUX20140608_123719_V06,6.391,0.089,474.297,539.744,17.343,-113.739,31.411,8671.505,148202.803,20140608_053719,479177,276,49742,231
4,KYUX20140608_125650_V06,25.908,0.133,411.546,112.749,16.589,-114.057,33.338,8294.346,108978.614,20140608_055650,479176,307,53004,242
1,KYUX20140609_115632_V06,-34.317,0.082,288.512,572.961,31.166,-114.716,31.264,15582.983,136601.561,20140609_045632,479179,730,33071,524
1,KYUX20140609_120617_V06,-24.567,0.091,288.995,573.491,38.381,-114.714,31.262,19190.398,136855.950,20140609_050617,479171,672,28672,474
1,KYUX20140609_121601_V06,-14.833,0.050,289.972,565.372,33.524,-114.708,31.299,16761.951,132780.821,20140609_051601,479171,794,24011,594
1,KYUX20140609_122546_V06,-5.083,0.131,289.218,568.136,41.241,-114.712,31.286,20620.703,134176.206,20140609_052546,479172,725,23230,516
3,KYUX20140609_122546_V06,-5.083,0.055,124.167,115.407,18.770,-115.600,33.324,9384.849,127467.480,20140609_052546,479172,725,23230,516
